section,category,subcategory,unit,financial_year,state,measure,value
Tourism characteristic and connected industries,Tourism filled jobs  - Total,Accommodation,,2023-24,NSW,'000,31.0565
Tourism characteristic and connected industries,Tourism filled jobs  - Total,Accommodation,,2023-24,NSW,%,27.53235815602837
Tourism characteristic and connected industries,Tourism filled jobs  - Total,Accommodation,,2023-24,Vic,'000,29.6417
Tourism characteristic and connected industries,Tourism filled jobs  - Total,Accommodation,,2023-24,Vic,%,26.278102836879434
Tourism characteristic and connected industries,Tourism filled jobs  - Total,Accommodation,,2023-24,Qld,'000,24.5284
Tourism characteristic and connected industries,Tourism filled jobs  - Total,Accommodation,,2023-24,Qld,%,21.74503546099291
Tourism characteristic and connected industries,Tourism filled jobs  - Total,Accommodation,,2023-24,SA,'000,6.5398
Tourism characteristic and connected industries,Tourism filled jobs  - Total,Accommodation,,2023-24,SA,%,5.797695035460993
Tourism characteristic and connected industries,Tourism filled jobs  - Total,Accommodation,,2023-24,WA,'000,13.8375
Tourism characteristic and connected industries,Tourism filled jobs  - Total,Accommodation,,2023-24,WA,%,12.267287234042554
Tourism characteristic and connected industries,Tourism filled jobs  - Total,Accommodation,,2023-24,Tas,'000,3.7834
Tourism characteristic and connected industries,Tourism filled jobs  - Total,Accommodation,,2023-24,Tas,%,3.354078014184397
Tourism characteristic and connected industries,Tourism filled jobs  - Total,Accommodation,,2023-24,NT,'000,1.1825
Tourism characteristic and connected industries,Tourism filled jobs  - Total,Accommodation,,2023-24,NT,%,1.0483156028368796
Tourism characteristic and connected industries,Tourism filled jobs  - Total,Accommodation,,2023-24,ACT,'000,2.2302
Tourism characteristic and connected industries,Tourism filled jobs  - Total,Accommodation,,2023-24,ACT,%,1.977127659574468
Tourism characteristic and connected industries,Tourism filled jobs  - Total,Accommodation,,2023-24,Total(a),'000,112.8
Tourism characteristic and connected industries,Tourism filled jobs  - Total,"Cafes, restaurants and takeaway food services",,2023-24,NSW,'000,58.4998
Tourism characteristic and connected industries,Tourism filled jobs  - Total,"Cafes, restaurants and takeaway food services",,2023-24,NSW,%,27.045677300046233
Tourism characteristic and connected industries,Tourism filled jobs  - Total,"Cafes, restaurants and takeaway food services",,2023-24,Vic,'000,64.2977
Tourism characteristic and connected industries,Tourism filled jobs  - Total,"Cafes, restaurants and takeaway food services",,2023-24,Vic,%,29.726167360147944
Tourism characteristic and connected industries,Tourism filled jobs  - Total,"Cafes, restaurants and takeaway food services",,2023-24,Qld,'000,43.0805
Tourism characteristic and connected industries,Tourism filled jobs  - Total,"Cafes, restaurants and takeaway food services",,2023-24,Qld,%,19.91701340730467
Tourism characteristic and connected industries,Tourism filled jobs  - Total,"Cafes, restaurants and takeaway food services",,2023-24,SA,'000,14.0971
Tourism characteristic and connected industries,Tourism filled jobs  - Total,"Cafes, restaurants and takeaway food services",,2023-24,SA,%,6.517383263985206
