section,category,subcategory,unit,financial_year,state,measure,value
,Consumption(a),,$ million – basic prices,2016-17,NSW,,32772.5352
,Consumption(a),,$ million – basic prices,2016-17,Vic,,25404.5684
,Consumption(a),,$ million – basic prices,2016-17,Qld,,24922.5547
,Consumption(a),,$ million – basic prices,2016-17,SA,,6651.3623
,Consumption(a),,$ million – basic prices,2016-17,WA,,12493.8877
,Consumption(a),,$ million – basic prices,2016-17,Tas,,3349.1941
,Consumption(a),,$ million – basic prices,2016-17,NT,,2540.8918
,Consumption(a),,$ million – basic prices,2016-17,ACT,,2258.0112
,Consumption(a),,$ million – basic prices,2016-17,Total,,110393.0054
,Consumption(a),,$ million – basic prices,2017-18,NSW,,37157.4414
,Consumption(a),,$ million – basic prices,2017-18,Vic,,27488.4336
,Consumption(a),,$ million – basic prices,2017-18,Qld,,27825.334
,Consumption(a),,$ million – basic prices,2017-18,SA,,7096.731
,Consumption(a),,$ million – basic prices,2017-18,WA,,11194.9941
,Consumption(a),,$ million – basic prices,2017-18,Tas,,3437.269
,Consumption(a),,$ million – basic prices,2017-18,NT,,2310.8008
,Consumption(a),,$ million – basic prices,2017-18,ACT,,2645.0024
,Consumption(a),,$ million – basic prices,2017-18,Total,,119156.0063
,Consumption(a),,$ million – basic prices,2018-19,NSW,,40317.3828
,Consumption(a),,$ million – basic prices,2018-19,Vic,,31404.7891
,Consumption(a),,$ million – basic prices,2018-19,Qld,,30296.2715
,Consumption(a),,$ million – basic prices,2018-19,SA,,8006.5688
,Consumption(a),,$ million – basic prices,2018-19,WA,,13389.0342
,Consumption(a),,$ million – basic prices,2018-19,Tas,,4003.0674
,Consumption(a),,$ million – basic prices,2018-19,NT,,2668.3135
,Consumption(a),,$ million – basic prices,2018-19,ACT,,2701.5771
,Consumption(a),,$ million – basic prices,2018-19,Total,,132787.0044
,Consumption(a),,$ million – basic prices,2019-20,NSW,,32176.0293
,Consumption(a),,$ million – basic prices,2019-20,Vic,,25205.3867
,Consumption(a),,$ million – basic prices,2019-20,Qld,,24606.1836
,Consumption(a),,$ million – basic prices,2019-20,SA,,6823.4092
,Consumption(a),,$ million – basic prices,2019-20,WA,,11590.3613
,Consumption(a),,$ million – basic prices,2019-20,Tas,,3323.1584
,Consumption(a),,$ million – basic prices,2019-20,NT,,1955.5645
,Consumption(a),,$ million – basic prices,2019-20,ACT,,1985.9109
,Consumption(a),,$ million – basic prices,2019-20,Total,,107666.0039
,Consumption(a),,$ million – basic prices,2020-21,NSW,,22801.1211
,Consumption(a),,$ million – basic prices,2020-21,Vic,,12249.0332
,Consumption(a),,$ million – basic prices,2020-21,Qld,,18534.1895
,Consumption(a),,$ million – basic prices,2020-21,SA,,5582.6357
,Consumption(a),,$ million – basic prices,2020-21,WA,,8325.29
,Consumption(a),,$ million – basic prices,2020-21,Tas,,2534.0767
,Consumption(a),,$ million – basic prices,2020-21,NT,,1457.1083
,Consumption(a),,$ million – basic prices,2020-21,ACT,,1348.5475
,Consumption(a),,$ million – basic prices,2020-21,Total,,72832.00200000001
,Consumption(a),,$ million – basic prices,2021-22,NSW,,22846.582
,Consumption(a),,$ million – basic prices,2021-22,Vic,,18258.4551
,Consumption(a),,$ million – basic prices,2021-22,Qld,,22887.4512
,Consumption(a),,$ million – basic prices,2021-22,SA,,5706.0122
,Consumption(a),,$ million – basic prices,2021-22,WA,,9819.1436
,Consumption(a),,$ million – basic prices,2021-22,Tas,,3016.3501
,Consumption(a),,$ million – basic prices,2021-22,NT,,1907.4309
,Consumption(a),,$ million – basic prices,2021-22,ACT,,1571.5802
,Consumption(a),,$ million – basic prices,2021-22,Total,,86013.00529999999
,Consumption(a),,$ million – basic prices,2022-23,NSW,,44569.6953
,Consumption(a),,$ million – basic prices,2022-23,Vic,,33737.8008
,Consumption(a),,$ million – basic prices,2022-23,Qld,,37332.3516
,Consumption(a),,$ million – basic prices,2022-23,SA,,9523.0869
,Consumption(a),,$ million – basic prices,2022-23,WA,,15828.9072
,Consumption(a),,$ million – basic prices,2022-23,Tas,,4221.5459
,Consumption(a),,$ million – basic prices,2022-23,NT,,2896.4314
,Consumption(a),,$ million – basic prices,2022-23,ACT,,3168.188
,Consumption(a),,$ million – basic prices,2022-23,Total,,151278.00709999996
,Consumption(a),,$ million – basic prices,2023-24,NSW,,49740.1563
,Consumption(a),,$ million – basic prices,2023-24,Vic,,37689.6797
,Consumption(a),,$ million – basic prices,2023-24,Qld,,39153.3711
,Consumption(a),,$ million – basic prices,2023-24,SA,,9665.6553
,Consumption(a),,$ million – basic prices,2023-24,WA,,16936.1836
,Consumption(a),,$ million – basic prices,2023-24,Tas,,4830.5659
,Consumption(a),,$ million – basic prices,2023-24,NT,,3090.3384
,Consumption(a),,$ million – basic prices,2023-24,ACT,,3364.0474
,Consumption(a),,$ million – basic prices,2023-24,Total,,164469.9977
,Total output,,$ million – basic prices,2016-17,NSW,,60241.5117
,Total output,,$ million – basic prices,2016-17,Vic,,46849.5
,Total output,,$ million – basic prices,2016-17,Qld,,46121.2969
,Total output,,$ million – basic prices,2016-17,SA,,11998.8984
,Total output,,$ million – basic prices,2016-17,WA,,22550.6855
,Total output,,$ million – basic prices,2016-17,Tas,,6198.7842
,Total output,,$ million – basic prices,2016-17,NT,,4589.4307
,Total output,,$ million – basic prices,2016-17,ACT,,4129.8735
,Total output,,$ million – basic prices,2016-17,Total,,202679.981
,Total output,,$ million – basic prices,2017-18,NSW,,68277.0547
,Total output,,$ million – basic prices,2017-18,Vic,,50546.9844
,Total output,,$ million – basic prices,2017-18,Qld,,51343.9023
,Total output,,$ million – basic prices,2017-18,SA,,12813.8164
,Total output,,$ million – basic prices,2017-18,WA,,20217.3203
,Total output,,$ million – basic prices,2017-18,Tas,,6271.6978
,Total output,,$ million – basic prices,2017-18,NT,,4140.9438
,Total output,,$ million – basic prices,2017-18,ACT,,4730.647
,Total output,,$ million – basic prices,2017-18,Total,,218342.3667
,Total output,,$ million – basic prices,2018-19,NSW,,74152.3828
,Total output,,$ million – basic prices,2018-19,Vic,,57657.5
,Total output,,$ million – basic prices,2018-19,Qld,,55877.3203
,Total output,,$ million – basic prices,2018-19,SA,,14364.7646
,Total output,,$ million – basic prices,2018-19,WA,,24062.8223
,Total output,,$ million – basic prices,2018-19,Tas,,7329.0142
,Total output,,$ million – basic prices,2018-19,NT,,4738.6479
,Total output,,$ million – basic prices,2018-19,ACT,,4821.5259
,Total output,,$ million – basic prices,2018-19,Total,,243003.978
,Total output,,$ million – basic prices,2019-20,NSW,,58884.0156
,Total output,,$ million – basic prices,2019-20,Vic,,46123.5547
,Total output,,$ million – basic prices,2019-20,Qld,,45518.5195
,Total output,,$ million – basic prices,2019-20,SA,,12288.5625
,Total output,,$ million – basic prices,2019-20,WA,,20848.6328
