section,category,subcategory,unit,financial_year,state,measure,value
,Gross value added,,$ million – basic prices,2016-17,NSW,LEVEL,12910.8985
,Gross value added,,$ million – basic prices,2016-17,Vic,,9975.2992
,Gross value added,,$ million – basic prices,2016-17,Qld,,9567.0472
,Gross value added,,$ million – basic prices,2016-17,SA,,2574.0678
,Gross value added,,$ million – basic prices,2016-17,WA,,4904.7644
,Gross value added,,$ million – basic prices,2016-17,Tas,,1267.193
,Gross value added,,$ million – basic prices,2016-17,NT,,935.1637
,Gross value added,,$ million – basic prices,2016-17,ACT,,880.5671
,Gross value added,,$ million – basic prices,2016-17,Total(a),,43015.0008
,Gross value added,,$ million – basic prices,2017-18,NSW,LEVEL,14603.7979
,Gross value added,,$ million – basic prices,2017-18,Vic,,10715.883
,Gross value added,,$ million – basic prices,2017-18,Qld,,10765.7039
,Gross value added,,$ million – basic prices,2017-18,SA,,2703.6086
,Gross value added,,$ million – basic prices,2017-18,WA,,4316.0424
,Gross value added,,$ million – basic prices,2017-18,Tas,,1288.6361
,Gross value added,,$ million – basic prices,2017-18,NT,,849.8305
,Gross value added,,$ million – basic prices,2017-18,ACT,,1063.4977
,Gross value added,,$ million – basic prices,2017-18,Total(a),,46307.0001
,Gross value added,,$ million – basic prices,2018-19,NSW,LEVEL,15676.0637
,Gross value added,,$ million – basic prices,2018-19,Vic,,12373.9363
,Gross value added,,$ million – basic prices,2018-19,Qld,,11660.6655
,Gross value added,,$ million – basic prices,2018-19,SA,,3041.9602
,Gross value added,,$ million – basic prices,2018-19,WA,,5125.0256
,Gross value added,,$ million – basic prices,2018-19,Tas,,1493.4173
,Gross value added,,$ million – basic prices,2018-19,NT,,960.3852
,Gross value added,,$ million – basic prices,2018-19,ACT,,1056.5441
,Gross value added,,$ million – basic prices,2018-19,Total(a),,51387.9979
,Gross value added,,$ million – basic prices,2019-20,NSW,LEVEL,12517.7258
,Gross value added,,$ million – basic prices,2019-20,Vic,,9857.9459
,Gross value added,,$ million – basic prices,2019-20,Qld,,9423.9823
,Gross value added,,$ million – basic prices,2019-20,SA,,2616.6021
,Gross value added,,$ million – basic prices,2019-20,WA,,4456.1675
,Gross value added,,$ million – basic prices,2019-20,Tas,,1257.9659
,Gross value added,,$ million – basic prices,2019-20,NT,,703.8655
,Gross value added,,$ million – basic prices,2019-20,ACT,,769.7457
,Gross value added,,$ million – basic prices,2019-20,Total(a),,41604.0007
,Gross value added,,$ million – basic prices,2020-21,NSW,LEVEL,8314.2508
,Gross value added,,$ million – basic prices,2020-21,Vic,,4433.9504
,Gross value added,,$ million – basic prices,2020-21,Qld,,6611.9879
,Gross value added,,$ million – basic prices,2020-21,SA,,2020.7441
,Gross value added,,$ million – basic prices,2020-21,WA,,2923.5639
,Gross value added,,$ million – basic prices,2020-21,Tas,,898.4318
,Gross value added,,$ million – basic prices,2020-21,NT,,491.4015
,Gross value added,,$ million – basic prices,2020-21,ACT,,479.6703
,Gross value added,,$ million – basic prices,2020-21,Total(a),,26174.0007
,Gross value added,,$ million – basic prices,2021-22,NSW,LEVEL,8481.5146
,Gross value added,,$ million – basic prices,2021-22,Vic,,6661.5669
,Gross value added,,$ million – basic prices,2021-22,Qld,,8351.7172
,Gross value added,,$ million – basic prices,2021-22,SA,,2060.9687
,Gross value added,,$ million – basic prices,2021-22,WA,,3465.5228
,Gross value added,,$ million – basic prices,2021-22,Tas,,1068.8793
,Gross value added,,$ million – basic prices,2021-22,NT,,667.1468
,Gross value added,,$ million – basic prices,2021-22,ACT,,585.6838
,Gross value added,,$ million – basic prices,2021-22,Total(a),,31343.0001
,Gross value added,,$ million – basic prices,2022-23,NSW,LEVEL,17746.2458
,Gross value added,,$ million – basic prices,2022-23,Vic,,13230.3061
,Gross value added,,$ million – basic prices,2022-23,Qld,,14680.2368
,Gross value added,,$ million – basic prices,2022-23,SA,,3669.5313
,Gross value added,,$ million – basic prices,2022-23,WA,,6133.7454
,Gross value added,,$ million – basic prices,2022-23,Tas,,1648.2912
,Gross value added,,$ million – basic prices,2022-23,NT,,1108.3204
,Gross value added,,$ million – basic prices,2022-23,ACT,,1257.3218
,Gross value added,,$ million – basic prices,2022-23,Total(a),,59473.9987
,Gross value added,,$ million – basic prices,2023-24,NSW,LEVEL,20193.1932
,Gross value added,,$ million – basic prices,2023-24,Vic,,15201.8666
,Gross value added,,$ million – basic prices,2023-24,Qld,,15663.1675
,Gross value added,,$ million – basic prices,2023-24,SA,,3771.941
,Gross value added,,$ million – basic prices,2023-24,WA,,6602.6978
,Gross value added,,$ million – basic prices,2023-24,Tas,,1892.9597
,Gross value added,,$ million – basic prices,2023-24,NT,,1214.9593
,Gross value added,,$ million – basic prices,2023-24,ACT,,1341.2159
,Gross value added,,$ million – basic prices,2023-24,Total(a),,65882.001
,Net taxes on products,,$ million – basic prices,2016-17,NSW,LEVEL,2179.6699
,Net taxes on products,,$ million – basic prices,2016-17,Vic,,1668.642
,Net taxes on products,,$ million – basic prices,2016-17,Qld,,1686.7983
,Net taxes on products,,$ million – basic prices,2016-17,SA,,414.5801
,Net taxes on products,,$ million – basic prices,2016-17,WA,,841.6028
,Net taxes on products,,$ million – basic prices,2016-17,Tas,,224.1081
,Net taxes on products,,$ million – basic prices,2016-17,NT,,171.9445
,Net taxes on products,,$ million – basic prices,2016-17,ACT,,143.6548
,Net taxes on products,,$ million – basic prices,2016-17,Total(a),,7331.0006
,Net taxes on products,,$ million – basic prices,2017-18,NSW,LEVEL,2526.7722
,Net taxes on products,,$ million – basic prices,2017-18,Vic,,1810.2664
,Net taxes on products,,$ million – basic prices,2017-18,Qld,,1903.2666
,Net taxes on products,,$ million – basic prices,2017-18,SA,,438.3766
,Net taxes on products,,$ million – basic prices,2017-18,WA,,743.8843
,Net taxes on products,,$ million – basic prices,2017-18,Tas,,232.2635
,Net taxes on products,,$ million – basic prices,2017-18,NT,,157.4743
,Net taxes on products,,$ million – basic prices,2017-18,ACT,,175.6964
,Net taxes on products,,$ million – basic prices,2017-18,Total(a),,7988.0003
,Net taxes on products,,$ million – basic prices,2018-19,NSW,LEVEL,2727.304
,Net taxes on products,,$ million – basic prices,2018-19,Vic,,2100.615
,Net taxes on products,,$ million – basic prices,2018-19,Qld,,2088.2888
,Net taxes on products,,$ million – basic prices,2018-19,SA,,504.6684
,Net taxes on products,,$ million – basic prices,2018-19,WA,,904.1414
,Net taxes on products,,$ million – basic prices,2018-19,Tas,,280.6594
,Net taxes on products,,$ million – basic prices,2018-19,NT,,172.9292
,Net taxes on products,,$ million – basic prices,2018-19,ACT,,174.3941
,Net taxes on products,,$ million – basic prices,2018-19,Total(a),,8953.0002
,Net taxes on products,,$ million – basic prices,2019-20,NSW,LEVEL,2044.3687
,Net taxes on products,,$ million – basic prices,2019-20,Vic,,1559.7261
,Net taxes on products,,$ million – basic prices,2019-20,Qld,,1587.9736
,Net taxes on products,,$ million – basic prices,2019-20,SA,,414.7673
,Net taxes on products,,$ million – basic prices,2019-20,WA,,733.2806
,Net taxes on products,,$ million – basic prices,2019-20,Tas,,211.7205
,Net taxes on products,,$ million – basic prices,2019-20,NT,,128.9696
,Net taxes on products,,$ million – basic prices,2019-20,ACT,,120.1935
,Net taxes on products,,$ million – basic prices,2019-20,Total(a),,6800.9999
,Net taxes on products,,$ million – basic prices,2020-21,NSW,LEVEL,1487.7004
,Net taxes on products,,$ million – basic prices,2020-21,Vic,,750.031
,Net taxes on products,,$ million – basic prices,2020-21,Qld,,1235.6372
,Net taxes on products,,$ million – basic prices,2020-21,SA,,357.1576
,Net taxes on products,,$ million – basic prices,2020-21,WA,,517.8698
,Net taxes on products,,$ million – basic prices,2020-21,Tas,,168.0721
,Net taxes on products,,$ million – basic prices,2020-21,NT,,95.1449
,Net taxes on products,,$ million – basic prices,2020-21,ACT,,85.3869
,Net taxes on products,,$ million – basic prices,2020-21,Total(a),,4696.9999
,Net taxes on products,,$ million – basic prices,2021-22,NSW,LEVEL,1592.0199
,Net taxes on products,,$ million – basic prices,2021-22,Vic,,1274.1501
,Net taxes on products,,$ million – basic prices,2021-22,Qld,,1739.9612
,Net taxes on products,,$ million – basic prices,2021-22,SA,,391.7195
,Net taxes on products,,$ million – basic prices,2021-22,WA,,712.7643
,Net taxes on products,,$ million – basic prices,2021-22,Tas,,222.047
,Net taxes on products,,$ million – basic prices,2021-22,NT,,145.0129
,Net taxes on products,,$ million – basic prices,2021-22,ACT,,107.3249
,Net taxes on products,,$ million – basic prices,2021-22,Total(a),,6184.9998
,Net taxes on products,,$ million – basic prices,2022-23,NSW,LEVEL,3534.2268
,Net taxes on products,,$ million – basic prices,2022-23,Vic,,2711.6919
,Net taxes on products,,$ million – basic prices,2022-23,Qld,,3102.9492
,Net taxes on products,,$ million – basic prices,2022-23,SA,,712.4197
,Net taxes on products,,$ million – basic prices,2022-23,WA,,1247.2142
,Net taxes on products,,$ million – basic prices,2022-23,Tas,,350.4766
,Net taxes on products,,$ million – basic prices,2022-23,NT,,243.8162
,Net taxes on products,,$ million – basic prices,2022-23,ACT,,242.2052
,Net taxes on products,,$ million – basic prices,2022-23,Total(a),,12144.9998
,Net taxes on products,,$ million – basic prices,2023-24,NSW,LEVEL,3670.9771
,Net taxes on products,,$ million – basic prices,2023-24,Vic,,2777.1846
,Net taxes on products,,$ million – basic prices,2023-24,Qld,,3051.5667
,Net taxes on products,,$ million – basic prices,2023-24,SA,,669.1869
,Net taxes on products,,$ million – basic prices,2023-24,WA,,1207.5198
,Net taxes on products,,$ million – basic prices,2023-24,Tas,,375.0426
,Net taxes on products,,$ million – basic prices,2023-24,NT,,249.1796
