section,category,subcategory,unit,financial_year,state,measure,value
STATE TOTAL,Gross value added*,,$ million,2016-17,NSW,,529588
STATE TOTAL,Gross value added*,,$ million,2016-17,Vic,,384785
STATE TOTAL,Gross value added*,,$ million,2016-17,Qld,,307467
STATE TOTAL,Gross value added*,,$ million,2016-17,SA,,94526
STATE TOTAL,Gross value added*,,$ million,2016-17,WA,,236910
STATE TOTAL,Gross value added*,,$ million,2016-17,Tas,,26360
STATE TOTAL,Gross value added*,,$ million,2016-17,NT,,22208
STATE TOTAL,Gross value added*,,$ million,2016-17,ACT,,34063
STATE TOTAL,Gross value added*,,$ million,2016-17,Total,,1635907
STATE TOTAL,Gross value added*,,$ million,2017-18,NSW,,552159
STATE TOTAL,Gross value added*,,$ million,2017-18,Vic,,404861
STATE TOTAL,Gross value added*,,$ million,2017-18,Qld,,329387
STATE TOTAL,Gross value added*,,$ million,2017-18,SA,,97881
STATE TOTAL,Gross value added*,,$ million,2017-18,WA,,244996
STATE TOTAL,Gross value added*,,$ million,2017-18,Tas,,27612
STATE TOTAL,Gross value added*,,$ million,2017-18,NT,,23048
STATE TOTAL,Gross value added*,,$ million,2017-18,ACT,,35860
STATE TOTAL,Gross value added*,,$ million,2017-18,Total,,1715805
STATE TOTAL,Gross value added*,,$ million,2018-19,NSW,,579152
STATE TOTAL,Gross value added*,,$ million,2018-19,Vic,,425589
STATE TOTAL,Gross value added*,,$ million,2018-19,Qld,,344599
STATE TOTAL,Gross value added*,,$ million,2018-19,SA,,101572
STATE TOTAL,Gross value added*,,$ million,2018-19,WA,,276370
STATE TOTAL,Gross value added*,,$ million,2018-19,Tas,,29374
STATE TOTAL,Gross value added*,,$ million,2018-19,NT,,24168
STATE TOTAL,Gross value added*,,$ million,2018-19,ACT,,37985
STATE TOTAL,Gross value added*,,$ million,2018-19,Total,,1818811
STATE TOTAL,Gross value added*,,$ million,2019-20,NSW,,581058
STATE TOTAL,Gross value added*,,$ million,2019-20,Vic,,434084
STATE TOTAL,Gross value added*,,$ million,2019-20,Qld,,339468
STATE TOTAL,Gross value added*,,$ million,2019-20,SA,,102771
STATE TOTAL,Gross value added*,,$ million,2019-20,WA,,302291
STATE TOTAL,Gross value added*,,$ million,2019-20,Tas,,30070
STATE TOTAL,Gross value added*,,$ million,2019-20,NT,,25852
STATE TOTAL,Gross value added*,,$ million,2019-20,ACT,,40218
STATE TOTAL,Gross value added*,,$ million,2019-20,Total,,1855812
STATE TOTAL,Gross value added*,,$ million,2020-21,NSW,,600704
STATE TOTAL,Gross value added*,,$ million,2020-21,Vic,,441692
STATE TOTAL,Gross value added*,,$ million,2020-21,Qld,,343904
STATE TOTAL,Gross value added*,,$ million,2020-21,SA,,109581
STATE TOTAL,Gross value added*,,$ million,2020-21,WA,,354763
STATE TOTAL,Gross value added*,,$ million,2020-21,Tas,,31962
STATE TOTAL,Gross value added*,,$ million,2020-21,NT,,24245
STATE TOTAL,Gross value added*,,$ million,2020-21,ACT,,42371
STATE TOTAL,Gross value added*,,$ million,2020-21,Total,,1949223
STATE TOTAL,Gross value added*,,$ million,2021-22,NSW,,650256
STATE TOTAL,Gross value added*,,$ million,2021-22,Vic,,482826
STATE TOTAL,Gross value added*,,$ million,2021-22,Qld,,425026
STATE TOTAL,Gross value added*,,$ million,2021-22,SA,,119960
STATE TOTAL,Gross value added*,,$ million,2021-22,WA,,389034
STATE TOTAL,Gross value added*,,$ million,2021-22,Tas,,35052
STATE TOTAL,Gross value added*,,$ million,2021-22,NT,,30770
STATE TOTAL,Gross value added*,,$ million,2021-22,ACT,,44446
STATE TOTAL,Gross value added*,,$ million,2021-22,Total,,2177369
STATE TOTAL,Gross value added*,,$ million,2022-23,NSW,,723448
STATE TOTAL,Gross value added*,,$ million,2022-23,Vic,,530466
STATE TOTAL,Gross value added*,,$ million,2022-23,Qld,,474364
STATE TOTAL,Gross value added*,,$ million,2022-23,SA,,131254
STATE TOTAL,Gross value added*,,$ million,2022-23,WA,,430801
STATE TOTAL,Gross value added*,,$ million,2022-23,Tas,,37754
STATE TOTAL,Gross value added*,,$ million,2022-23,NT,,31520
STATE TOTAL,Gross value added*,,$ million,2022-23,ACT,,48690
STATE TOTAL,Gross value added*,,$ million,2022-23,Total,,2408297
STATE TOTAL,Gross value added*,,$ million,2023-24,NSW,,761944
STATE TOTAL,Gross value added*,,$ million,2023-24,Vic,,562953
STATE TOTAL,Gross value added*,,$ million,2023-24,Qld,,478160
STATE TOTAL,Gross value added*,,$ million,2023-24,SA,,138107
STATE TOTAL,Gross value added*,,$ million,2023-24,WA,,439912
STATE TOTAL,Gross value added*,,$ million,2023-24,Tas,,39461
STATE TOTAL,Gross value added*,,$ million,2023-24,NT,,31595
STATE TOTAL,Gross value added*,,$ million,2023-24,ACT,,52946
STATE TOTAL,Gross value added*,,$ million,2023-24,Total,,2505078
STATE TOTAL,Gross state product*,,$ million,2016-17,NSW,,574164
STATE TOTAL,Gross state product*,,$ million,2016-17,Vic,,418650
STATE TOTAL,Gross state product*,,$ million,2016-17,Qld,,327487
STATE TOTAL,Gross state product*,,$ million,2016-17,SA,,101967
STATE TOTAL,Gross state product*,,$ million,2016-17,WA,,247818
STATE TOTAL,Gross state product*,,$ million,2016-17,Tas,,28077
STATE TOTAL,Gross state product*,,$ million,2016-17,NT,,23293
STATE TOTAL,Gross state product*,,$ million,2016-17,ACT,,36198
STATE TOTAL,Gross state product*,,$ million,2016-17,Total,,1757655
STATE TOTAL,Gross state product*,,$ million,2017-18,NSW,,598348
STATE TOTAL,Gross state product*,,$ million,2017-18,Vic,,441820
STATE TOTAL,Gross state product*,,$ million,2017-18,Qld,,349630
STATE TOTAL,Gross state product*,,$ million,2017-18,SA,,105496
STATE TOTAL,Gross state product*,,$ million,2017-18,WA,,255203
STATE TOTAL,Gross state product*,,$ million,2017-18,Tas,,29449
STATE TOTAL,Gross state product*,,$ million,2017-18,NT,,24115
STATE TOTAL,Gross state product*,,$ million,2017-18,ACT,,37984
STATE TOTAL,Gross state product*,,$ million,2017-18,Total,,1842045
STATE TOTAL,Gross state product*,,$ million,2018-19,NSW,,626017
STATE TOTAL,Gross state product*,,$ million,2018-19,Vic,,463001
STATE TOTAL,Gross state product*,,$ million,2018-19,Qld,,365944
STATE TOTAL,Gross state product*,,$ million,2018-19,SA,,109266
STATE TOTAL,Gross state product*,,$ million,2018-19,WA,,286257
STATE TOTAL,Gross state product*,,$ million,2018-19,Tas,,31276
STATE TOTAL,Gross state product*,,$ million,2018-19,NT,,25315
STATE TOTAL,Gross state product*,,$ million,2018-19,ACT,,40243
STATE TOTAL,Gross state product*,,$ million,2018-19,Total,,1947319
STATE TOTAL,Gross state product*,,$ million,2019-20,NSW,,626891
STATE TOTAL,Gross state product*,,$ million,2019-20,Vic,,469757
STATE TOTAL,Gross state product*,,$ million,2019-20,Qld,,360481
STATE TOTAL,Gross state product*,,$ million,2019-20,SA,,110423
STATE TOTAL,Gross state product*,,$ million,2019-20,WA,,312944
STATE TOTAL,Gross state product*,,$ million,2019-20,Tas,,32141
STATE TOTAL,Gross state product*,,$ million,2019-20,NT,,26752
STATE TOTAL,Gross state product*,,$ million,2019-20,ACT,,42274
STATE TOTAL,Gross state product*,,$ million,2019-20,Total,,1981663
STATE TOTAL,Gross state product*,,$ million,2020-21,NSW,,651970
STATE TOTAL,Gross state product*,,$ million,2020-21,Vic,,476421
STATE TOTAL,Gross state product*,,$ million,2020-21,Qld,,367992
STATE TOTAL,Gross state product*,,$ million,2020-21,SA,,118490
STATE TOTAL,Gross state product*,,$ million,2020-21,WA,,366695
STATE TOTAL,Gross state product*,,$ million,2020-21,Tas,,34297
STATE TOTAL,Gross state product*,,$ million,2020-21,NT,,25381
STATE TOTAL,Gross state product*,,$ million,2020-21,ACT,,44576
STATE TOTAL,Gross state product*,,$ million,2020-21,Total,,2085822
STATE TOTAL,Gross state product*,,$ million,2021-22,NSW,,705237
STATE TOTAL,Gross state product*,,$ million,2021-22,Vic,,522571
STATE TOTAL,Gross state product*,,$ million,2021-22,Qld,,454207
STATE TOTAL,Gross state product*,,$ million,2021-22,SA,,128683
STATE TOTAL,Gross state product*,,$ million,2021-22,WA,,403144
STATE TOTAL,Gross state product*,,$ million,2021-22,Tas,,37461
STATE TOTAL,Gross state product*,,$ million,2021-22,NT,,32245
STATE TOTAL,Gross state product*,,$ million,2021-22,ACT,,46782
STATE TOTAL,Gross state product*,,$ million,2021-22,Total,,2330329
STATE TOTAL,Gross state product*,,$ million,2022-23,NSW,,779136
STATE TOTAL,Gross state product*,,$ million,2022-23,Vic,,572229
STATE TOTAL,Gross state product*,,$ million,2022-23,Qld,,505231
STATE TOTAL,Gross state product*,,$ million,2022-23,SA,,140499
STATE TOTAL,Gross state product*,,$ million,2022-23,WA,,446066
STATE TOTAL,Gross state product*,,$ million,2022-23,Tas,,40067
STATE TOTAL,Gross state product*,,$ million,2022-23,NT,,33059
STATE TOTAL,Gross state product*,,$ million,2022-23,ACT,,51226
STATE TOTAL,Gross state product*,,$ million,2022-23,Total,,2567513
STATE TOTAL,Gross state product*,,$ million,2023-24,NSW,,820790
STATE TOTAL,Gross state product*,,$ million,2023-24,Vic,,606096
STATE TOTAL,Gross state product*,,$ million,2023-24,Qld,,510694
STATE TOTAL,Gross state product*,,$ million,2023-24,SA,,148746
STATE TOTAL,Gross state product*,,$ million,2023-24,WA,,455707
STATE TOTAL,Gross state product*,,$ million,2023-24,Tas,,42062
STATE TOTAL,Gross state product*,,$ million,2023-24,NT,,33132
STATE TOTAL,Gross state product*,,$ million,2023-24,ACT,,55431
STATE TOTAL,Gross state product*,,$ million,2023-24,Total,,2672659
STATE TOTAL,Filled jobs**,,'000,2016-17,NSW,,4137.075
STATE TOTAL,Filled jobs**,,'000,2016-17,Vic,,3319.15
STATE TOTAL,Filled jobs**,,'000,2016-17,Qld,,2665.8
STATE TOTAL,Filled jobs**,,'000,2016-17,SA,,888.6750000000001
STATE TOTAL,Filled jobs**,,'000,2016-17,WA,,1421.1999999999996
STATE TOTAL,Filled jobs**,,'000,2016-17,Tas,,278.725
STATE TOTAL,Filled jobs**,,'000,2016-17,NT,,128.35
STATE TOTAL,Filled jobs**,,'000,2016-17,ACT,,236.95
STATE TOTAL,Filled jobs**,,'000,2016-17,Total,,13075.925000000001
STATE TOTAL,Filled jobs**,,'000,2017-18,NSW,,4283.775
STATE TOTAL,Filled jobs**,,'000,2017-18,Vic,,3437.9999999999995
STATE TOTAL,Filled jobs**,,'000,2017-18,Qld,,2756.05
STATE TOTAL,Filled jobs**,,'000,2017-18,SA,,900.5250000000001
STATE TOTAL,Filled jobs**,,'000,2017-18,WA,,1442.825
STATE TOTAL,Filled jobs**,,'000,2017-18,Tas,,284.825
STATE TOTAL,Filled jobs**,,'000,2017-18,NT,,129.675
STATE TOTAL,Filled jobs**,,'000,2017-18,ACT,,243.475
STATE TOTAL,Filled jobs**,,'000,2017-18,Total,,13479.150000000001
STATE TOTAL,Filled jobs**,,'000,2018-19,NSW,,4407.349999999999
STATE TOTAL,Filled jobs**,,'000,2018-19,Vic,,3527.275
STATE TOTAL,Filled jobs**,,'000,2018-19,Qld,,2830.3250000000003
STATE TOTAL,Filled jobs**,,'000,2018-19,SA,,918.025
STATE TOTAL,Filled jobs**,,'000,2018-19,WA,,1468.125
STATE TOTAL,Filled jobs**,,'000,2018-19,Tas,,293.05
STATE TOTAL,Filled jobs**,,'000,2018-19,NT,,134.9
STATE TOTAL,Filled jobs**,,'000,2018-19,ACT,,245.2
STATE TOTAL,Filled jobs**,,'000,2018-19,Total,,13824.25
STATE TOTAL,Filled jobs**,,'000,2019-20,NSW,,4299.075
STATE TOTAL,Filled jobs**,,'000,2019-20,Vic,,3599.3250000000003
STATE TOTAL,Filled jobs**,,'000,2019-20,Qld,,2837.375
STATE TOTAL,Filled jobs**,,'000,2019-20,SA,,925.0749999999999
STATE TOTAL,Filled jobs**,,'000,2019-20,WA,,1484.625
STATE TOTAL,Filled jobs**,,'000,2019-20,Tas,,296.79999999999995
STATE TOTAL,Filled jobs**,,'000,2019-20,NT,,134.22500000000002
STATE TOTAL,Filled jobs**,,'000,2019-20,ACT,,252.87499999999994
STATE TOTAL,Filled jobs**,,'000,2019-20,Total,,13829.375000000002
STATE TOTAL,Filled jobs**,,'000,2020-21,NSW,,4453.424999999999
STATE TOTAL,Filled jobs**,,'000,2020-21,Vic,,3601.8749999999995
STATE TOTAL,Filled jobs**,,'000,2020-21,Qld,,2809.2
STATE TOTAL,Filled jobs**,,'000,2020-21,SA,,918.2
STATE TOTAL,Filled jobs**,,'000,2020-21,WA,,1468.35
