section,category,subcategory,unit,financial_year,state,measure,value
,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,NSW,,1622.6332
,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,Vic,,1291.459
,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,Qld,,1097.6962
,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,SA,,395.2212
,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,WA,,554.345
,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,Tas,,166.7321
,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,NT,,39.3031
,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,ACT,,82.7577
,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,Total(a),,5250.1473
,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,NSW,,1766.3395
,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,Vic,,1455.7748
,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,Qld,,1307.7834
,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,SA,,407.4258
,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,WA,,464.3155
,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,Tas,,147.2367
,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,NT,,31.7776
,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,ACT,,83.5951
,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,Total(a),,5664.2486
,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,NSW,,1940.6519
,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,Vic,,1609.0579
,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,Qld,,1368.2954
,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,SA,,466.1969
,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,WA,,573.5401
,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,Tas,,173.5005
,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,NT,,45.9901
,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,ACT,,91.2267
,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,Total(a),,6268.4594
,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,NSW,,1787.5197
,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,Vic,,1412.3609
,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,Qld,,1306.8917
,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,SA,,383.0306
,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,WA,,589.7592
,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,Tas,,160.9629
,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,NT,,32.3983
,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,ACT,,88.5572
,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,Total(a),,5761.4806
,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,NSW,,1672.3296
,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,Vic,,1062.1961
,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,Qld,,1250.1794
,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,SA,,405.9488
,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,WA,,654.1444
,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,Tas,,157.0412
,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,NT,,71.8255
,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,ACT,,58.6123
,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,Total(a),,5332.2774
,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,NSW,,1397.2783
,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,Vic,,1475.5029
,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,Qld,,1365.5631
,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,SA,,424.7992
,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,WA,,579.1178
,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,Tas,,172.2491
,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,NT,,33.1196
,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,ACT,,88.2266
,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,Total(a),,5535.8566
,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,NSW,,2561.6054
,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,Vic,,2367.495
,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,Qld,,1860.4595
,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,SA,,558.2424
,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,WA,,833.6994
,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,Tas,,178.4779
,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,NT,,58.1725
,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,ACT,,163.0316
,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,Total(a),,8581.1837
,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,NSW,,2834.7081
,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,Vic,,2289.0864
,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,Qld,,1796.6314
,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,SA,,475.135
,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,WA,,919.1761
,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,Tas,,199.6765
,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,NT,,37.0816
,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,ACT,,167.4173
,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,Total(a),,8718.9124
,Intrastate(b),,LEVEL ($ million) – basic prices,2016-17,NSW,,4243.8099
,Intrastate(b),,LEVEL ($ million) – basic prices,2016-17,Vic,,2747.7834
,Intrastate(b),,LEVEL ($ million) – basic prices,2016-17,Qld,,3376.122
,Intrastate(b),,LEVEL ($ million) – basic prices,2016-17,SA,,799.793
,Intrastate(b),,LEVEL ($ million) – basic prices,2016-17,WA,,2393.4
,Intrastate(b),,LEVEL ($ million) – basic prices,2016-17,Tas,,241.325
,Intrastate(b),,LEVEL ($ million) – basic prices,2016-17,NT,,206.8252
,Intrastate(b),,LEVEL ($ million) – basic prices,2016-17,ACT,,79.9194
,Intrastate(b),,LEVEL ($ million) – basic prices,2016-17,Total(a),,14088.9778
,Intrastate(b),,LEVEL ($ million) – basic prices,2017-18,NSW,,4921.9409
,Intrastate(b),,LEVEL ($ million) – basic prices,2017-18,Vic,,2957.3344
,Intrastate(b),,LEVEL ($ million) – basic prices,2017-18,Qld,,3724.9009
,Intrastate(b),,LEVEL ($ million) – basic prices,2017-18,SA,,815.2595
,Intrastate(b),,LEVEL ($ million) – basic prices,2017-18,WA,,1891.6877
,Intrastate(b),,LEVEL ($ million) – basic prices,2017-18,Tas,,247.7637
,Intrastate(b),,LEVEL ($ million) – basic prices,2017-18,NT,,199.3112
,Intrastate(b),,LEVEL ($ million) – basic prices,2017-18,ACT,,126.4779
,Intrastate(b),,LEVEL ($ million) – basic prices,2017-18,Total(a),,14884.6763
,Intrastate(b),,LEVEL ($ million) – basic prices,2018-19,NSW,,5213.0398
,Intrastate(b),,LEVEL ($ million) – basic prices,2018-19,Vic,,3640.9261
,Intrastate(b),,LEVEL ($ million) – basic prices,2018-19,Qld,,4058.818
,Intrastate(b),,LEVEL ($ million) – basic prices,2018-19,SA,,999.4835
,Intrastate(b),,LEVEL ($ million) – basic prices,2018-19,WA,,2391.2935
,Intrastate(b),,LEVEL ($ million) – basic prices,2018-19,Tas,,363.5706
,Intrastate(b),,LEVEL ($ million) – basic prices,2018-19,NT,,197.74
,Intrastate(b),,LEVEL ($ million) – basic prices,2018-19,ACT,,112.1158
,Intrastate(b),,LEVEL ($ million) – basic prices,2018-19,Total(a),,16976.9874
,Intrastate(b),,LEVEL ($ million) – basic prices,2019-20,NSW,,4117.0318
,Intrastate(b),,LEVEL ($ million) – basic prices,2019-20,Vic,,2887.6247
,Intrastate(b),,LEVEL ($ million) – basic prices,2019-20,Qld,,3173.2305
,Intrastate(b),,LEVEL ($ million) – basic prices,2019-20,SA,,904.3705
,Intrastate(b),,LEVEL ($ million) – basic prices,2019-20,WA,,2021.0637
,Intrastate(b),,LEVEL ($ million) – basic prices,2019-20,Tas,,255.9098
,Intrastate(b),,LEVEL ($ million) – basic prices,2019-20,NT,,124.575
,Intrastate(b),,LEVEL ($ million) – basic prices,2019-20,ACT,,77.0224
,Intrastate(b),,LEVEL ($ million) – basic prices,2019-20,Total(a),,13560.8285
,Intrastate(b),,LEVEL ($ million) – basic prices,2020-21,NSW,,4853.4136
,Intrastate(b),,LEVEL ($ million) – basic prices,2020-21,Vic,,2467.4047
,Intrastate(b),,LEVEL ($ million) – basic prices,2020-21,Qld,,3643.9913
,Intrastate(b),,LEVEL ($ million) – basic prices,2020-21,SA,,1012.8194
,Intrastate(b),,LEVEL ($ million) – basic prices,2020-21,WA,,1907.7632
,Intrastate(b),,LEVEL ($ million) – basic prices,2020-21,Tas,,320.8337
,Intrastate(b),,LEVEL ($ million) – basic prices,2020-21,NT,,163.5452
,Intrastate(b),,LEVEL ($ million) – basic prices,2020-21,ACT,,69.1896
,Intrastate(b),,LEVEL ($ million) – basic prices,2020-21,Total(a),,14438.9607
,Intrastate(b),,LEVEL ($ million) – basic prices,2021-22,NSW,,4107.9443
,Intrastate(b),,LEVEL ($ million) – basic prices,2021-22,Vic,,3030.5942
,Intrastate(b),,LEVEL ($ million) – basic prices,2021-22,Qld,,4325.2515
,Intrastate(b),,LEVEL ($ million) – basic prices,2021-22,SA,,889.6138
,Intrastate(b),,LEVEL ($ million) – basic prices,2021-22,WA,,2276.4105
,Intrastate(b),,LEVEL ($ million) – basic prices,2021-22,Tas,,306.6827
,Intrastate(b),,LEVEL ($ million) – basic prices,2021-22,NT,,137.874
,Intrastate(b),,LEVEL ($ million) – basic prices,2021-22,ACT,,64.9929
,Intrastate(b),,LEVEL ($ million) – basic prices,2021-22,Total(a),,15139.3638
,Intrastate(b),,LEVEL ($ million) – basic prices,2022-23,NSW,,7009.1303
,Intrastate(b),,LEVEL ($ million) – basic prices,2022-23,Vic,,4544.9701
,Intrastate(b),,LEVEL ($ million) – basic prices,2022-23,Qld,,6033.5249
,Intrastate(b),,LEVEL ($ million) – basic prices,2022-23,SA,,1304.8257
,Intrastate(b),,LEVEL ($ million) – basic prices,2022-23,WA,,2895.0146
,Intrastate(b),,LEVEL ($ million) – basic prices,2022-23,Tas,,436.3519
,Intrastate(b),,LEVEL ($ million) – basic prices,2022-23,NT,,230.6003
,Intrastate(b),,LEVEL ($ million) – basic prices,2022-23,ACT,,115.6388
,Intrastate(b),,LEVEL ($ million) – basic prices,2022-23,Total(a),,22570.0565
,Intrastate(b),,LEVEL ($ million) – basic prices,2023-24,NSW,,7185.3903
,Intrastate(b),,LEVEL ($ million) – basic prices,2023-24,Vic,,5238.0312
,Intrastate(b),,LEVEL ($ million) – basic prices,2023-24,Qld,,5784.0949
,Intrastate(b),,LEVEL ($ million) – basic prices,2023-24,SA,,1274.1131
,Intrastate(b),,LEVEL ($ million) – basic prices,2023-24,WA,,3165.6493
,Intrastate(b),,LEVEL ($ million) – basic prices,2023-24,Tas,,418.5089
,Intrastate(b),,LEVEL ($ million) – basic prices,2023-24,NT,,272.4459
,Intrastate(b),,LEVEL ($ million) – basic prices,2023-24,ACT,,128.2517
,Intrastate(b),,LEVEL ($ million) – basic prices,2023-24,Total(a),,23466.4854
,Interstate(b),,LEVEL ($ million) – basic prices,2016-17,NSW,,2602.5349
,Interstate(b),,LEVEL ($ million) – basic prices,2016-17,Vic,,2549.5591
,Interstate(b),,LEVEL ($ million) – basic prices,2016-17,Qld,,2605.444
,Interstate(b),,LEVEL ($ million) – basic prices,2016-17,SA,,768.5234
,Interstate(b),,LEVEL ($ million) – basic prices,2016-17,WA,,761.6323
,Interstate(b),,LEVEL ($ million) – basic prices,2016-17,Tas,,614.4148
,Interstate(b),,LEVEL ($ million) – basic prices,2016-17,NT,,464.1343
,Interstate(b),,LEVEL ($ million) – basic prices,2016-17,ACT,,484.4036
,Interstate(b),,LEVEL ($ million) – basic prices,2016-17,Total(a),,10850.6464
,Interstate(b),,LEVEL ($ million) – basic prices,2017-18,NSW,,3146.2574
,Interstate(b),,LEVEL ($ million) – basic prices,2017-18,Vic,,2555.7752
,Interstate(b),,LEVEL ($ million) – basic prices,2017-18,Qld,,2935.4054
,Interstate(b),,LEVEL ($ million) – basic prices,2017-18,SA,,814.2026
,Interstate(b),,LEVEL ($ million) – basic prices,2017-18,WA,,817.6281
,Interstate(b),,LEVEL ($ million) – basic prices,2017-18,Tas,,588.6778
,Interstate(b),,LEVEL ($ million) – basic prices,2017-18,NT,,409.4006
,Interstate(b),,LEVEL ($ million) – basic prices,2017-18,ACT,,560.4957
,Interstate(b),,LEVEL ($ million) – basic prices,2017-18,Total(a),,11827.8427
,Interstate(b),,LEVEL ($ million) – basic prices,2018-19,NSW,,3292.9635
,Interstate(b),,LEVEL ($ million) – basic prices,2018-19,Vic,,2977.3322
,Interstate(b),,LEVEL ($ million) – basic prices,2018-19,Qld,,3222.1473
,Interstate(b),,LEVEL ($ million) – basic prices,2018-19,SA,,909.8194
,Interstate(b),,LEVEL ($ million) – basic prices,2018-19,WA,,962.728
,Interstate(b),,LEVEL ($ million) – basic prices,2018-19,Tas,,656.9758
,Interstate(b),,LEVEL ($ million) – basic prices,2018-19,NT,,489.0679
,Interstate(b),,LEVEL ($ million) – basic prices,2018-19,ACT,,556.1316
,Interstate(b),,LEVEL ($ million) – basic prices,2018-19,Total(a),,13067.1657
,Interstate(b),,LEVEL ($ million) – basic prices,2019-20,NSW,,2735.165
,Interstate(b),,LEVEL ($ million) – basic prices,2019-20,Vic,,2221.7535
,Interstate(b),,LEVEL ($ million) – basic prices,2019-20,Qld,,2552.4074
,Interstate(b),,LEVEL ($ million) – basic prices,2019-20,SA,,760.7856
,Interstate(b),,LEVEL ($ million) – basic prices,2019-20,WA,,864.3369
,Interstate(b),,LEVEL ($ million) – basic prices,2019-20,Tas,,610.458
,Interstate(b),,LEVEL ($ million) – basic prices,2019-20,NT,,361.4209
,Interstate(b),,LEVEL ($ million) – basic prices,2019-20,ACT,,411.0689
,Interstate(b),,LEVEL ($ million) – basic prices,2019-20,Total(a),,10517.3962
,Interstate(b),,LEVEL ($ million) – basic prices,2020-21,NSW,,1631.9381
,Interstate(b),,LEVEL ($ million) – basic prices,2020-21,Vic,,836.609
,Interstate(b),,LEVEL ($ million) – basic prices,2020-21,Qld,,1642.011
,Interstate(b),,LEVEL ($ million) – basic prices,2020-21,SA,,580.691
,Interstate(b),,LEVEL ($ million) – basic prices,2020-21,WA,,329.8325
,Interstate(b),,LEVEL ($ million) – basic prices,2020-21,Tas,,413.5003
,Interstate(b),,LEVEL ($ million) – basic prices,2020-21,NT,,249.2599
,Interstate(b),,LEVEL ($ million) – basic prices,2020-21,ACT,,346.58
,Interstate(b),,LEVEL ($ million) – basic prices,2020-21,Total(a),,6030.4218
,Interstate(b),,LEVEL ($ million) – basic prices,2021-22,NSW,,2081.8146
,Interstate(b),,LEVEL ($ million) – basic prices,2021-22,Vic,,1406.7111
,Interstate(b),,LEVEL ($ million) – basic prices,2021-22,Qld,,2291.1537
,Interstate(b),,LEVEL ($ million) – basic prices,2021-22,SA,,642.5287
,Interstate(b),,LEVEL ($ million) – basic prices,2021-22,WA,,443.7535
,Interstate(b),,LEVEL ($ million) – basic prices,2021-22,Tas,,554.9391
,Interstate(b),,LEVEL ($ million) – basic prices,2021-22,NT,,468.8382
,Interstate(b),,LEVEL ($ million) – basic prices,2021-22,ACT,,389.1631
,Interstate(b),,LEVEL ($ million) – basic prices,2021-22,Total(a),,8278.902
,Interstate(b),,LEVEL ($ million) – basic prices,2022-23,NSW,,4347.4876
,Interstate(b),,LEVEL ($ million) – basic prices,2022-23,Vic,,4018.3199
,Interstate(b),,LEVEL ($ million) – basic prices,2022-23,Qld,,4714.2564
,Interstate(b),,LEVEL ($ million) – basic prices,2022-23,SA,,1232.7831
,Interstate(b),,LEVEL ($ million) – basic prices,2022-23,WA,,1451.2069
,Interstate(b),,LEVEL ($ million) – basic prices,2022-23,Tas,,865.072
,Interstate(b),,LEVEL ($ million) – basic prices,2022-23,NT,,666.7603
,Interstate(b),,LEVEL ($ million) – basic prices,2022-23,ACT,,789.8987
,Interstate(b),,LEVEL ($ million) – basic prices,2022-23,Total(a),,18085.7849
,Interstate(b),,LEVEL ($ million) – basic prices,2023-24,NSW,,4571.2745
,Interstate(b),,LEVEL ($ million) – basic prices,2023-24,Vic,,3739.1981
,Interstate(b),,LEVEL ($ million) – basic prices,2023-24,Qld,,5033.1033
,Interstate(b),,LEVEL ($ million) – basic prices,2023-24,SA,,1265.1306
,Interstate(b),,LEVEL ($ million) – basic prices,2023-24,WA,,1313.6721
,Interstate(b),,LEVEL ($ million) – basic prices,2023-24,Tas,,988.2691
,Interstate(b),,LEVEL ($ million) – basic prices,2023-24,NT,,687.1166
,Interstate(b),,LEVEL ($ million) – basic prices,2023-24,ACT,,762.8691
,Interstate(b),,LEVEL ($ million) – basic prices,2023-24,Total(a),,18360.6332
,International,,LEVEL ($ million) – basic prices,2016-17,NSW,,4441.9206
,International,,LEVEL ($ million) – basic prices,2016-17,Vic,,3386.4977
,International,,LEVEL ($ million) – basic prices,2016-17,Qld,,2487.7848
,International,,LEVEL ($ million) – basic prices,2016-17,SA,,610.5301
,International,,LEVEL ($ million) – basic prices,2016-17,WA,,1195.387
,International,,LEVEL ($ million) – basic prices,2016-17,Tas,,244.7212
,International,,LEVEL ($ million) – basic prices,2016-17,NT,,224.9012
,International,,LEVEL ($ million) – basic prices,2016-17,ACT,,233.4865
,International,,LEVEL ($ million) – basic prices,2016-17,Total(a),,12825.2291
,International,,LEVEL ($ million) – basic prices,2017-18,NSW,,4769.2597
,International,,LEVEL ($ million) – basic prices,2017-18,Vic,,3746.9984
,International,,LEVEL ($ million) – basic prices,2017-18,Qld,,2797.6143
,International,,LEVEL ($ million) – basic prices,2017-18,SA,,666.7206
,International,,LEVEL ($ million) – basic prices,2017-18,WA,,1142.411
,International,,LEVEL ($ million) – basic prices,2017-18,Tas,,304.9578
,International,,LEVEL ($ million) – basic prices,2017-18,NT,,209.3412
,International,,LEVEL ($ million) – basic prices,2017-18,ACT,,292.9289
,International,,LEVEL ($ million) – basic prices,2017-18,Total(a),,13930.2319
,International,,LEVEL ($ million) – basic prices,2018-19,NSW,,5229.4086
,International,,LEVEL ($ million) – basic prices,2018-19,Vic,,4146.6201
,International,,LEVEL ($ million) – basic prices,2018-19,Qld,,3011.4044
,International,,LEVEL ($ million) – basic prices,2018-19,SA,,666.4603
