section,category,subcategory,unit,financial_year,state,measure,value
Tourism characteristic products,Tourism consumption,Accommodation services,,2023-24,NSW,$m,6965.8078000000005
Tourism characteristic products,Tourism consumption,Accommodation services,,2023-24,NSW,%,31.211610110924763
Tourism characteristic products,Tourism consumption,Accommodation services,,2023-24,Vic,$m,4517.4273
Tourism characteristic products,Tourism consumption,Accommodation services,,2023-24,Vic,%,20.241181445179635
Tourism characteristic products,Tourism consumption,Accommodation services,,2023-24,Qld,$m,5703.9714
Tourism characteristic products,Tourism consumption,Accommodation services,,2023-24,Qld,%,25.557715132574526
Tourism characteristic products,Tourism consumption,Accommodation services,,2023-24,SA,$m,1139.8062
Tourism characteristic products,Tourism consumption,Accommodation services,,2023-24,SA,%,5.107115748501521
Tourism characteristic products,Tourism consumption,Accommodation services,,2023-24,WA,$m,2343.1961
Tourism characteristic products,Tourism consumption,Accommodation services,,2023-24,WA,%,10.499130206641572
Tourism characteristic products,Tourism consumption,Accommodation services,,2023-24,Tas,$m,683.9770000000001
Tourism characteristic products,Tourism consumption,Accommodation services,,2023-24,Tas,%,3.064687407660026
Tourism characteristic products,Tourism consumption,Accommodation services,,2023-24,NT,$m,444.4513
Tourism characteristic products,Tourism consumption,Accommodation services,,2023-24,NT,%,1.9914475229841475
Tourism characteristic products,Tourism consumption,Accommodation services,,2023-24,ACT,$m,519.365
Tourism characteristic products,Tourism consumption,Accommodation services,,2023-24,ACT,%,2.327112425533825
Tourism characteristic products,Tourism consumption,Accommodation services,,2023-24,Total(a),$m,22318.002099999998
Tourism characteristic products,Tourism consumption,Actual and imputed rent on dwellings,,2023-24,NSW,$m,5615.3881
Tourism characteristic products,Tourism consumption,Actual and imputed rent on dwellings,,2023-24,NSW,%,32.592651369459006
Tourism characteristic products,Tourism consumption,Actual and imputed rent on dwellings,,2023-24,Vic,$m,4297.1709
Tourism characteristic products,Tourism consumption,Actual and imputed rent on dwellings,,2023-24,Vic,%,24.941498347849617
Tourism characteristic products,Tourism consumption,Actual and imputed rent on dwellings,,2023-24,Qld,$m,3356.4542
Tourism characteristic products,Tourism consumption,Actual and imputed rent on dwellings,,2023-24,Qld,%,19.481421342570506
Tourism characteristic products,Tourism consumption,Actual and imputed rent on dwellings,,2023-24,SA,$m,1408.417
Tourism characteristic products,Tourism consumption,Actual and imputed rent on dwellings,,2023-24,SA,%,8.174687741319133
Tourism characteristic products,Tourism consumption,Actual and imputed rent on dwellings,,2023-24,WA,$m,1695.9593
Tourism characteristic products,Tourism consumption,Actual and imputed rent on dwellings,,2023-24,WA,%,9.843631324732788
Tourism characteristic products,Tourism consumption,Actual and imputed rent on dwellings,,2023-24,Tas,$m,438.7313
Tourism characteristic products,Tourism consumption,Actual and imputed rent on dwellings,,2023-24,Tas,%,2.546469816711249
Tourism characteristic products,Tourism consumption,Actual and imputed rent on dwellings,,2023-24,NT,$m,134.8871
Tourism characteristic products,Tourism consumption,Actual and imputed rent on dwellings,,2023-24,NT,%,0.7829072801819974
Tourism characteristic products,Tourism consumption,Actual and imputed rent on dwellings,,2023-24,ACT,$m,281.9927
Tourism characteristic products,Tourism consumption,Actual and imputed rent on dwellings,,2023-24,ACT,%,1.6367327771757116
Tourism characteristic products,Tourism consumption,Actual and imputed rent on dwellings,,2023-24,Total(a),$m,17229.0006
Tourism characteristic products,Tourism consumption,Takeaway and restaurant meals,,2023-24,NSW,$m,9462.626799999998
Tourism characteristic products,Tourism consumption,Takeaway and restaurant meals,,2023-24,NSW,%,30.76976284981162
