table,section,category,subcategory,unit,financial_year,state,measure,value
Table 3,,Intrastate(b),,LEVEL ($ million) – basic prices,2022-23,SA,,1304.8257
Table 3,,Intrastate(b),,LEVEL ($ million) – basic prices,2022-23,WA,,2895.0146
Table 3,,Intrastate(b),,LEVEL ($ million) – basic prices,2022-23,Tas,,436.3519
Table 3,,Intrastate(b),,LEVEL ($ million) – basic prices,2022-23,NT,,230.6003
Table 3,,Intrastate(b),,LEVEL ($ million) – basic prices,2022-23,ACT,,115.6388
Table 3,,Intrastate(b),,LEVEL ($ million) – basic prices,2022-23,Total(a),,22570.0565
Table 3,,Intrastate(b),,LEVEL ($ million) – basic prices,2023-24,NSW,,7185.3903
Table 3,,Intrastate(b),,LEVEL ($ million) – basic prices,2023-24,Vic,,5238.0312
Table 3,,Intrastate(b),,LEVEL ($ million) – basic prices,2023-24,Qld,,5784.0949
Table 3,,Intrastate(b),,LEVEL ($ million) – basic prices,2023-24,SA,,1274.1131
Table 3,,Intrastate(b),,LEVEL ($ million) – basic prices,2023-24,WA,,3165.6493
Table 3,,Intrastate(b),,LEVEL ($ million) – basic prices,2023-24,Tas,,418.5089
Table 3,,Intrastate(b),,LEVEL ($ million) – basic prices,2023-24,NT,,272.4459
Table 3,,Intrastate(b),,LEVEL ($ million) – basic prices,2023-24,ACT,,128.2517
Table 3,,Intrastate(b),,LEVEL ($ million) – basic prices,2023-24,Total(a),,23466.4854
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2016-17,NSW,,2602.5349
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2016-17,Vic,,2549.5591
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2016-17,Qld,,2605.444
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2016-17,SA,,768.5234
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2016-17,WA,,761.6323
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2016-17,Tas,,614.4148
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2016-17,NT,,464.1343
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2016-17,ACT,,484.4036
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2016-17,Total(a),,10850.6464
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2017-18,NSW,,3146.2574
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2017-18,Vic,,2555.7752
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2017-18,Qld,,2935.4054
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2017-18,SA,,814.2026
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2017-18,WA,,817.6281
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2017-18,Tas,,588.6778
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2017-18,NT,,409.4006
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2017-18,ACT,,560.4957
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2017-18,Total(a),,11827.8427
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2018-19,NSW,,3292.9635
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2018-19,Vic,,2977.3322
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2018-19,Qld,,3222.1473
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2018-19,SA,,909.8194
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2018-19,WA,,962.728
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2018-19,Tas,,656.9758
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2018-19,NT,,489.0679
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2018-19,ACT,,556.1316
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2018-19,Total(a),,13067.1657
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2019-20,NSW,,2735.165
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2019-20,Vic,,2221.7535
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2019-20,Qld,,2552.4074
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2019-20,SA,,760.7856
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2019-20,WA,,864.3369
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2019-20,Tas,,610.458
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2019-20,NT,,361.4209
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2019-20,ACT,,411.0689
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2019-20,Total(a),,10517.3962
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2020-21,NSW,,1631.9381
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2020-21,Vic,,836.609
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2020-21,Qld,,1642.011
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2020-21,SA,,580.691
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2020-21,WA,,329.8325
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2020-21,Tas,,413.5003
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2020-21,NT,,249.2599
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2020-21,ACT,,346.58
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2020-21,Total(a),,6030.4218
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2021-22,NSW,,2081.8146
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2021-22,Vic,,1406.7111
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2021-22,Qld,,2291.1537
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2021-22,SA,,642.5287
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2021-22,WA,,443.7535
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2021-22,Tas,,554.9391
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2021-22,NT,,468.8382
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2021-22,ACT,,389.1631
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2021-22,Total(a),,8278.902
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2022-23,NSW,,4347.4876
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2022-23,Vic,,4018.3199
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2022-23,Qld,,4714.2564
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2022-23,SA,,1232.7831
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2022-23,WA,,1451.2069
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2022-23,Tas,,865.072
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2022-23,NT,,666.7603
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2022-23,ACT,,789.8987
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2022-23,Total(a),,18085.7849
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2023-24,NSW,,4571.2745
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2023-24,Vic,,3739.1981
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2023-24,Qld,,5033.1033
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2023-24,SA,,1265.1306
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2023-24,WA,,1313.6721
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2023-24,Tas,,988.2691
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2023-24,NT,,687.1166
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2023-24,ACT,,762.8691
Table 3,,Interstate(b),,LEVEL ($ million) – basic prices,2023-24,Total(a),,18360.6332
Table 3,,International,,LEVEL ($ million) – basic prices,2016-17,NSW,,4441.9206
Table 3,,International,,LEVEL ($ million) – basic prices,2016-17,Vic,,3386.4977
Table 3,,International,,LEVEL ($ million) – basic prices,2016-17,Qld,,2487.7848
Table 3,,International,,LEVEL ($ million) – basic prices,2016-17,SA,,610.5301
Table 3,,International,,LEVEL ($ million) – basic prices,2016-17,WA,,1195.387
Table 3,,International,,LEVEL ($ million) – basic prices,2016-17,Tas,,244.7212
Table 3,,International,,LEVEL ($ million) – basic prices,2016-17,NT,,224.9012
Table 3,,International,,LEVEL ($ million) – basic prices,2016-17,ACT,,233.4865
Table 3,,International,,LEVEL ($ million) – basic prices,2016-17,Total(a),,12825.2291
Table 3,,International,,LEVEL ($ million) – basic prices,2017-18,NSW,,4769.2597
Table 3,,International,,LEVEL ($ million) – basic prices,2017-18,Vic,,3746.9984
Table 3,,International,,LEVEL ($ million) – basic prices,2017-18,Qld,,2797.6143
Table 3,,International,,LEVEL ($ million) – basic prices,2017-18,SA,,666.7206
Table 3,,International,,LEVEL ($ million) – basic prices,2017-18,WA,,1142.411
Table 3,,International,,LEVEL ($ million) – basic prices,2017-18,Tas,,304.9578
Table 3,,International,,LEVEL ($ million) – basic prices,2017-18,NT,,209.3412
Table 3,,International,,LEVEL ($ million) – basic prices,2017-18,ACT,,292.9289
Table 3,,International,,LEVEL ($ million) – basic prices,2017-18,Total(a),,13930.2319
Table 3,,International,,LEVEL ($ million) – basic prices,2018-19,NSW,,5229.4086
Table 3,,International,,LEVEL ($ million) – basic prices,2018-19,Vic,,4146.6201
Table 3,,International,,LEVEL ($ million) – basic prices,2018-19,Qld,,3011.4044
Table 3,,International,,LEVEL ($ million) – basic prices,2018-19,SA,,666.4603
Table 3,,International,,LEVEL ($ million) – basic prices,2018-19,WA,,1197.4642
Table 3,,International,,LEVEL ($ million) – basic prices,2018-19,Tas,,299.3704
Table 3,,International,,LEVEL ($ million) – basic prices,2018-19,NT,,227.5872
Table 3,,International,,LEVEL ($ million) – basic prices,2018-19,ACT,,297.0701
Table 3,,International,,LEVEL ($ million) – basic prices,2018-19,Total(a),,15075.3852
Table 3,,International,,LEVEL ($ million) – basic prices,2019-20,NSW,,3878.0092
Table 3,,International,,LEVEL ($ million) – basic prices,2019-20,Vic,,3336.2069
Table 3,,International,,LEVEL ($ million) – basic prices,2019-20,Qld,,2391.4526
Table 3,,International,,LEVEL ($ million) – basic prices,2019-20,SA,,568.4154
Table 3,,International,,LEVEL ($ million) – basic prices,2019-20,WA,,981.0076
Table 3,,International,,LEVEL ($ million) – basic prices,2019-20,Tas,,230.6353
Table 3,,International,,LEVEL ($ million) – basic prices,2019-20,NT,,185.4713
Table 3,,International,,LEVEL ($ million) – basic prices,2019-20,ACT,,193.0972
Table 3,,International,,LEVEL ($ million) – basic prices,2019-20,Total(a),,11764.2956
Table 3,,International,,LEVEL ($ million) – basic prices,2020-21,NSW,,156.5694
Table 3,,International,,LEVEL ($ million) – basic prices,2020-21,Vic,,67.7407
Table 3,,International,,LEVEL ($ million) – basic prices,2020-21,Qld,,75.8063
Table 3,,International,,LEVEL ($ million) – basic prices,2020-21,SA,,21.2849
Table 3,,International,,LEVEL ($ million) – basic prices,2020-21,WA,,31.824
Table 3,,International,,LEVEL ($ million) – basic prices,2020-21,Tas,,7.0565
Table 3,,International,,LEVEL ($ million) – basic prices,2020-21,NT,,6.7709
Table 3,,International,,LEVEL ($ million) – basic prices,2020-21,ACT,,5.2884
Table 3,,International,,LEVEL ($ million) – basic prices,2020-21,Total(a),,372.3409
Table 3,,International,,LEVEL ($ million) – basic prices,2021-22,NSW,,894.4773
Table 3,,International,,LEVEL ($ million) – basic prices,2021-22,Vic,,748.7586
Table 3,,International,,LEVEL ($ million) – basic prices,2021-22,Qld,,369.7492
Table 3,,International,,LEVEL ($ million) – basic prices,2021-22,SA,,104.0269
Table 3,,International,,LEVEL ($ million) – basic prices,2021-22,WA,,166.2411
Table 3,,International,,LEVEL ($ million) – basic prices,2021-22,Tas,,35.0084
Table 3,,International,,LEVEL ($ million) – basic prices,2021-22,NT,,27.315
Table 3,,International,,LEVEL ($ million) – basic prices,2021-22,ACT,,43.3013
Table 3,,International,,LEVEL ($ million) – basic prices,2021-22,Total(a),,2388.8777
Table 3,,International,,LEVEL ($ million) – basic prices,2022-23,NSW,,3828.0222
Table 3,,International,,LEVEL ($ million) – basic prices,2022-23,Vic,,2299.5208
Table 3,,International,,LEVEL ($ million) – basic prices,2022-23,Qld,,2071.9956
Table 3,,International,,LEVEL ($ million) – basic prices,2022-23,SA,,573.6801
Table 3,,International,,LEVEL ($ million) – basic prices,2022-23,WA,,953.8245
Table 3,,International,,LEVEL ($ million) – basic prices,2022-23,Tas,,168.3894
Table 3,,International,,LEVEL ($ million) – basic prices,2022-23,NT,,152.7874
Table 3,,International,,LEVEL ($ million) – basic prices,2022-23,ACT,,188.7527
Table 3,,International,,LEVEL ($ million) – basic prices,2022-23,Total(a),,10236.9725
Table 3,,International,,LEVEL ($ million) – basic prices,2023-24,NSW,,5601.8206
Table 3,,International,,LEVEL ($ million) – basic prices,2023-24,Vic,,3935.5508
Table 3,,International,,LEVEL ($ million) – basic prices,2023-24,Qld,,3049.3377
Table 3,,International,,LEVEL ($ million) – basic prices,2023-24,SA,,757.5622
Table 3,,International,,LEVEL ($ million) – basic prices,2023-24,WA,,1204.2005
Table 3,,International,,LEVEL ($ million) – basic prices,2023-24,Tas,,286.5053
Table 3,,International,,LEVEL ($ million) – basic prices,2023-24,NT,,218.3152
Table 3,,International,,LEVEL ($ million) – basic prices,2023-24,ACT,,282.6778
Table 3,,International,,LEVEL ($ million) – basic prices,2023-24,Total(a),,15335.97
Table 3,,Total,,LEVEL ($ million) – basic prices,2016-17,NSW,,12910.8986
Table 3,,Total,,LEVEL ($ million) – basic prices,2016-17,Vic,,9975.299200000001
Table 3,,Total,,LEVEL ($ million) – basic prices,2016-17,Qld,,9567.047
Table 3,,Total,,LEVEL ($ million) – basic prices,2016-17,SA,,2574.0677
Table 3,,Total,,LEVEL ($ million) – basic prices,2016-17,WA,,4904.7643
Table 3,,Total,,LEVEL ($ million) – basic prices,2016-17,Tas,,1267.1931
Table 3,,Total,,LEVEL ($ million) – basic prices,2016-17,NT,,935.1637999999999
Table 3,,Total,,LEVEL ($ million) – basic prices,2016-17,ACT,,880.5672
Table 3,,Total,,LEVEL ($ million) – basic prices,2016-17,Total(a),,43015.0006
Table 3,,Total,,LEVEL ($ million) – basic prices,2017-18,NSW,,14603.797499999999
Table 3,,Total,,LEVEL ($ million) – basic prices,2017-18,Vic,,10715.8828
Table 3,,Total,,LEVEL ($ million) – basic prices,2017-18,Qld,,10765.704000000002
Table 3,,Total,,LEVEL ($ million) – basic prices,2017-18,SA,,2703.6085
Table 3,,Total,,LEVEL ($ million) – basic prices,2017-18,WA,,4316.0423
Table 3,,Total,,LEVEL ($ million) – basic prices,2017-18,Tas,,1288.636
Table 3,,Total,,LEVEL ($ million) – basic prices,2017-18,NT,,849.8306
Table 3,,Total,,LEVEL ($ million) – basic prices,2017-18,ACT,,1063.4976000000001
Table 3,,Total,,LEVEL ($ million) – basic prices,2017-18,Total(a),,46306.9995
Table 3,,Total,,LEVEL ($ million) – basic prices,2018-19,NSW,,15676.0638
Table 3,,Total,,LEVEL ($ million) – basic prices,2018-19,Vic,,12373.9363
Table 3,,Total,,LEVEL ($ million) – basic prices,2018-19,Qld,,11660.665099999998
Table 3,,Total,,LEVEL ($ million) – basic prices,2018-19,SA,,3041.9601000000002
Table 3,,Total,,LEVEL ($ million) – basic prices,2018-19,WA,,5125.0258
Table 3,,Total,,LEVEL ($ million) – basic prices,2018-19,Tas,,1493.4173
Table 3,,Total,,LEVEL ($ million) – basic prices,2018-19,NT,,960.3851999999999
Table 3,,Total,,LEVEL ($ million) – basic prices,2018-19,ACT,,1056.5442
Table 3,,Total,,LEVEL ($ million) – basic prices,2018-19,Total(a),,51387.9977
Table 3,,Total,,LEVEL ($ million) – basic prices,2019-20,NSW,,12517.725699999999
Table 3,,Total,,LEVEL ($ million) – basic prices,2019-20,Vic,,9857.946
Table 3,,Total,,LEVEL ($ million) – basic prices,2019-20,Qld,,9423.9822
Table 3,,Total,,LEVEL ($ million) – basic prices,2019-20,SA,,2616.6021
Table 3,,Total,,LEVEL ($ million) – basic prices,2019-20,WA,,4456.1674
Table 3,,Total,,LEVEL ($ million) – basic prices,2019-20,Tas,,1257.966
Table 3,,Total,,LEVEL ($ million) – basic prices,2019-20,NT,,703.8655
Table 3,,Total,,LEVEL ($ million) – basic prices,2019-20,ACT,,769.7456999999999
Table 3,,Total,,LEVEL ($ million) – basic prices,2019-20,Total(a),,41604.00090000001
Table 3,,Total,,LEVEL ($ million) – basic prices,2020-21,NSW,,8314.2507
Table 3,,Total,,LEVEL ($ million) – basic prices,2020-21,Vic,,4433.9505
Table 3,,Total,,LEVEL ($ million) – basic prices,2020-21,Qld,,6611.988
Table 3,,Total,,LEVEL ($ million) – basic prices,2020-21,SA,,2020.7441
Table 3,,Total,,LEVEL ($ million) – basic prices,2020-21,WA,,2923.5641
Table 3,,Total,,LEVEL ($ million) – basic prices,2020-21,Tas,,898.4317
Table 3,,Total,,LEVEL ($ million) – basic prices,2020-21,NT,,491.40150000000006
Table 3,,Total,,LEVEL ($ million) – basic prices,2020-21,ACT,,479.6703
Table 3,,Total,,LEVEL ($ million) – basic prices,2020-21,Total(a),,26174.000799999998
Table 3,,Total,,LEVEL ($ million) – basic prices,2021-22,NSW,,8481.514500000001
Table 3,,Total,,LEVEL ($ million) – basic prices,2021-22,Vic,,6661.5668000000005
Table 3,,Total,,LEVEL ($ million) – basic prices,2021-22,Qld,,8351.7175
Table 3,,Total,,LEVEL ($ million) – basic prices,2021-22,SA,,2060.9685999999997
Table 3,,Total,,LEVEL ($ million) – basic prices,2021-22,WA,,3465.5229
Table 3,,Total,,LEVEL ($ million) – basic prices,2021-22,Tas,,1068.8793
Table 3,,Total,,LEVEL ($ million) – basic prices,2021-22,NT,,667.1468
Table 3,,Total,,LEVEL ($ million) – basic prices,2021-22,ACT,,585.6839
Table 3,,Total,,LEVEL ($ million) – basic prices,2021-22,Total(a),,31343.000099999997
Table 3,,Total,,LEVEL ($ million) – basic prices,2022-23,NSW,,17746.2455
Table 3,,Total,,LEVEL ($ million) – basic prices,2022-23,Vic,,13230.305799999998
Table 3,,Total,,LEVEL ($ million) – basic prices,2022-23,Qld,,14680.236400000002
Table 3,,Total,,LEVEL ($ million) – basic prices,2022-23,SA,,3669.5313000000006
Table 3,,Total,,LEVEL ($ million) – basic prices,2022-23,WA,,6133.7454
Table 3,,Total,,LEVEL ($ million) – basic prices,2022-23,Tas,,1648.2912
Table 3,,Total,,LEVEL ($ million) – basic prices,2022-23,NT,,1108.3205
Table 3,,Total,,LEVEL ($ million) – basic prices,2022-23,ACT,,1257.3218
Table 3,,Total,,LEVEL ($ million) – basic prices,2022-23,Total(a),,59473.997599999995
Table 3,,Total,,LEVEL ($ million) – basic prices,2023-24,NSW,,20193.1935
Table 3,,Total,,LEVEL ($ million) – basic prices,2023-24,Vic,,15201.8665
Table 3,,Total,,LEVEL ($ million) – basic prices,2023-24,Qld,,15663.1673
Table 3,,Total,,LEVEL ($ million) – basic prices,2023-24,SA,,3771.9408999999996
Table 3,,Total,,LEVEL ($ million) – basic prices,2023-24,WA,,6602.697999999999
Table 3,,Total,,LEVEL ($ million) – basic prices,2023-24,Tas,,1892.9598
Table 3,,Total,,LEVEL ($ million) – basic prices,2023-24,NT,,1214.9593
Table 3,,Total,,LEVEL ($ million) – basic prices,2023-24,ACT,,1341.2159000000001
Table 3,,Total,,LEVEL ($ million) – basic prices,2023-24,Total(a),,65882.001
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2016-17,NSW,,6559.1185
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2016-17,Vic,,5353.2621
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2016-17,Qld,,4584.4124
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2016-17,SA,,1498.8672
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2016-17,WA,,2301.7742
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2016-17,Tas,,701.3128
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2016-17,NT,,223.0471
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2016-17,ACT,,332.2049
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2016-17,Total(a),,21553.9991
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2017-18,NSW,,7222.4022
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2017-18,Vic,,6008.767
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2017-18,Qld,,5414.8362
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2017-18,SA,,1750.4003
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2017-18,WA,,2083.9177
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2017-18,Tas,,662.7034
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2017-18,NT,,169.0369
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2017-18,ACT,,327.936
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2017-18,Total(a),,23639.9996
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2018-19,NSW,,8163.3411
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2018-19,Vic,,6711.4405
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2018-19,Qld,,5722.8708
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2018-19,SA,,1869.2936
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2018-19,WA,,2530.9118
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2018-19,Tas,,761.0286
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2018-19,NT,,230.0369
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2018-19,ACT,,358.0769
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2018-19,Total(a),,26347.0001
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2019-20,NSW,,7471.2327
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2019-20,Vic,,5972.095
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2019-20,Qld,,5478.6111
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2019-20,SA,,1661.6136
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2019-20,WA,,2469.9278
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2019-20,Tas,,706.0428
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2019-20,NT,,185.5711
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2019-20,ACT,,347.905
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2019-20,Total(a),,24292.9991
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2020-21,NSW,,6691.5366
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2020-21,Vic,,4326.0172
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2020-21,Qld,,5045.3976
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2020-21,SA,,1575.9974
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2020-21,WA,,2414.8004
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2020-21,Tas,,658.6767
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2020-21,NT,,256.5812
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2020-21,ACT,,237.9934
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2020-21,Total(a),,21207.0005
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2021-22,NSW,,5855.5089
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2021-22,Vic,,6113.4343
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2021-22,Qld,,5594.5666
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2021-22,SA,,1699.1663
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2021-22,WA,,2519.4999
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2021-22,Tas,,746.1319
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2021-22,NT,,172.6459
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2021-22,ACT,,336.0472
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2021-22,Total(a),,23037.0009
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2022-23,NSW,,10438.7031
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2022-23,Vic,,9522.8372
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2022-23,Qld,,7678.8359
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2022-23,SA,,2428.8905
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2022-23,WA,,3614.5257
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2022-23,Tas,,773.573
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2022-23,NT,,285.2571
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2022-23,ACT,,625.3769
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2022-23,Total(a),,35367.9994
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2023-24,NSW,,10794.0679
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2023-24,Vic,,9258.2047
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2023-24,Qld,,7301.713
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2023-24,SA,,2087.8516
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2023-24,WA,,3947.5163
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2023-24,Tas,,852.54
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2023-24,NT,,210.2185
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2023-24,ACT,,609.8878
Table 4,,Same-day travel,,LEVEL ($ million) – purchaser's prices,2023-24,Total(a),,35061.9997
Table 4,,Intrastate(b),,LEVEL ($ million) – purchaser's prices,2016-17,NSW,,13035.8723
Table 4,,Intrastate(b),,LEVEL ($ million) – purchaser's prices,2016-17,Vic,,8463.0098
Table 4,,Intrastate(b),,LEVEL ($ million) – purchaser's prices,2016-17,Qld,,10485.3674
Table 4,,Intrastate(b),,LEVEL ($ million) – purchaser's prices,2016-17,SA,,2493.5678
Table 4,,Intrastate(b),,LEVEL ($ million) – purchaser's prices,2016-17,WA,,7123.9073
Table 4,,Intrastate(b),,LEVEL ($ million) – purchaser's prices,2016-17,Tas,,765.2721
Table 4,,Intrastate(b),,LEVEL ($ million) – purchaser's prices,2016-17,NT,,720.406
Table 4,,Intrastate(b),,LEVEL ($ million) – purchaser's prices,2016-17,ACT,,234.961
Table 4,,Intrastate(b),,LEVEL ($ million) – purchaser's prices,2016-17,Total(a),,43322.3637
Table 4,,Intrastate(b),,LEVEL ($ million) – purchaser's prices,2017-18,NSW,,15097.4238
Table 4,,Intrastate(b),,LEVEL ($ million) – purchaser's prices,2017-18,Vic,,9319.3805
Table 4,,Intrastate(b),,LEVEL ($ million) – purchaser's prices,2017-18,Qld,,11541.3955
