section,category,subcategory,unit,financial_year,state,measure,value
,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,NSW,,3339.4899
,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,Vic,,2696.5078
,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,Qld,,2242.9422
,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,SA,,792.501
,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,WA,,1123.2512
,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,Tas,,335.2726
,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,NT,,79.6351
,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,ACT,,162.8616
,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,Total(a),,10772.4614
,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,NSW,,3673.5809
,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,Vic,,3047.8527
,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,Qld,,2692.6776
,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,SA,,830.7939
,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,WA,,978.2968
,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,Tas,,302.5077
,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,NT,,64.4664
,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,ACT,,171.1362
,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,Total(a),,11761.3122
,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,NSW,,4069.5864
,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,Vic,,3387.8866
,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,Qld,,2832.7106
,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,SA,,947.1943
,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,WA,,1206.1596
,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,Tas,,356.5057
,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,NT,,89.9545
,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,ACT,,182.4408
,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,Total(a),,13072.4385
,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,NSW,,3774.0428
,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,Vic,,3054.0173
,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,Qld,,2758.6857
,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,SA,,808.1598
,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,WA,,1238.8163
,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,Tas,,327.6064
,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,NT,,68.9839
,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,ACT,,180.1236
,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,Total(a),,12210.4357
,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,NSW,,3525.1697
,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,Vic,,2272.2304
,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,Qld,,2663.0727
,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,SA,,836.7257
,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,WA,,1332.0481
,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,Tas,,325.6783
,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,NT,,150.2212
,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,ACT,,119.8186
,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,Total(a),,11224.9646
,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,NSW,,2877.5999
,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,Vic,,3122.0605
,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,Qld,,2864.3737
,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,SA,,873.8661
,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,WA,,1213.4926
,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,Tas,,350.0856
,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,NT,,69.4576
,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,ACT,,173.3563
,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,Total(a),,11544.2922
,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,NSW,,5154.5864
,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,Vic,,4869.8876
,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,Qld,,3762.2421
,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,SA,,1121.1719
,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,WA,,1691.6124
,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,Tas,,355.8635
,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,NT,,115.2709
,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,ACT,,313.8734
,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,Total(a),,17384.5083
,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,NSW,,5671.2948
,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,Vic,,4706.3194
,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,Qld,,3651.593
,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,SA,,960.6002
,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,WA,,1861.1203
,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,Tas,,396.9987
,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,NT,,73.616
,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,ACT,,323.7944
,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,Total(a),,17645.3367
,Intrastate(b),,LEVEL ($ million) – basic prices,2016-17,NSW,,9321.7783
,Intrastate(b),,LEVEL ($ million) – basic prices,2016-17,Vic,,6062.7518
,Intrastate(b),,LEVEL ($ million) – basic prices,2016-17,Qld,,7569.22
,Intrastate(b),,LEVEL ($ million) – basic prices,2016-17,SA,,1793.5054
,Intrastate(b),,LEVEL ($ million) – basic prices,2016-17,WA,,5360.5076
,Intrastate(b),,LEVEL ($ million) – basic prices,2016-17,Tas,,555.6216
,Intrastate(b),,LEVEL ($ million) – basic prices,2016-17,NT,,517.0892
,Intrastate(b),,LEVEL ($ million) – basic prices,2016-17,ACT,,205.9211
,Intrastate(b),,LEVEL ($ million) – basic prices,2016-17,Total(a),,31386.395
,Intrastate(b),,LEVEL ($ million) – basic prices,2017-18,NSW,,10901.2921
,Intrastate(b),,LEVEL ($ million) – basic prices,2017-18,Vic,,6678.6369
