STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,304765,22.45%,0.46%
VIC,326317,24.04%,0.77%
QLD,289256,21.31%,0.51%
SA,136453,10.05%,0.95%
WA,220884,16.27%,0.76%
TAS,42013,3.10%,0.65%
NT,10221,0.75%,0.93%
ACT,27499,2.03%,1.27%
TOTAL,1357408,100.00%,0.67%
