tribunal_id,name,federal_court_no,federal_court_case_name,determination_date,nntr_registration_date,determined_method,determination_status,determined_outcome,rntbc_name,related_native_title_determination_application,area_sqkm,date_currency,linked_federal_court_judgment_url,jurisdiction,overlap_note,date_extracted,claimant_type,centroid_longitude,centroid_latitude
DCD1998/001,Croker Island,NTD6001/1996,Mary Yarmirr and Others and the Northern Territory of Australia and Others,1998-09-04,2002-04-26,Consent,In effect - Finalised,Native title exists in the entire determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC1994/006,2934.6939,2021-02-17,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/1998/1998fca1185,NT,,2025-04-03,Claimant,132.7783701723652,-11.147290395259517
DCD2000/001,Alice Springs,NTD6002/1996,Hayes v Northern Territory of Australia,2000-05-23,2000-06-28,Litigated,In effect - Finalised,Native title exists in the entire determination area,Lhere Artepe Aboriginal Corporation RNTBC,DC1994/002,134.9074,2025-03-27,http://www.austlii.edu.au/au/cases/cth/FCA/2000/671.html,NT,,2025-04-03,Claimant,133.86730141631693,-23.693818114564696
DCD2000/002,St Vidgeon's (Roper River),NTD6001/1997,"The Wandarang, Alawa, Marra and Ngalakan Peoples",2000-11-14,2001-05-18,Litigated,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC1994/003,6474.8951,2021-02-17,http://www.austlii.edu.au/au/cases/cth/FCA/2000/923.html,NT,,2025-04-03,Claimant,134.9392832105908,-15.110007181287575
DCD2002/001,Urapunga Township,NTD6003/1996,The Ngalakan People v The Northern Territory of Australia,2002-02-07,2002-03-22,Litigated,In effect - Finalised,Native title exists in parts of the determination area,,DC1995/002,0.7217,2021-02-17,,NT,,2025-04-03,Claimant,134.51265370177452,-14.718396079527002
DCD2003/001,Miriuwung-Gajerrong (Northern Territory),WAD6001/1995,Attorney-General of the Northern Territory v Ward,2003-12-09,2004-05-21,Consent,In effect - Finalised,Native title exists in the entire determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,WC1994/002,591.8256,2016-01-04,http://www.austlii.edu.au/au/cases/cth/FCAFC/2003/283.html,NT,,2025-04-03,Claimant,129.1301141059916,-15.816918584387723
DCD2004/001,Davenport/Murchison,NTD6002/1998,"The Alyawarr, Kaytetye, Warumungu, Wakay Native Title Claim Group v Northern Territory of Australia",2004-04-23,2004-05-04,Litigated,In effect - Finalised,Native title exists in the entire determination area,Iytwelepwenty Aboriginal Corporation RNTBC,DC1995/003,1120.5826,2021-02-08,http://www.austlii.edu.au/au/cases/cth/FCA/2004/472.html,NT,,2025-04-03,Claimant,134.98324835570327,-20.807452101428108
DCD2005/001,Blue Mud Bay No. 2,NTD6035/2002,Gumana v Northern Territory of Australia,2005-10-11,2006-01-06,Litigated,In effect - Finalised,Native title exists in the entire determination area,Djalkiripuyngu Aboriginal Corporation RNTBC,DC2002/034,1483.8474,2015-12-16,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2005/2005fca1425,NT,,2025-04-03,Claimant,136.17813996350654,-13.134246915154897
DCD2006/001,Larrakia (Part A - consolidated proceeding),"NTD6007/1998, NTD6010/1998, NTD6011/1998, NTD6012/1998, NTD6013/1998, NTD6014/1998, NTD6015/1998, NTD6017/1998, NTD6018/1998, NTD6019/1998, NTD6022/1998, NTD6026/1998, NTD6029/1998, NTD6040/1998, NTD6001/1999, NTD6007/1999, NTD6018/1999, NTD6026/2001",Risk v Northern Territory of Australia,2006-05-17,2006-05-19,Litigated,In effect - Finalised,Native title does not exist,,"DC1994/001, DC1996/001, DC1996/002, DC1996/003, DC1996/004, DC1996/005, DC1996/006, DC1996/007, DC1996/008, DC1996/009, DC1997/003, DC1997/006, DC1998/001, DC1998/011, DC1999/001, DC1999/006, DC1999/018, DC2001/026",262.3873,2022-11-08,https://www.comcourts.gov.au/file/Federal/P/NTD6033/2001/3228823/event/24762641/document/78188,NT,,2025-04-03,Claimant,130.93367114482922,-12.491709186275356
DCD2006/002,Timber Creek,"NTD6016/1999, NTD6008/2000, NTD6012/2000",Griffiths v Northern Territory of Australia (No 2),2006-08-28,2006-09-05,Litigated,In effect - Finalised,Native title exists in the entire determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,"DC1999/016, DC2000/008, DC2000/011",20.5367,2015-11-16,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2006/2006fca1155,NT,,2025-04-03,Claimant,130.47125660364523,-15.641400024779811
DCD2007/001,Tennant Creek No.2,NTD8/2006,Patta Warumungu People v Northern Territory of Australia,2007-09-03,2007-09-04,Consent,In effect - Finalised,Native title exists in parts of the determination area,Patta Aboriginal Corporation RNTBC,DC2006/003,33.3896,2022-08-11,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2007/2007fca1386,NT,,2025-04-03,Claimant,134.19202697108435,-19.657230796930047
DCD2007/002,Newcastle Waters - Murranji Determination,"NTD6024/2000, NTD6008/2001, NTD6013/2002, NTD6017/2002, NTD6033/2002, NTD3/2004",King v Northern Territory of Australia ,2007-09-26,2007-09-27,Litigated,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,"DC2000/022, DC2001/008, DC2002/012, DC2002/016, DC2002/032, DC2004/001",8047.521,2025-05-19,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2007/2007fca1498,NT,,2025-05-20,Claimant,133.01056568354826,-17.176742346699893
DCD2009/001,Town of Elliott,NTD6046/2001,Wilson v Northern Territory of Australia,2009-07-31,2009-07-31,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2001/045,1.4338,2021-10-29,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2009/2009fca0800,NT,,2025-04-03,Claimant,133.54902539528143,-17.559356366718706
DCD2009/002,Pine Hill Station,NTD6004/1999,Ampetyane v Northern Territory of Australia,2009-08-07,2009-08-10,Consent,In effect - Finalised,Native title exists in parts of the determination area,Ilkewartn Ywel Aboriginal Corporation RNTBC,DC1999/004,1140.99,2021-02-03,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2009/2009fca0834,NT,,2025-04-03,Claimant,133.54246164890108,-22.431245645854837
DCD2010/001,Singleton,"NTD6011/2000, NTD42/2018","Rex on behalf of the Akwerlpe-Waake, Iliyarne, Lyentyawel Ileparranem and Arrawatyen People v Northern Territory of Australia",2010-09-07,2010-09-09,Consent,In effect - Finalised,Native title exists in parts of the determination area,Mpwerempwer Aboriginal Corporation RNTBC,"DC2000/010, DR2018/005",2940.9204,2020-09-07,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2010/2010fca0911,NT,,2025-04-03,Claimant,134.25496618285808,-20.73892840474242
DCD2010/002,"Newhaven, NT Portion 2406","NTD6028/2000, NTD32/2025",Nelson v Northern Territory of Australia,2010-12-08,2012-08-23,Consent,In effect - Finalised,Native title exists in parts of the determination area,Yankanjini Aboriginal Corporation RNTBC,"DC2000/026, DR2025/001",2615.0131,2026-02-20,https://www.comcourts.gov.au/file/Federal/P/NTD32/2025/actions,NT,,2026-02-23,Claimant,131.1135899504349,-22.812059239094157
DCD2011/001,Ooratippra,NTD6043/2001,"Kngwarrey on behalf of the members of the Irrkwal, Irrmarn, Ntewerrek, Aharreng, Arrty/Amatyerr and Areyn Landholding Groups v Northern Territory of Australia",2011-05-05,2012-04-23,Consent,In effect - Finalised,Native title exists in parts of the determination area,Ooratippra Aboriginal Corporation RNTBC,DC2001/042,4320.0299,2020-05-14,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2011/2011fca0428,NT,,2025-04-03,Claimant,136.0988492463775,-21.84747531796377
DCD2011/002,Spirit Hills Pastoral Lease No.2,NTD38/2010,Carlton v Northern Territory of Australia ,2011-05-31,2011-06-03,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/025,3724.0059,2019-03-27,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2011/2011fca0576,NT,,2025-04-03,Claimant,129.2760940322922,-15.407320380153378
DCD2011/003,Auvergne Pastoral Lease,NTD5/2010,Long v Northern Territory of Australia,2011-05-31,2011-06-03,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/001,4241.8887,2016-01-04,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2011/2011fca0571,NT,,2025-04-03,Claimant,129.9219974218718,-15.815774962000598
DCD2011/004,Rosewood Pastoral Lease,NTD6/2010,Rosewood v Northern Territory of Australia ,2011-05-31,2011-06-03,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/002,2769.0876,2016-01-04,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2011/2011fca0572,NT,,2025-04-03,Claimant,129.22064340744075,-16.447370183852232
DCD2011/005,Newry Pastoral Lease,NTD7/2010,Button Jones v Northern Territory of Australia ,2011-05-31,2011-06-03,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/003,2463.7916,2016-01-04,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2011/2011fca0573,NT,,2025-04-03,Claimant,129.31511780501614,-16.000328460265354
DCD2011/006,Bullo River Pastoral Lease,NTD8/2010,Paddy v Northern Territory of Australia ,2011-05-31,2011-06-03,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/004,1651.4782,2016-01-04,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2011/2011fca0574,NT,,2025-04-03,Claimant,129.725468483094,-15.541834420641079
DCD2011/007,Legune Pastoral Lease,NTD9/2010,Simon v Northern Territory of Australia,2011-05-31,2011-06-03,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/005,1848.7202,2019-03-26,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2011/2011fca0575,NT,,2025-04-03,Claimant,129.39232211656952,-15.152922639971495
DCD2011/008,Camfield Pastoral Lease,NTD10/2010,Campbell v Northern Territory of Australia,2011-06-02,2011-06-08,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/006,2767.9794,2011-06-03,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2011/2011fca0580,NT,,2025-04-03,Claimant,131.4252062977958,-17.101098072642948
DCD2011/009,Dungowan Pastoral Lease,NTD12/2010,Wavehill v Northern Territory of Australia - [Dungowan Pastoral Lease],2011-06-02,2011-06-08,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/008,4450.7945,2011-06-03,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2011/2011fca0581,NT,,2025-04-03,Claimant,132.10682974818798,-17.00967635990242
DCD2011/010,Montejinni East Pastoral Lease,NTD13/2010,King v Northern Territory of Australia ,2011-06-02,2011-06-08,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/009,1598.8624,2011-06-03,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2011/2011fca0582,NT,,2025-04-03,Claimant,131.85410470303773,-16.760708317859102
DCD2011/011,Montejinni West Pastoral Lease,NTD14/2010,Young v Northern Territory of Australia - [Montejinni West Pastoral Lease] ,2011-06-02,2011-06-08,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/010,1520.7996,2011-06-03,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2011/2011fca0583,NT,,2025-04-03,Claimant,131.50887481312725,-16.689355836732233
DCD2011/012,Birrimba Pastoral Lease,NTD15/2010,Wavehill v Northern Territory of Australia - [Birrimba Pastoral Lease] ,2011-06-02,2011-06-08,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/011,2620.7634,2011-06-03,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2011/2011fca0584,NT,,2025-04-03,Claimant,132.30606690790003,-16.326779120199117
DCD2011/013,Killarney Pastoral Lease,NTD16/2010,Young v Northern Territory of Australia - [Killarney Pastoral Lease],2011-06-02,2011-06-08,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/012,2965.9207,2025-03-28,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2011/2011fca0585,NT,,2025-04-03,Claimant,131.86217683298273,-16.26811146166264
DCD2011/014,Neutral Junction,"NTD13/2008, NTD38/2018","Kngwarraye on behalf of the members of the Arnerre, Wake-Akwerlpe, Errene and Ileyarne Landholding Groups v Northern Territory of Australia",2011-07-13,2011-07-19,Consent,In effect - Finalised,Native title exists in parts of the determination area,Kaytetye Tywerate Arenge Aboriginal Corporation RNTBC,"DC2008/001, DR2018/004",1675.6083,2025-04-01,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2011/2011fca0765,NT,,2025-04-03,Claimant,133.9393864603663,-21.06265606365957
DCD2011/015,Kurundi,"NTD6017/2001, NTD36/2018","Jungarrayi on behalf of the Mirtartu, Warupunju, Arrawajin and Tijampara Landholding Groups v Northern Territory of Australia",2011-07-14,2011-07-19,Consent,In effect - Finalised,Native title exists in parts of the determination area,Mitata Aboriginal Corporation RNTBC,"DC2001/017, DR2018/003",3844.7864,2020-09-03,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2011/2011fca0766,NT,,2025-04-03,Claimant,135.01816397995702,-20.496817142380944
DCD2012/001,Mataranka,NTD6001/2001,Roberts on behalf of the Najig and the Guyanggan Nganawirdbird Groups v Northern Territory of Australia (No 3),2012-03-20,2012-03-27,Consent,In effect - Finalised,Native title does not exist,,DC2001/001,372.8332,2021-12-17,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2012/2012fca0255,NT,,2025-04-03,Claimant,133.15441720650892,-14.833960070449365
DCD2012/002,Town of Mataranka,NTD6026/2002,Roberts on behalf of the Najig and the Guyanggan Nganawirdbird Groups v Northern Territory of Australia,2012-03-21,2012-03-27,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2002/025,220.7648,2021-12-17,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2012/2012fca0223,NT,,2025-04-03,Claimant,133.0478950209954,-14.967938408877123
DCD2012/003,Amungee Mungee Pastoral Lease,NTD17/2010,Jackson v Northern Territory of Australia,2012-06-27,2012-06-29,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/013,3194.4156,2012-06-27,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2012/2012fca0664,NT,,2025-04-03,Claimant,134.12053818443667,-16.599763740929884
DCD2012/004,Maryfield Pastoral Lease,NTD18/2010,Ellaga v Northern Territory of Australia,2012-06-27,2012-07-30,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/014,1524.8542,2012-06-28,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2012/2012fca0665,NT,,2025-04-03,Claimant,133.5578627053865,-15.755924191373175
DCD2012/005,Forrest Hill Pastoral Lease,NTD19/2010,Wavehill v Northern Territory of Australia,2012-06-27,2012-07-30,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/015,592.7965,2012-06-28,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2012/2012fca0666,NT,,2025-04-03,Claimant,133.27556767494622,-15.794410091474258
DCD2012/006,Mungabroom Pastoral Lease,NTD20/2010,Raymond v Northern Territory of Australia,2012-06-27,2012-06-29,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/016,3469.3973,2023-03-22,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2012/2012fca0667,NT,,2025-04-03,Claimant,134.5876429840552,-17.41635558934383
DCD2012/007,Shenandoah Pastoral Lease,NTD21/2010,Jackson v Northern Territory of Australia ,2012-06-27,2012-06-29,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/017,2773.9843,2012-06-28,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2012/2012fca0668,NT,,2025-04-03,Claimant,133.66721278213177,-16.594429014733773
DCD2012/008,Ucharonidge Pastoral Lease,NTD22/2010,Raymond v Northern Territory of Australia,2012-06-27,2012-06-29,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/018,2456.0338,2023-03-22,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2012/2012fca0669,NT,,2025-04-03,Claimant,134.22729417350345,-17.517653462016202
DCD2012/009,Kalala Pastoral Lease,NTD24/2010,Ellaga v Northern Territory of Australia,2012-06-27,2012-06-29,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/020,3900.542,2012-07-13,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2012/2012fca0670,NT,,2025-04-03,Claimant,133.43663858598774,-16.211254113471817
DCD2012/010,Vermelha Pastoral Lease,NTD25/2010,Wavehill v Northern Territory of Australia,2012-06-27,2012-06-29,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/021,2035.6351,2012-06-28,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2012/2012fca0671,NT,,2025-04-03,Claimant,133.54676993443002,-15.48160790303583
DCD2012/011,Hayfield Pastoral Lease,NTD26/2010,Raymond v Northern Territory of Australia,2012-06-27,2012-07-30,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/022,1710.8538,2025-05-13,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2012/2012fca0672,NT,,2025-05-14,Claimant,133.36312808161358,-16.884059314097254
DCD2012/012,Beetaloo Pastoral Lease,NTD27/2010,Raymond v Northern Territory of Australia,2012-06-27,2012-06-29,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/023,7163.1499,2025-03-31,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2012/2012fca0683,NT,,2025-04-03,Claimant,134.33420652045712,-16.962516637581498
DCD2012/013,Town of Daly Waters No.3,NTD39/2010,Albert v Northern Territory of Australia,2012-06-27,2012-06-29,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2010/026,1.8326,2012-06-29,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2012/2012fca0673,NT,,2025-04-03,Claimant,133.37059068872952,-16.257533119261918
DCD2012/014,Lake Nash,"NTD6061/2001, NTD15/2020","Samardin on behalf of the Ilperrelhelam, Malarrarr, Nwerrarr, Meyt, Itnwerrengayt and Ampwertety Landholding Groups v Northern Territory of Australia",2012-08-15,2012-08-15,Consent,In effect - Finalised,Native title exists in parts of the determination area,Ilperrelhelam Aboriginal Corporation RNTBC,"DC2001/061, DR2020/002",12086.7018,2020-10-13,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2012/2012fca0845,NT,,2025-04-03,Claimant,137.5278214413769,-21.37657179538563
DCD2012/015,Glen Helen Pastoral Lease,"NTD34/2010, NTD9/2020",Inkamala v Northern Territory of Australia (Glen Helen Pastoral Lease),2012-09-25,2012-09-26,Consent,In effect - Finalised,Native title exists in parts of the determination area,Pmarra Tjurritja Alturla Aboriginal Corporation RNTBC,"DC2010/024, DR2020/001",1420.1815,2021-04-22,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2012/2012fca1044,NT,,2025-11-19,Claimant,132.2473101163855,-23.48629938880759
DCD2013/001,Napperby Perpetual Pastoral Lease,"NTD4/2011, NTD26/2018","Lynch on behalf of the members of the Alherramp/Rrweltyapet, Ilewerr, Mamp/Arrwek, Tywerl, Arrangkey, Anentyerr/Anenkerr and Ntyerlkem/Urapentye Estate Groups v Northern Territory of Australia",2013-07-02,2013-07-05,Consent,In effect - Finalised,Native title exists in parts of the determination area,Alherramp Ilewerr Mamp Arrangkey Tywerl Aboriginal Corporation RNTBC,"DC2011/001, DR2018/001",5430.6141,2020-09-02,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2013/2013fca0636,NT,,2025-04-03,Claimant,132.68975055733193,-22.66537323497433
DCD2013/002,Mt Doreen Perpetual Pastoral Lease,"NTD39/2011, NTD29/2018","Napangardi on behalf of the members of the Jiri/Kuyukurlangu, Kumpu, Kunajarrayi, Mikanji, Pikilyi, Pirrpirrpakarnu, Wantungurru, Wapatali/Mawunji, Warlukurlangu, Yamaparnta, Yarripiri and Yarungkanyi/Murrku Estate Groups v Northern Territory of Australia",2013-07-03,2013-07-08,Consent,In effect - Finalised,Native title exists in parts of the determination area,Ngaliya Aboriginal Corporation RNTBC,"DC2011/028, DR2018/002",7404.7075,2020-09-03,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2013/2013fca0637,NT,,2025-04-03,Claimant,131.0080008540705,-22.160478352496323
DCD2013/003,Tarlee Pastoral Lease,NTD19/2011,Largut v Northern Territory of Australia,2013-10-29,2013-11-14,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2011/003,598.2239,2013-11-06,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2013/2013fca1069,NT,,2025-04-03,Claimant,132.76073714703736,-15.794417231684676
DCD2013/004,Avago Pastoral Lease,NTD20/2011,Largut v Northern Territory of Australia,2013-10-29,2013-11-14,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2011/004,1581.5894,2013-11-06,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2013/2013fca1070,NT,,2025-04-03,Claimant,132.77365697686736,-16.088071968279184
DCD2013/005,Western Creek Pastoral Lease,NTD22/2011,Largut v Northern Territory of Australia,2013-10-29,2013-11-14,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2011/006,1023.2505,2013-11-07,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2013/2013fca1072,NT,,2025-04-03,Claimant,132.52556539385412,-15.76136988843451
DCD2013/006,Lakefield Pastoral Lease,NTD23/2011,Johns v Northern Territory of Australia,2013-10-29,2013-11-14,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2011/007,585.0136,2013-11-08,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2013/2013fca1073,NT,,2025-04-03,Claimant,132.79032193691825,-15.119460447441975
DCD2013/007,Cow Creek Pastoral Lease,NTD24/2011,Johns v Northern Territory of Australia,2013-10-29,2013-11-14,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2011/008,445.4962,2013-11-06,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2013/2013fca1074,NT,,2025-04-03,Claimant,132.8861645259043,-15.53260519161759
DCD2013/008,Gorrie Pastoral Lease,NTD25/2011,Johns v Northern Territory of Australia,2013-10-29,2013-11-14,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2011/009,701.7278,2013-11-06,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2013/2013fca1075,NT,,2025-04-03,Claimant,132.71294786015696,-15.499815153757272
DCD2013/009,Larrizona Pastoral Lease,NTD26/2011,Johns v Northern Territory of Australia,2013-10-29,2013-11-14,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2011/010,702.3051,2013-11-06,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2013/2013fca1076,NT,,2025-04-03,Claimant,132.42180805471813,-15.508798742179529
DCD2013/010,Wyworrie Pastoral Lease,NTD27/2011,Johns v Northern Territory of Australia,2013-10-29,2013-11-14,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2011/011,426.9658,2013-11-07,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2013/2013fca1077,NT,,2025-04-03,Claimant,132.64706951199517,-15.370730198734309
DCD2013/011,Sunday Creek Pastoral Lease,NTD28/2011,Morgan v Northern Territory of Australia,2013-10-29,2013-11-14,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2011/012,400.5787,2013-11-07,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2013/2013fca1078,NT,,2025-04-03,Claimant,133.10208440858332,-16.067261877700275
DCD2013/012,Bloodwood Downs Pastoral Lease,NTD29/2011,Johns v Northern Territory of Australia,2013-10-29,2013-11-14,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2011/013,579.9858,2013-11-06,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2013/2013fca1079,NT,,2025-04-03,Claimant,132.69798995364275,-15.233542950951632
DCD2013/013,Dry River Pastoral Lease,NTD40/2011,Brown v Northern Territory of Australia,2013-10-29,2013-11-14,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2011/027,665.0533,2013-11-06,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2013/2013fca1080,NT,,2025-04-03,Claimant,132.19670685863832,-15.249776799909982
DCD2013/014,Birdum Creek Pastoral Lease,NTD41/2011,Wavehill v Northern Territory of Australia,2013-10-29,2013-11-14,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2011/026,764.0142,2013-11-07,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2013/2013fca1081,NT,,2025-04-03,Claimant,133.09289075071987,-15.776505683134554
DCD2013/015,Providence,NTD42/2011,Brown v Northern Territory of Australia,2013-10-29,2013-11-14,Consent,In effect - Finalised,Native title exists in parts of the determination area,Top End (Default PBC/CLA) Aboriginal Corporation RNTBC,DC2011/025,530.8119,2013-11-07,https://www.judgments.fedcourt.gov.au/judgments/Judgments/fca/single/2013/2013fca1082,NT,,2025-04-03,Claimant,132.1974499376011,-15.962744264643991
