STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,1474,125562,220614,228433,198298,234963,1009344,34.70%
VIC,1634,25743,43917,39845,32782,36413,180334,8.00%
QLD,1346,80710,89960,67924,42969,37999,320908,17.70%
SA,31519,66666,65697,62051,54044,62980,342957,51.50%
WA,697,14413,48665,54948,46767,55020,220510,21.80%
TAS,180,3628,14804,16679,15745,19652,70688,34.80%
NT,35,314,762,990,685,415,3201,3.20%
ACT,198,1244,2502,2534,2000,1943,10421,6.90%
TOTAL,37083,318280,486921,473404,393290,449385,2158363,23.70%
