STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1966126,45.96%,-0.10%
VIC,427144,9.98%,-0.09%
QLD,617602,14.43%,-0.08%
SA,656485,15.34%,-0.08%
WA,440139,10.29%,-0.10%
TAS,139069,3.25%,-0.10%
NT,7164,0.17%,0.11%
ACT,24964,0.58%,-0.24%
TOTAL,4278693,100.00%,-0.09%
