STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,361049,21.74%,0.49%
VIC,412935,24.86%,0.35%
QLD,334890,20.16%,0.22%
SA,182429,10.98%,0.50%
WA,267365,16.10%,0.21%
TAS,52265,3.15%,0.45%
NT,13174,0.79%,0.26%
ACT,36863,2.22%,0.30%
TOTAL,1660970,100.00%,0.35%
