STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,114,2853,15483,23342,25116,28073,46875,141856,5.01%
VIC,101,7048,27338,32413,28700,27072,33960,156632,7.17%
QLD,82,4250,15872,22870,24559,25432,34047,127112,7.29%
SA,2256,8528,9207,10941,11803,12579,18926,74240,11.38%
WA,34,5445,16549,19712,19805,19047,22681,103273,11.01%
TAS,17,934,2568,3078,3669,4265,5055,19586,9.72%
NT,3,206,878,1058,1092,980,584,4801,5.18%
ACT,13,870,2884,2943,2779,2357,2554,14400,9.83%
TOTAL,2620,30134,90779,116357,117523,119805,164682,641900,7.30%
