STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2084737,46.94%,-5.29%
VIC,466834,10.51%,-6.60%
QLD,648524,14.60%,-7.17%
SA,549740,12.38%,-7.77%
WA,498651,11.23%,-10.16%
TAS,157300,3.54%,-8.93%
NT,8800,0.20%,-15.31%
ACT,26509,0.60%,-14.07%
TOTAL,4441095,100.00%,-6.80%
