STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2016952,47.21%,-0.05%
VIC,439947,10.30%,-0.09%
QLD,623057,14.58%,-0.04%
SA,560620,13.12%,0.24%
WA,455148,10.65%,-0.13%
TAS,144281,3.38%,-0.06%
NT,7544,0.18%,-0.41%
ACT,24706,0.58%,-0.04%
TOTAL,4272255,100.00%,-0.02%
