metric,year,respondent_type,value
Matters received,2021-22,Government Departments,3450
Matters received,2021-22,Local Government,921
Matters received,2021-22,Other Authorities,691
Matters received,2021-22,Total,5062
Matters received,2022-23,Government Departments,2674
Matters received,2022-23,Local Government,1023
Matters received,2022-23,Other Authorities,704
Matters received,2022-23,Total,4401
Matters received,2023-24,Government Departments,2761
Matters received,2023-24,Local Government,1108
Matters received,2023-24,Other Authorities,764
Matters received,2023-24,Total,4634
Matters received,2024-25,Government Departments,2751
Matters received,2024-25,Local Government,1170
Matters received,2024-25,Other Authorities,825
Matters received,2024-25,Total,4746
Matters completed,2021-22,Government Departments,3406
Matters completed,2021-22,Local Government,893
Matters completed,2021-22,Other Authorities,649
Matters completed,2021-22,Total,4948
Matters completed,2022-23,Government Departments,2737
Matters completed,2022-23,Local Government,1039
Matters completed,2022-23,Other Authorities,737
Matters completed,2022-23,Total,4513
Matters completed,2023-24,Government Departments,2685
Matters completed,2023-24,Local Government,1076
Matters completed,2023-24,Other Authorities,764
Matters completed,2023-24,Total,4507
Matters completed,2024-25,Government Departments,2740
Matters completed,2024-25,Local Government,1172
Matters completed,2024-25,Other Authorities,830
Matters completed,2024-25,Total,4742
Audits completed,2021-22,Government Departments,1
Audits completed,2021-22,Local Government,0
Audits completed,2021-22,Other Authorities,0
Audits completed,2021-22,Total,1
Audits completed,2022-23,Government Departments,1
Audits completed,2022-23,Local Government,0
Audits completed,2022-23,Other Authorities,0
Audits completed,2022-23,Total,1
Audits completed,2023-24,Government Departments,1
Audits completed,2023-24,Local Government,0
Audits completed,2023-24,Other Authorities,0
Audits completed,2023-24,Total,1
Audits completed,2024-25,Government Departments,1
Audits completed,2024-25,Local Government,0
Audits completed,2024-25,Other Authorities,0
Audits completed,2024-25,Total,1
