agency_type,agency,received,received_pct,completed,completed_pct,population_30_jun_2022,received_per_10000_pop,completed_per_10000_pop
Government Department,SA Water Corporation,29,,29,,,,
Government Department,SA Police,286,,280,,,,
Government Department,SA Housing Trust,716,,717,,,,
Government Department,"Office for Recreation, Sport and Racing",2,,2,,,,
Government Department,Office for Early Childhood Development,1,,1,,,,
Government Department,Environment Protection Authority,8,,7,,,,
Government Department,Department of Treasury and Finance,109,,110,,,,
Government Department,Department of the Premier and Cabinet,8,,7,,,,
Government Department,Department of State Development,2,,2,,,,
Government Department,Department of Primary Industries and Regions SA,21,,21,,,,
Government Department,Department of Human Services,54,,65,,,,
Government Department,Department for Trade and Investment,1,,1,,,,
Government Department,Department for Infrastructure and Transport,161,,154,,,,
Government Department,"Department for Industry, Innovation and Science",2,,1,,,,
Government Department,Department for Housing and Urban Development,5,,3,,,,
Government Department,Department for Health and Wellbeing,78,,80,,,,
Government Department,Department for Health and Aged Care,1,,1,,,,
Government Department,Department for Environment and Water,18,,18,,,,
Government Department,Department for Energy and Mining,7,,7,,,,
Government Department,Department for Education,181,,177,,,,
Government Department,Department for Correctional Services,762,,756,,,,
Government Department,Department for Child Protection,276,,281,,,,
Government Department,Attorney-General's Department,23,,20,,,,
Local Government,Adelaide Hills Council,28,2.39%,30,2.56%,42368,6.61,7.08
Local Government,Adelaide Plains Council,24,2.05%,18,1.54%,11302,21.24,15.93
Local Government,Alexandrina Council,33,2.82%,36,3.07%,30887,10.68,11.66
Local Government,Barunga West Council,4,0.34%,2,0.17%,2672,14.97,7.49
Local Government,Berri Barmera Council,9,0.77%,6,0.51%,10747,8.37,5.58
Local Government,Campbelltown City Council,21,1.79%,22,1.88%,57988,3.62,3.79
Local Government,City of Adelaide,174,14.87%,173,14.76%,29118,59.76,59.41
Local Government,City of Burnside,33,2.82%,30,2.56%,47810,6.9,6.27
Local Government,City of Charles Sturt,54,4.62%,56,4.78%,129196,4.18,4.33
Local Government,City of Holdfast Bay,32,2.74%,33,2.82%,39308,8.14,8.4
Local Government,City of Marion,29,2.48%,29,2.47%,99821,2.91,2.91
