FinYear,FinYearTotal,Application,TypeTotal,Percentage,Total
21-22,8179,Administration and/or Guardianship Order with/without Special Powers,1,0.0%,1
21-22,8179,Bond Dispute Referral,1,0.0%,1
21-22,8179,Compensation,14,0.2%,14
21-22,8179,Compensation or bond claim,2570,31.4%,2570
21-22,8179,Compensation or bond claim (Residential parks),6,0.1%,6
21-22,8179,Compensation or bond claim (Rooming House),90,1.1%,90
21-22,8179,Domestic Violence,11,0.1%,11
21-22,8179,Exemption from the Act,1,0.0%,1
21-22,8179,Frustration,59,0.7%,59
21-22,8179,Hardship,10,0.1%,10
21-22,8179,Hardship or domestic violence,221,2.7%,221
21-22,8179,"HIA order, exemption from the Act, database (eg TICA) or mortgage in possession",13,0.2%,13
21-22,8179,Order for ejectment,2,0.0%,2
21-22,8179,Permission to serve,3,0.0%,3
21-22,8179,Request for variation or revocation of Administration Order,1,0.0%,1
21-22,8179,Request for variation or revocation of Guardianship Order,1,0.0%,1
21-22,8179,Request for variation or revocation of Special Powers,1,0.0%,1
21-22,8179,Resolution of dispute between resident and administering authority,19,0.2%,19
21-22,8179,Return of goods,22,0.3%,22
21-22,8179,Review of a Notice to Vacate,1,0.0%,1
21-22,8179,Review of fees and charges,2,0.0%,2
21-22,8179,Review of Special Powers,1,0.0%,1
21-22,8179,Termination and/or possession,12,0.1%,12
21-22,8179,"Termination and/or possession (conduct, illegal use of premises or abandonment)",324,4.0%,324
21-22,8179,"Termination and/or possession (conduct, illegal use of premises, hardship or abandonment)",21,0.3%,21
21-22,8179,Vacant possession (breach or other),1,0.0%,1
21-22,8179,"Vacant possession (breach, end of lease or frustration)",36,0.4%,36
21-22,8179,"Vacant possession (breach, end of lease or non-compliance)",4730,57.8%,4730
21-22,8179,Vary or set aside a HIA notice or order,2,0.0%,2
21-22,8179,Vary or set aside a previous order,3,0.0%,3

