FinYear,FinYearTotal,Type,TypeTotal,Total
21-22,3463,Review of a Level 1 Community Treatment Order,2,2
21-22,3463,Review of a Level 1 Inpatient Treatment Order,15,15
21-22,3463,Review of a Level 2 Inpatient Treatment Order extension,127,127
21-22,3463,Reviews pursuant to s 57,3319,3319

