FinYear,FinYearTotal,ApplicationType,TypeTotal,Total
21-22,461,Application for Internal Review (SACAT Act),2,2
21-22,461,Internal Review of Administration Order,14,14
21-22,461,Internal Review of Bond/Compensation,12,12
21-22,461,Internal Review of Decision (Guardianship and Administration),47,47
21-22,461,Internal Review of Decision (Housing & Civil),140,140
21-22,461,Internal Review of Decision (Mental Health),23,23
21-22,461,Internal Review of Guardianship & Administration Act Order (Other),3,3
21-22,461,Internal Review of Guardianship & Administration Order,3,3
21-22,461,Internal Review of Guardianship Order,12,12
21-22,461,Internal Review of Level 2 Community Treatment Order (Mental Health Act),29,29
21-22,461,Internal Review of Level 3 Inpatient Treatment Order (Mental Health Act),1,1
21-22,461,Internal Review of Mental Health Act Order (Other),1,1
21-22,461,Internal Review of Residential Tenancies Act Order (other),13,13
21-22,461,Internal Review of Review of Extension of Level 2 Inpatient Treatment Order,1,1
21-22,461,Internal Review of Section 90 Residential Tenancies Act Order - Tenant Conduct,10,10
21-22,461,Internal Review of Special Powers Order,4,4
21-22,461,Internal Review of Vacant Possession Order,146,146

