FinYear,FinYearTotal,FinYearTotalResolved,FinYearPercentage,Stream,StreamTotal,StreamTotalResolved,StreamPercentage,Act,ActTotal,ActTotalResolved,ActPercentage,Application,ApplicationTotal,ApplicationTotalResolved,ApplicationPercentage,Total,ResolvedConference
21-22,1753,1236,70.5%,Community,3,0,0.0%,Advance Care Directives,1,0,0.0%,Revoke an Advance Care Directive,1,0,0.0%,1,N
21-22,1753,1236,70.5%,Community,3,0,0.0%,Guardianship and Administration,2,0,0.0%,Administration and/or Guardianship Order with/without Special Powers,2,0,0.0%,2,N
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Housing Improvement Act (H&C),3,2,66.7%,Compensation,3,2,66.7%,1,N
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Housing Improvement Act (H&C),3,2,66.7%,Compensation,3,2,66.7%,2,Y
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Parks,2,2,100.0%,Compensation or bond claim (Residential parks),1,1,100.0%,1,Y
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Parks,2,2,100.0%,"Termination and/or possession (conduct, illegal use of premises or abandonment)",1,1,100.0%,1,Y
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,Compensation or bond claim,1563,1092,69.9%,471,N
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,Compensation or bond claim,1563,1092,69.9%,1092,Y
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,Domestic Violence,1,1,100.0%,1,Y
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,Frustration,8,5,62.5%,3,N
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,Frustration,8,5,62.5%,5,Y
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,Hardship or domestic violence,12,6,50.0%,6,N
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,Hardship or domestic violence,12,6,50.0%,6,Y
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,"HIA order, exemption from the Act, database (eg TICA) or mortgage in possession",2,1,50.0%,1,N
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,"HIA order, exemption from the Act, database (eg TICA) or mortgage in possession",2,1,50.0%,1,Y
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,"Termination and/or possession (conduct, illegal use of premises or abandonment)",29,26,89.7%,3,N
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,"Termination and/or possession (conduct, illegal use of premises or abandonment)",29,26,89.7%,26,Y
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,"Vacant possession (breach, end of lease or non-compliance)",56,45,80.4%,11,N
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,"Vacant possession (breach, end of lease or non-compliance)",56,45,80.4%,45,Y
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Retirement Villages,7,2,28.6%,Resolution of dispute between resident and administering authority,3,0,0.0%,3,N
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Retirement Villages,7,2,28.6%,Termination and/or possession,3,1,33.3%,2,N
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Retirement Villages,7,2,28.6%,Termination and/or possession,3,1,33.3%,1,Y
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Retirement Villages,7,2,28.6%,Vary or set aside a previous order,1,1,100.0%,1,Y
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Rooming House,67,54,80.6%,Compensation or bond claim (Rooming House),60,48,80.0%,12,N
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Rooming House,67,54,80.6%,Compensation or bond claim (Rooming House),60,48,80.0%,48,Y
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Rooming House,67,54,80.6%,"Termination and/or possession (conduct, illegal use of premises, hardship or abandonment)",4,4,100.0%,4,Y
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Rooming House,67,54,80.6%,"Vacant possession (breach, end of lease or frustration)",3,2,66.7%,1,N
21-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Rooming House,67,54,80.6%,"Vacant possession (breach, end of lease or frustration)",3,2,66.7%,2,Y

