STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,264592,25.46%,0.96%
VIC,253002,24.34%,1.34%
QLD,220379,21.21%,1.20%
SA,93867,9.03%,0.88%
WA,152542,14.68%,1.44%
TAS,28215,2.71%,1.92%
NT,8093,0.78%,2.26%
ACT,18571,1.79%,1.40%
TOTAL,1039261,100.00%,1.21%
