financial_year,ground,accepted_complaints_count,pct_of_total
2009-10 to 2013-14 (5-year average),Age,11,
2014-15,Age,4,
2015-16,Age,13,
2016-17,Age,8,
2017-18,Age,13,
2018-19,Age,4,
2009-10 to 2013-14 (5-year average),Association with Child,2,
2014-15,Association with Child,1,
2015-16,Association with Child,1,
2016-17,Association with Child,0,
2017-18,Association with Child,3,
2018-19,Association with Child,1,
2009-10 to 2013-14 (5-year average),Caring Responsibilities,20,
2014-15,Caring Responsibilities,5,
2015-16,Caring Responsibilities,12,
2016-17,Caring Responsibilities,5,
2017-18,Caring Responsibilities,8,
2018-19,Caring Responsibilities,7,
2009-10 to 2013-14 (5-year average),Disability,56,
2014-15,Disability,4,
2015-16,Disability,56,
2016-17,Disability,80,
2017-18,Disability,52,
2018-19,Disability,31,
2009-10 to 2013-14 (5-year average),Gender Identity,3,
2014-15,Gender Identity,2,
2015-16,Gender Identity,1,
2016-17,Gender Identity,1,
2017-18,Gender Identity,3,
2018-19,Gender Identity,1,
2009-10 to 2013-14 (5-year average),Identity of Spouse or Partner,4,
2014-15,Identity of Spouse or Partner,1,
2015-16,Identity of Spouse or Partner,0,
2016-17,Identity of Spouse or Partner,1,
2017-18,Identity of Spouse or Partner,3,
2018-19,Identity of Spouse or Partner,2,
2009-10 to 2013-14 (5-year average),Marital Status,2,
2014-15,Marital Status,2,
2015-16,Marital Status,5,
2016-17,Marital Status,1,
2017-18,Marital Status,-,
2018-19,Marital Status,2,
2009-10 to 2013-14 (5-year average),Pregnancy,7,
2014-15,Pregnancy,5,
2015-16,Pregnancy,3,
2016-17,Pregnancy,2,
2017-18,Pregnancy,9,
2018-19,Pregnancy,5,
2009-10 to 2013-14 (5-year average),Race,22,
2014-15,Race,11,
2015-16,Race,16,
2016-17,Race,35,
2017-18,Race,10,
2018-19,Race,7,
2009-10 to 2013-14 (5-year average),Sex,17,
2014-15,Sex,3,
2015-16,Sex,13,
2016-17,Sex,18,
2017-18,Sex,6,
2018-19,Sex,14,
2009-10 to 2013-14 (5-year average),Sexual Harassment,27,
2014-15,Sexual Harassment,4,
2015-16,Sexual Harassment,16,
2016-17,Sexual Harassment,30,
2017-18,Sexual Harassment,28,
2018-19,Sexual Harassment,16,
2009-10 to 2013-14 (5-year average),Sexual Orientation,3,
2014-15,Sexual Orientation,2,
2015-16,Sexual Orientation,5,
2016-17,Sexual Orientation,2,
2017-18,Sexual Orientation,4,
2018-19,Sexual Orientation,0,
2009-10 to 2013-14 (5-year average),Victimisation,18,
2014-15,Victimisation,16,
2015-16,Victimisation,20,
2016-17,Victimisation,29,
2017-18,Victimisation,12,
2018-19,Victimisation,12,
2009-10 to 2013-14 (5-year average),Whistleblower,6,
2014-15,Whistleblower,7,
2015-16,Whistleblower,4,
2016-17,Whistleblower,9,
2017-18,Whistleblower,8,
2018-19,Whistleblower,9,
2009-10 to 2013-14 (5-year average),Religious Appearance or Dress,3,
2014-15,Religious Appearance or Dress,0,
2015-16,Religious Appearance or Dress,0,
2016-17,Religious Appearance or Dress,0,
2017-18,Religious Appearance or Dress,0,
2018-19,Religious Appearance or Dress,0,
2009-10 to 2013-14 (5-year average),Aiding Unlawful Act,1,
2014-15,Aiding Unlawful Act,3,
2015-16,Aiding Unlawful Act,0,
2016-17,Aiding Unlawful Act,0,
2017-18,Aiding Unlawful Act,0,
2018-19,Aiding Unlawful Act,0,
2019-20,Sexual Harassment,46,20%
2020-21,Sexual Harassment,22,12%
2021-22,Sexual Harassment,14,12%
2022-23,Sexual Harassment,30,24%
2023-24,Sexual Harassment,27,32%
2019-20,Disability,50,21%
2020-21,Disability,46,25%
2021-22,Disability,41,35%
2022-23,Disability,41,32%
2023-24,Disability,15,18%
2019-20,Sex,26,11%
2020-21,Sex,20,11%
2021-22,Sex,8,7%
2022-23,Sex,15,12%
2023-24,Sex,15,18%
2019-20,Victimisation,33,14%
2020-21,Victimisation,22,12%
2021-22,Victimisation,19,16%
2022-23,Victimisation,4,3%
2023-24,Victimisation,10,12%
2019-20,Race,24,10%
2020-21,Race,17,9%
2021-22,Race,12,10%
2022-23,Race,8,6%
2023-24,Race,5,6%
2019-20,Age,16,7%
2020-21,Age,13,7%
2021-22,Age,7,6%
2022-23,Age,9,7%
2023-24,Age,3,4%
2019-20,Gender Identity,11,5%
2020-21,Gender Identity,1,1%
2021-22,Gender Identity,3,3%
2022-23,Gender Identity,5,4%
2023-24,Gender Identity,2,2%
2019-20,Caring Responsibilities,3,1%
2020-21,Caring Responsibilities,7,4%
2021-22,Caring Responsibilities,3,3%
2022-23,Caring Responsibilities,3,2%
2023-24,Caring Responsibilities,2,2%
2019-20,Association with a Child,1,0%
2020-21,Association with a Child,3,2%
2021-22,Association with a Child,1,1%
2022-23,Association with a Child,1,1%
2023-24,Association with a Child,2,2%
2019-20,Sexual Orientation,6,3%
2020-21,Sexual Orientation,3,2%
2021-22,Sexual Orientation,3,3%
2022-23,Sexual Orientation,4,3%
2023-24,Sexual Orientation,1,1%
2019-20,Marital Status,1,0%
2020-21,Marital Status,0,0%
2021-22,Marital Status,0,0%
2022-23,Marital Status,1,1%
2023-24,Marital Status,1,1%
2019-20,Pregnancy,3,1%
2020-21,Pregnancy,4,2%
2021-22,Pregnancy,0,0%
2022-23,Pregnancy,0,0%
2023-24,Pregnancy,1,1%
2019-20,Identity of Spouse or Partner,8,3%
2020-21,Identity of Spouse or Partner,2,1%
2021-22,Identity of Spouse or Partner,2,2%
2022-23,Identity of Spouse or Partner,3,2%
2023-24,Identity of Spouse or Partner,0,0%
2019-20,Whistleblower,5,2%
2020-21,Whistleblower,0,0%
2021-22,Whistleblower,3,3%
2022-23,Whistleblower,2,2%
2023-24,Whistleblower,0,0%
2019-20,Other,0,0%
2020-21,Other,27,14%
2021-22,Other,0,0%
2022-23,Other,1,1%
2023-24,Other,0,0%
2019-20,Religious Appearance or Dress,0,0%
2020-21,Religious Appearance or Dress,0,0%
2021-22,Religious Appearance or Dress,1,1%
2022-23,Religious Appearance or Dress,0,0%
2023-24,Religious Appearance or Dress,0,0%
2019-20,Aiding Unlawful Act,0,0%
2020-21,Aiding Unlawful Act,0,0%
2021-22,Aiding Unlawful Act,1,1%
2022-23,Aiding Unlawful Act,0,0%
2023-24,Aiding Unlawful Act,0,0%
2023-24,Domestic Abuse,0,0%
