financial_year,outcome,count,pct_of_total
2019-20,General information provided,165,27%
2020-21,General information provided,347,47%
2021-22,General information provided,337,53%
2022-23,General information provided,174,31%
2023-24,General information provided,407,65%
2019-20,No action required,49,8%
2020-21,No action required,84,11%
2021-22,No action required,79,12%
2022-23,No action required,102,18%
2023-24,No action required,94,15%
2019-20,Referred elsewhere (out of EOSA jurisdiction),98,16%
2020-21,Referred elsewhere (out of EOSA jurisdiction),96,13%
2021-22,Referred elsewhere (out of EOSA jurisdiction),95,15%
2022-23,Referred elsewhere (out of EOSA jurisdiction),109,20%
2023-24,Referred elsewhere (out of EOSA jurisdiction),68,11%
2019-20,Referred to advocate (to assist with EO/other Issue),6,1%
2020-21,Referred to advocate (to assist with EO/other Issue),3,0%
2021-22,Referred to advocate (to assist with EO/other Issue),26,4%
2022-23,Referred to advocate (to assist with EO/other Issue),28,5%
2023-24,Referred to advocate (to assist with EO/other Issue),27,4%
2019-20,Complaint form and information package sent,14,2%
2020-21,Complaint form and information package sent,53,7%
2021-22,Complaint form and information package sent,38,6%
2022-23,Complaint form and information package sent,65,12%
2023-24,Complaint form and information package sent,13,2%
2019-20,Referred to Australian Human Rights Commission,6,1%
2020-21,Referred to Australian Human Rights Commission,1,0%
2021-22,Referred to Australian Human Rights Commission,16,3%
2022-23,Referred to Australian Human Rights Commission,12,2%
2023-24,Referred to Australian Human Rights Commission,10,2%
2019-20,Referred to EOSA electronic complaint form,39,6%
2020-21,Referred to EOSA electronic complaint form,25,3%
2021-22,Referred to EOSA electronic complaint form,31,5%
2022-23,Referred to EOSA electronic complaint form,49,9%
2023-24,Referred to EOSA electronic complaint form,5,1%
2019-20,Referred to EOSA Website,226,37%
2020-21,Referred to EOSA Website,120,16%
2021-22,Referred to EOSA Website,9,1%
2022-23,Referred to EOSA Website,10,2%
2023-24,Referred to EOSA Website,4,1%
2019-20,Media response provided/Presentation requested/Other,0,0%
2020-21,Media response provided/Presentation requested/Other,0,0%
2021-22,Media response provided/Presentation requested/Other,6,1%
2022-23,Media response provided/Presentation requested/Other,3,1%
2023-24,Media response provided/Presentation requested/Other,3,0%
2019-20,Appointment made for interview with EOSA enquiry officer,0,0%
2020-21,Appointment made for interview with EOSA enquiry officer,2,0%
2021-22,Appointment made for interview with EOSA enquiry officer,1,0%
2022-23,Appointment made for interview with EOSA enquiry officer,1,0%
2023-24,Appointment made for interview with EOSA enquiry officer,0,0%
