financial_year,age_band,pct_of_accepted_complaints
2019-20,0 - 9 years,2%
2020-21,0 - 9 years,3%
2021-22,0 - 9 years,2%
2022-23,0 - 9 years,1%
2023-24,0 - 9 years,0%
2019-20,10 - 19 years,6%
2020-21,10 - 19 years,6%
2021-22,10 - 19 years,4%
2022-23,10 - 19 years,1%
2023-24,10 - 19 years,19%
2019-20,20 - 29 years,24%
2020-21,20 - 29 years,16%
2021-22,20 - 29 years,9%
2022-23,20 - 29 years,13%
2023-24,20 - 29 years,14%
2019-20,30 - 39 years,27%
2020-21,30 - 39 years,21%
2021-22,30 - 39 years,15%
2022-23,30 - 39 years,15%
2023-24,30 - 39 years,24%
2019-20,40 - 49 years,13%
2020-21,40 - 49 years,15%
2021-22,40 - 49 years,17%
2022-23,40 - 49 years,14%
2023-24,40 - 49 years,22%
2019-20,50 - 59 years,13%
2020-21,50 - 59 years,14%
2021-22,50 - 59 years,14%
2022-23,50 - 59 years,10%
2023-24,50 - 59 years,11%
2019-20,60 - 69 years,6%
2020-21,60 - 69 years,9%
2021-22,60 - 69 years,4%
2022-23,60 - 69 years,7%
2023-24,60 - 69 years,8%
2019-20,70 - 79 years,2%
2020-21,70 - 79 years,1%
2021-22,70 - 79 years,5%
2022-23,70 - 79 years,6%
2023-24,70 - 79 years,0%
2019-20,80 + years,0%
2020-21,80 + years,2%
2021-22,80 + years,0%
2022-23,80 + years,1%
2023-24,80 + years,0%
2019-20,Unknown age,7%
2020-21,Unknown age,14%
2021-22,Unknown age,31%
2022-23,Unknown age,31%
2023-24,Unknown age,1%
