financial_year,gender_identity,enquiries_count,complaints_count
2023-24,Undisclosed,273,28
2023-24,Female,176,64
2023-24,Male,119,53
2023-24,Non-binary,0,1
2023-24,Transgender,0,2
2023-24,Intersex,0,0
