financial_year,area,ground,count
2023-24,"Education, training and qualifications",Disability,1
2019-20,"Education, training and qualifications",Sex,1
2020-21,"Education, training and qualifications",Sex,1
2021-22,"Education, training and qualifications",Sex,1
2022-23,"Education, training and qualifications",Sex,1
2023-24,"Education, training and qualifications",Sex,1
2019-20,"Education, training and qualifications",Age,3
2020-21,"Education, training and qualifications",Age,0
2021-22,"Education, training and qualifications",Age,0
2022-23,"Education, training and qualifications",Age,0
2023-24,"Education, training and qualifications",Age,1
2019-20,"Education, training and qualifications",Victimisation,6
2020-21,"Education, training and qualifications",Victimisation,3
2021-22,"Education, training and qualifications",Victimisation,4
2022-23,"Education, training and qualifications",Victimisation,1
2023-24,"Education, training and qualifications",Victimisation,0
2019-20,"Education, training and qualifications",Caring Responsibilities,1
2020-21,"Education, training and qualifications",Caring Responsibilities,2
2021-22,"Education, training and qualifications",Caring Responsibilities,3
2022-23,"Education, training and qualifications",Caring Responsibilities,1
2023-24,"Education, training and qualifications",Caring Responsibilities,0
2019-20,"Education, training and qualifications",Race,4
2020-21,"Education, training and qualifications",Race,1
2021-22,"Education, training and qualifications",Race,2
2022-23,"Education, training and qualifications",Race,1
2023-24,"Education, training and qualifications",Race,0
2019-20,"Education, training and qualifications",Gender Identity,5
2020-21,"Education, training and qualifications",Gender Identity,0
2021-22,"Education, training and qualifications",Gender Identity,1
2022-23,"Education, training and qualifications",Gender Identity,1
2023-24,"Education, training and qualifications",Gender Identity,0
2019-20,"Education, training and qualifications",Identity of Spouse or Partner,2
2020-21,"Education, training and qualifications",Identity of Spouse or Partner,0
2021-22,"Education, training and qualifications",Identity of Spouse or Partner,0
2022-23,"Education, training and qualifications",Identity of Spouse or Partner,1
2023-24,"Education, training and qualifications",Identity of Spouse or Partner,0
2019-20,"Education, training and qualifications",Marital Status,0
2020-21,"Education, training and qualifications",Marital Status,0
2021-22,"Education, training and qualifications",Marital Status,0
2022-23,"Education, training and qualifications",Marital Status,1
2023-24,"Education, training and qualifications",Marital Status,0
2019-20,"Education, training and qualifications",Whistleblower,0
2020-21,"Education, training and qualifications",Whistleblower,0
2021-22,"Education, training and qualifications",Whistleblower,0
2022-23,"Education, training and qualifications",Whistleblower,0
2023-24,"Education, training and qualifications",Whistleblower,0
2019-20,"Education, training and qualifications",Aiding Unlawful Act,0
2020-21,"Education, training and qualifications",Aiding Unlawful Act,0
2021-22,"Education, training and qualifications",Aiding Unlawful Act,0
2022-23,"Education, training and qualifications",Aiding Unlawful Act,0
2023-24,"Education, training and qualifications",Aiding Unlawful Act,0
2019-20,"Education, training and qualifications",Association with a Child,0
2020-21,"Education, training and qualifications",Association with a Child,0
2021-22,"Education, training and qualifications",Association with a Child,0
2022-23,"Education, training and qualifications",Association with a Child,0
2023-24,"Education, training and qualifications",Association with a Child,0
2019-20,"Education, training and qualifications",Intersex Status,0
2020-21,"Education, training and qualifications",Intersex Status,0
2021-22,"Education, training and qualifications",Intersex Status,0
2022-23,"Education, training and qualifications",Intersex Status,0
2023-24,"Education, training and qualifications",Intersex Status,0
2019-20,"Education, training and qualifications",Pregnancy,0
2020-21,"Education, training and qualifications",Pregnancy,0
2021-22,"Education, training and qualifications",Pregnancy,0
2022-23,"Education, training and qualifications",Pregnancy,0
2023-24,"Education, training and qualifications",Pregnancy,0
2019-20,"Education, training and qualifications",Religious appearance or dress,0
2020-21,"Education, training and qualifications",Religious appearance or dress,0
2021-22,"Education, training and qualifications",Religious appearance or dress,0
2022-23,"Education, training and qualifications",Religious appearance or dress,0
2023-24,"Education, training and qualifications",Religious appearance or dress,0
2019-20,"Education, training and qualifications",Sexual Orientation,0
2020-21,"Education, training and qualifications",Sexual Orientation,0
2021-22,"Education, training and qualifications",Sexual Orientation,0
2022-23,"Education, training and qualifications",Sexual Orientation,0
2023-24,"Education, training and qualifications",Sexual Orientation,0
2023-24,"Education, training and qualifications",Domestic Abuse,0
2019-20,"Education, training and qualifications",Other,0
2020-21,"Education, training and qualifications",Other,5
2021-22,"Education, training and qualifications",Other,0
2022-23,"Education, training and qualifications",Other,0
2023-24,"Education, training and qualifications",Other,0
2019-20,Clubs and associations,Sexual Harassment,0
2020-21,Clubs and associations,Sexual Harassment,0
2021-22,Clubs and associations,Sexual Harassment,0
2022-23,Clubs and associations,Sexual Harassment,0
2023-24,Clubs and associations,Sexual Harassment,1
2019-20,Clubs and associations,Sexual Orientation,0
2020-21,Clubs and associations,Sexual Orientation,0
2021-22,Clubs and associations,Sexual Orientation,0
2022-23,Clubs and associations,Sexual Orientation,0
2023-24,Clubs and associations,Sexual Orientation,1
2019-20,Clubs and associations,Disability,2
2020-21,Clubs and associations,Disability,2
2021-22,Clubs and associations,Disability,4
2022-23,Clubs and associations,Disability,1
2023-24,Clubs and associations,Disability,0
2019-20,Clubs and associations,Gender Identity,0
2020-21,Clubs and associations,Gender Identity,0
2021-22,Clubs and associations,Gender Identity,0
2022-23,Clubs and associations,Gender Identity,1
2023-24,Clubs and associations,Gender Identity,0
2019-20,Clubs and associations,Victimisation,1
2020-21,Clubs and associations,Victimisation,2
2021-22,Clubs and associations,Victimisation,0
2022-23,Clubs and associations,Victimisation,0
2023-24,Clubs and associations,Victimisation,0
2019-20,Clubs and associations,Race,0
2020-21,Clubs and associations,Race,1
2021-22,Clubs and associations,Race,0
2022-23,Clubs and associations,Race,0
2023-24,Clubs and associations,Race,0
2019-20,Clubs and associations,Age,0
2020-21,Clubs and associations,Age,0
2021-22,Clubs and associations,Age,0
2022-23,Clubs and associations,Age,0
2023-24,Clubs and associations,Age,0
2019-20,Clubs and associations,Caring Responsibilities,0
2020-21,Clubs and associations,Caring Responsibilities,0
2021-22,Clubs and associations,Caring Responsibilities,0
2022-23,Clubs and associations,Caring Responsibilities,0
2023-24,Clubs and associations,Caring Responsibilities,0
2019-20,Clubs and associations,Sex,0
2020-21,Clubs and associations,Sex,0
2021-22,Clubs and associations,Sex,0
2022-23,Clubs and associations,Sex,0
2023-24,Clubs and associations,Sex,0
2019-20,Clubs and associations,Whistleblower,0
2020-21,Clubs and associations,Whistleblower,0
2021-22,Clubs and associations,Whistleblower,0
2022-23,Clubs and associations,Whistleblower,0
2023-24,Clubs and associations,Whistleblower,0
2019-20,Clubs and associations,Aiding Unlawful Act,0
2020-21,Clubs and associations,Aiding Unlawful Act,0
2021-22,Clubs and associations,Aiding Unlawful Act,0
2022-23,Clubs and associations,Aiding Unlawful Act,0
2023-24,Clubs and associations,Aiding Unlawful Act,0
2019-20,Clubs and associations,Association with a Child,0
2020-21,Clubs and associations,Association with a Child,0
2021-22,Clubs and associations,Association with a Child,0
2022-23,Clubs and associations,Association with a Child,0
2023-24,Clubs and associations,Association with a Child,0
2019-20,Clubs and associations,Identity of Spouse or Partner,0
2020-21,Clubs and associations,Identity of Spouse or Partner,0
2021-22,Clubs and associations,Identity of Spouse or Partner,0
2022-23,Clubs and associations,Identity of Spouse or Partner,0
2023-24,Clubs and associations,Identity of Spouse or Partner,0
2019-20,Clubs and associations,Intersex Status,0
2020-21,Clubs and associations,Intersex Status,0
2021-22,Clubs and associations,Intersex Status,0
2022-23,Clubs and associations,Intersex Status,0
2023-24,Clubs and associations,Intersex Status,0
2019-20,Clubs and associations,Marital Status,0
2020-21,Clubs and associations,Marital Status,0
2021-22,Clubs and associations,Marital Status,0
2022-23,Clubs and associations,Marital Status,0
2023-24,Clubs and associations,Marital Status,0
2019-20,Clubs and associations,Pregnancy,0
2020-21,Clubs and associations,Pregnancy,0
2021-22,Clubs and associations,Pregnancy,0
2022-23,Clubs and associations,Pregnancy,0
2023-24,Clubs and associations,Pregnancy,0
2019-20,Clubs and associations,Religious appearance or dress,0
2020-21,Clubs and associations,Religious appearance or dress,0
2021-22,Clubs and associations,Religious appearance or dress,0
2022-23,Clubs and associations,Religious appearance or dress,0
2023-24,Clubs and associations,Religious appearance or dress,0
2023-24,Clubs and associations,Domestic Abuse,0
2019-20,Clubs and associations,Other,0
2020-21,Clubs and associations,Other,1
2021-22,Clubs and associations,Other,0
2022-23,Clubs and associations,Other,0
2023-24,Clubs and associations,Other,0
2019-20,"Housing, land and accommodation",Disability,2
2020-21,"Housing, land and accommodation",Disability,1
2021-22,"Housing, land and accommodation",Disability,0
2022-23,"Housing, land and accommodation",Disability,2
2023-24,"Housing, land and accommodation",Disability,0
2019-20,"Housing, land and accommodation",Age,0
2020-21,"Housing, land and accommodation",Age,0
2021-22,"Housing, land and accommodation",Age,0
2022-23,"Housing, land and accommodation",Age,1
2023-24,"Housing, land and accommodation",Age,0
2019-20,"Housing, land and accommodation",Race,0
2020-21,"Housing, land and accommodation",Race,0
2021-22,"Housing, land and accommodation",Race,0
2022-23,"Housing, land and accommodation",Race,1
2023-24,"Housing, land and accommodation",Race,0
2019-20,"Housing, land and accommodation",Association with a Child,0
2020-21,"Housing, land and accommodation",Association with a Child,1
2021-22,"Housing, land and accommodation",Association with a Child,0
2022-23,"Housing, land and accommodation",Association with a Child,0
2023-24,"Housing, land and accommodation",Association with a Child,0
2019-20,"Housing, land and accommodation",Sex,0
2020-21,"Housing, land and accommodation",Sex,1
2021-22,"Housing, land and accommodation",Sex,0
2022-23,"Housing, land and accommodation",Sex,0
2023-24,"Housing, land and accommodation",Sex,0
2019-20,"Housing, land and accommodation",Sexual Harassment,0
2020-21,"Housing, land and accommodation",Sexual Harassment,0
2021-22,"Housing, land and accommodation",Sexual Harassment,0
2022-23,"Housing, land and accommodation",Sexual Harassment,0
2023-24,"Housing, land and accommodation",Sexual Harassment,0
2019-20,"Housing, land and accommodation",Victimisation,0
2020-21,"Housing, land and accommodation",Victimisation,0
2021-22,"Housing, land and accommodation",Victimisation,0
2022-23,"Housing, land and accommodation",Victimisation,0
2023-24,"Housing, land and accommodation",Victimisation,0
2019-20,"Housing, land and accommodation",Caring Responsibilities,0
2020-21,"Housing, land and accommodation",Caring Responsibilities,0
2021-22,"Housing, land and accommodation",Caring Responsibilities,0
2022-23,"Housing, land and accommodation",Caring Responsibilities,0
2023-24,"Housing, land and accommodation",Caring Responsibilities,0
2019-20,"Housing, land and accommodation",Gender Identity,0
2020-21,"Housing, land and accommodation",Gender Identity,0
2021-22,"Housing, land and accommodation",Gender Identity,0
2022-23,"Housing, land and accommodation",Gender Identity,0
2023-24,"Housing, land and accommodation",Gender Identity,0
2019-20,"Housing, land and accommodation",Pregnancy,0
2020-21,"Housing, land and accommodation",Pregnancy,0
2021-22,"Housing, land and accommodation",Pregnancy,0
2022-23,"Housing, land and accommodation",Pregnancy,0
2023-24,"Housing, land and accommodation",Pregnancy,0
2019-20,"Housing, land and accommodation",Whistleblower,0
2020-21,"Housing, land and accommodation",Whistleblower,0
2021-22,"Housing, land and accommodation",Whistleblower,0
2022-23,"Housing, land and accommodation",Whistleblower,0
2023-24,"Housing, land and accommodation",Whistleblower,0
2019-20,"Housing, land and accommodation",Aiding Unlawful Act,0
2020-21,"Housing, land and accommodation",Aiding Unlawful Act,0
2021-22,"Housing, land and accommodation",Aiding Unlawful Act,0
2022-23,"Housing, land and accommodation",Aiding Unlawful Act,0
2023-24,"Housing, land and accommodation",Aiding Unlawful Act,0
2019-20,"Housing, land and accommodation",Identity of Spouse or Partner,0
2020-21,"Housing, land and accommodation",Identity of Spouse or Partner,0
2021-22,"Housing, land and accommodation",Identity of Spouse or Partner,0
2022-23,"Housing, land and accommodation",Identity of Spouse or Partner,0
2023-24,"Housing, land and accommodation",Identity of Spouse or Partner,0
2019-20,"Housing, land and accommodation",Intersex Status,0
2020-21,"Housing, land and accommodation",Intersex Status,0
2021-22,"Housing, land and accommodation",Intersex Status,0
2022-23,"Housing, land and accommodation",Intersex Status,0
2023-24,"Housing, land and accommodation",Intersex Status,0
2019-20,"Housing, land and accommodation",Marital Status,0
2020-21,"Housing, land and accommodation",Marital Status,0
2021-22,"Housing, land and accommodation",Marital Status,0
2022-23,"Housing, land and accommodation",Marital Status,0
2023-24,"Housing, land and accommodation",Marital Status,0
2019-20,"Housing, land and accommodation",Religious appearance or dress,0
2020-21,"Housing, land and accommodation",Religious appearance or dress,0
2021-22,"Housing, land and accommodation",Religious appearance or dress,0
2022-23,"Housing, land and accommodation",Religious appearance or dress,0
2023-24,"Housing, land and accommodation",Religious appearance or dress,0
2019-20,"Housing, land and accommodation",Sexual Orientation,0
2020-21,"Housing, land and accommodation",Sexual Orientation,0
2021-22,"Housing, land and accommodation",Sexual Orientation,0
2022-23,"Housing, land and accommodation",Sexual Orientation,0
2023-24,"Housing, land and accommodation",Sexual Orientation,0
2023-24,"Housing, land and accommodation",Domestic Abuse,0
2019-20,"Housing, land and accommodation",Other,0
2020-21,"Housing, land and accommodation",Other,0
2021-22,"Housing, land and accommodation",Other,0
2022-23,"Housing, land and accommodation",Other,0
2023-24,"Housing, land and accommodation",Other,0
