financial_year,metric,value
2019-20,Total - participants,238
2020-21,Total - participants,458
2021-22,Total - participants,304
2022-23,Total - participants,389
2023-24,Total - participants,24
2019-20,Total - sessions,20
2020-21,Total - sessions,39
2021-22,Total - sessions,20
2022-23,Total - sessions,29
2023-24,Total - sessions,3
