table,row_order,line_item,is_total_row,year,value_million_aud
operating_statement,13,Interest on defined benefit superannuation,False,2019-20,0
operating_statement,13,Interest on defined benefit superannuation,False,2020-21,0
operating_statement,13,Interest on defined benefit superannuation,False,2021-22,0
operating_statement,13,Interest on defined benefit superannuation,False,2022-23,0
operating_statement,13,Interest on defined benefit superannuation,False,2023-24,0
operating_statement,13,Interest on defined benefit superannuation,False,2024-25,0
operating_statement,14,Other interest expenses,False,2015-16,30
operating_statement,14,Other interest expenses,False,2016-17,26
operating_statement,14,Other interest expenses,False,2017-18,27
operating_statement,14,Other interest expenses,False,2018-19,27
operating_statement,14,Other interest expenses,False,2019-20,21
operating_statement,14,Other interest expenses,False,2020-21,17
operating_statement,14,Other interest expenses,False,2021-22,15
operating_statement,14,Other interest expenses,False,2022-23,20
operating_statement,14,Other interest expenses,False,2023-24,22
operating_statement,14,Other interest expenses,False,2024-25,34
operating_statement,15,Other property expenses,False,2015-16,0
operating_statement,15,Other property expenses,False,2016-17,0
operating_statement,15,Other property expenses,False,2017-18,0
operating_statement,15,Other property expenses,False,2018-19,0
operating_statement,15,Other property expenses,False,2019-20,0
operating_statement,15,Other property expenses,False,2020-21,0
operating_statement,15,Other property expenses,False,2021-22,0
operating_statement,15,Other property expenses,False,2022-23,0
operating_statement,15,Other property expenses,False,2023-24,0
operating_statement,15,Other property expenses,False,2024-25,0
operating_statement,16,Current transfer expenses,False,2015-16,14
operating_statement,16,Current transfer expenses,False,2016-17,14
operating_statement,16,Current transfer expenses,False,2017-18,17
operating_statement,16,Current transfer expenses,False,2018-19,19
operating_statement,16,Current transfer expenses,False,2019-20,20
operating_statement,16,Current transfer expenses,False,2020-21,22
operating_statement,16,Current transfer expenses,False,2021-22,21
operating_statement,16,Current transfer expenses,False,2022-23,23
operating_statement,16,Current transfer expenses,False,2023-24,20
operating_statement,16,Current transfer expenses,False,2024-25,20
operating_statement,17,Capital transfer expenses,False,2015-16,1
operating_statement,17,Capital transfer expenses,False,2016-17,1
operating_statement,17,Capital transfer expenses,False,2017-18,1
operating_statement,17,Capital transfer expenses,False,2018-19,2
operating_statement,17,Capital transfer expenses,False,2019-20,1
operating_statement,17,Capital transfer expenses,False,2020-21,1
operating_statement,17,Capital transfer expenses,False,2021-22,1
operating_statement,17,Capital transfer expenses,False,2022-23,2
operating_statement,17,Capital transfer expenses,False,2023-24,13
operating_statement,17,Capital transfer expenses,False,2024-25,2
operating_statement,18,Total GFS expenses,True,2015-16,2070
operating_statement,18,Total GFS expenses,True,2016-17,2133
operating_statement,18,Total GFS expenses,True,2017-18,2194
operating_statement,18,Total GFS expenses,True,2018-19,2278
operating_statement,18,Total GFS expenses,True,2019-20,2354
operating_statement,18,Total GFS expenses,True,2020-21,2408
operating_statement,18,Total GFS expenses,True,2021-22,2478
operating_statement,18,Total GFS expenses,True,2022-23,2699
operating_statement,18,Total GFS expenses,True,2023-24,2916
operating_statement,18,Total GFS expenses,True,2024-25,3031
operating_statement,19,GFS Net operating balance,True,2015-16,187
operating_statement,19,GFS Net operating balance,True,2016-17,334
operating_statement,19,GFS Net operating balance,True,2017-18,293
operating_statement,19,GFS Net operating balance,True,2018-19,297
operating_statement,19,GFS Net operating balance,True,2019-20,280
operating_statement,19,GFS Net operating balance,True,2020-21,373
operating_statement,19,GFS Net operating balance,True,2021-22,421
operating_statement,19,GFS Net operating balance,True,2022-23,363
operating_statement,19,GFS Net operating balance,True,2023-24,199
operating_statement,19,GFS Net operating balance,True,2024-25,568
operating_statement,20,Gross fixed capital formation,False,2015-16,649
operating_statement,20,Gross fixed capital formation,False,2016-17,712
operating_statement,20,Gross fixed capital formation,False,2017-18,800
operating_statement,20,Gross fixed capital formation,False,2018-19,907
operating_statement,20,Gross fixed capital formation,False,2019-20,875
operating_statement,20,Gross fixed capital formation,False,2020-21,867
operating_statement,20,Gross fixed capital formation,False,2021-22,938
operating_statement,20,Gross fixed capital formation,False,2022-23,945
operating_statement,20,Gross fixed capital formation,False,2023-24,1161
operating_statement,20,Gross fixed capital formation,False,2024-25,1238
operating_statement,21,less Depreciation,False,2015-16,-470
operating_statement,21,less Depreciation,False,2016-17,-496
operating_statement,21,less Depreciation,False,2017-18,-508
operating_statement,21,less Depreciation,False,2018-19,-518
operating_statement,21,less Depreciation,False,2019-20,-547
operating_statement,21,less Depreciation,False,2020-21,-571
operating_statement,21,less Depreciation,False,2021-22,-599
operating_statement,21,less Depreciation,False,2022-23,-631
operating_statement,21,less Depreciation,False,2023-24,-695
operating_statement,21,less Depreciation,False,2024-25,-749
operating_statement,22,plus Change in inventories,False,2015-16,-3
operating_statement,22,plus Change in inventories,False,2016-17,-3
operating_statement,22,plus Change in inventories,False,2017-18,-3
operating_statement,22,plus Change in inventories,False,2018-19,-4
operating_statement,22,plus Change in inventories,False,2019-20,-4
operating_statement,22,plus Change in inventories,False,2020-21,-3
operating_statement,22,plus Change in inventories,False,2021-22,-4
operating_statement,22,plus Change in inventories,False,2022-23,-6
operating_statement,22,plus Change in inventories,False,2023-24,-4
operating_statement,22,plus Change in inventories,False,2024-25,-5
operating_statement,23,plus Other transactions in non-financial assets,False,2015-16,3
operating_statement,23,plus Other transactions in non-financial assets,False,2016-17,-21
operating_statement,23,plus Other transactions in non-financial assets,False,2017-18,43
operating_statement,23,plus Other transactions in non-financial assets,False,2018-19,13
operating_statement,23,plus Other transactions in non-financial assets,False,2019-20,19
operating_statement,23,plus Other transactions in non-financial assets,False,2020-21,17
operating_statement,23,plus Other transactions in non-financial assets,False,2021-22,-24
operating_statement,23,plus Other transactions in non-financial assets,False,2022-23,9
operating_statement,23,plus Other transactions in non-financial assets,False,2023-24,11
operating_statement,23,plus Other transactions in non-financial assets,False,2024-25,3
operating_statement,24,Total net acquisition of non-financial assets,True,2015-16,180
operating_statement,24,Total net acquisition of non-financial assets,True,2016-17,191
operating_statement,24,Total net acquisition of non-financial assets,True,2017-18,333
operating_statement,24,Total net acquisition of non-financial assets,True,2018-19,398
operating_statement,24,Total net acquisition of non-financial assets,True,2019-20,343
operating_statement,24,Total net acquisition of non-financial assets,True,2020-21,309
operating_statement,24,Total net acquisition of non-financial assets,True,2021-22,311
operating_statement,24,Total net acquisition of non-financial assets,True,2022-23,317
operating_statement,24,Total net acquisition of non-financial assets,True,2023-24,473
operating_statement,24,Total net acquisition of non-financial assets,True,2024-25,487
operating_statement,25,GFS NET LENDING(+)/BORROWING(-),True,2015-16,7
operating_statement,25,GFS NET LENDING(+)/BORROWING(-),True,2016-17,143
operating_statement,25,GFS NET LENDING(+)/BORROWING(-),True,2017-18,-39
operating_statement,25,GFS NET LENDING(+)/BORROWING(-),True,2018-19,-101
operating_statement,25,GFS NET LENDING(+)/BORROWING(-),True,2019-20,-63
operating_statement,25,GFS NET LENDING(+)/BORROWING(-),True,2020-21,64
operating_statement,25,GFS NET LENDING(+)/BORROWING(-),True,2021-22,110
operating_statement,25,GFS NET LENDING(+)/BORROWING(-),True,2022-23,47
