STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,1320,132040,222200,228507,196601,229980,1010648,34.70%
VIC,1495,27089,43650,39526,32626,35701,180087,8.00%
QLD,1276,83216,90081,66984,42268,37027,320852,17.70%
SA,31540,66589,65400,61712,53490,61499,340230,51.10%
WA,673,15413,49565,54859,46375,53752,220637,21.80%
TAS,170,4036,14968,16716,15645,19236,70771,34.80%
NT,44,312,786,982,671,412,3207,3.20%
ACT,185,1252,2501,2521,1965,1898,10322,6.80%
TOTAL,36703,329947,489151,471807,389641,439505,2156754,23.60%
