STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1968685,46.05%,-0.04%
VIC,426208,9.97%,0.07%
QLD,617002,14.43%,-0.02%
SA,651892,15.25%,0.27%
WA,440290,10.30%,0.00%
TAS,139197,3.26%,-0.04%
NT,7116,0.17%,0.17%
ACT,24754,0.57%,-0.03%
TOTAL,4275144,100.00%,0.03%
