Reasons for refusing or restricting access by sector,No. of times reason used 2024-25,No. of times reason used 2023-24,No. of times reason used 2022-23,No. of times reason used 2021-22,No. of times reason used 2020-21,No. of times reason used 2019-20,No. of times reason used 2018-19,No. of times reason used 2017-18,No. of times reason used 2016-17,No. of times refusal reason used 2015-16,No. of times refusal reason used 2014-15,No. of times refusal reason used 2013-14,No. of times refusal reason used 2012-13
STATE - Section 15 - Application incomplete/wrongly directed,5,16,49,19,12,10,11,11,25,51,23,18,6
STATE - Section 18(1) - Unreasonable diversion of an agency’s resources,31,24,108,42,56,109,25,80,36,20,50,31,41
STATE - Section 18(2a) - Abuse of right of access,7,15,72,34,12,91,6,37,13,2,22,11,9
STATE - Section 18(3) - Fees not paid,34,65,140,63,26,14,34,59,54,24,53,46,36
STATE - Section 19(2) - Deemed refusal - over 30 days to respond,75,239,220,192,332,308,374,395,520,375,430,342,317
STATE - Section 20(1) - Exempt document,4319,2688,3205,3879,3529,3542,3214,3068,3151,2998,2923,3027,2810
STATE - Section 20(1)(b)(c)(d) – Documents otherwise available,187,93,128,66,77,59,46,57,117,73,79,54,97
LOCAL - Section 15 - Application incomplete/wrongly directed,3,0,2,2,1,4,1,2,2,0,2,1,1
LOCAL - Section 18(1) - Unreasonable diversion of an agency’s resources,1,2,7,8,4,2,2,3,10,7,8,6,2
LOCAL - Section 18(2a) - Abuse of right of access,2,7,6,2,4,1,9,8,5,4,6,2,1
LOCAL - Section 18(3) - Fees not paid,2,3,5,18,9,4,4,5,9,5,5,4,2
LOCAL - Section 19(2) - Deemed refusal - over 30 days to respond,1,3,0,2,3,0,1,2,2,2,4,0,0
LOCAL - Section 20(1) - Exempt document,102,206,92,158,173,151,118,166,122,140,120,98,104
LOCAL - Section 20(1)(b)(c)(d) – Documents otherwise available,27,25,37,16,48,26,24,49,34,34,21,20,39
UNIVERSITIES - Section 15 - Application incomplete/wrongly directed,8,0,0,0,0,0,0,0,0,0,0,0,0
UNIVERSITIES - Section 18(1) - Unreasonable diversion of an agency’s resources,0,1,1,0,0,1,0,0,1,0,0,0,0
UNIVERSITIES - Section 18(2a) - Abuse of right of access,0,0,0,0,8,1,0,0,1,0,0,0,0
UNIVERSITIES - Section 18(3) - Fees not paid,0,1,0,1,1,0,2,0,0,0,0,0,0
UNIVERSITIES - Section 19(2) - Deemed refusal - over 30 days to respond,1,0,0,0,0,0,0,0,0,0,0,0,0
UNIVERSITIES - Section 20(1) - Exempt document,33,23,13,25,21,26,8,8,7,4,5,6,3
UNIVERSITIES - Section 20(1)(b)(c)(d) – Documents otherwise available,0,1,0,0,0,0,0,1,0,1,0,0,0
