"Formal extension reasons, by sector",2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15, 2013-14,2012-13
STATE - Extension under s14(1)(a) - searching,343,395,432,601,690,306,282,332,283,113,140,141,219
STATE - Extension under s14(1)(b) - consultation,195,185,117,77,180,380,243,134,155,113,81,51,104
LOCAL - Extension under s14(1)(a) - searching,31,43,28,13,22,5,9,9,8,11,11,10,12
LOCAL - Extension under s14(1)(b) - consultation,43,69,36,14,18,14,19,11,10,18,10,16,9
UNIVERSITIES - Extension under s14(1)(a) - searching,15,30,3,1,3,10,6,2,2,0,0,2,0
UNIVERSITIES - Extension under s14(1)(b) - consultation,0,12,2,0,4,2,4,3,1,0,1,0,0
