Reasons an agency could not provide access,No. of times reason used 2024-25,No. of times reason used 2023-24,No. of times reason used 2022-23,No. of times reason used 2021-22,No. of times reason used 2020-21,No. of times reason used 2019-20,No. of times reason used 2018-19,No. of times reason used 2017-18,No. of times reason used 2016-17,No. of times reason used 2015-16,No. of times reason used 2014-15,No. of times reason used 2013-14,No. of times reason used 2012-13
STATE - Exempt agency,27,16,55,18,33,42,22,19,19,29,22,11,568
STATE - Document does not exist/lost,703,614,661,460,375,324,375,385,547,511,448,454,23
LOCAL - Exempt agency,1,1,1,0,0,2,0,2,1,3,2,3,47
LOCAL - Document does not exist/lost,21,50,32,33,26,35,46,25,78,29,62,20,4
UNIVERSITIES - Exempt agency,0,0,0,0,0,0,0,0,0,0,0,0,3
UNIVERSITIES - Document does not exist/lost,5,12,0,0,0,2,0,2,4,2,0,1,0
