South Australian Ombudsman Annual Report Data 2024-25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
The South Australian Ombudsman is an independent statutory officer that handles complaints about South Australian state and local government.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Table 1: Ombudsman Act jurisdiction - Matters received and completed in 2024-25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Received,Completed,,,,,,,,,,,,,,,,,,
Government Departments,"2,751","2,740",,,,,,,,,,,,,,,,,,
Local Government,"1,170","1,172",,,,,,,,,,,,,,,,,,
Other Authorities,825,830,,,,,,,,,,,,,,,,,,
Total,"4,746","4,742",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Table 2: Ombudsman Act jurisdiction - Breakdown of matters received and completed by year,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OMBUDSMAN ACT JURISDICTION,2021-22,,,,2022-23,,,,2023-24,,,,2024-25,,,,,,,
,Government Departments,Local Government,Other Authorities,Total,Government Departments,Local Government,Other Authorities,Total,Government Departments,Local Government,Other Authorities,Total,Government Departments,Local Government,Other Authorities,Total,,,,
Matters received,"3,450",921,691,"5,062","2,674",1023,704,"4,401","2,761","1,108",764,"4,634","2,751","1,170",825,"4,746",,,,
Matters completed,"3,406",893,649,"4,948","2,737","1,039",737,"4,513","2,685","1,076",764,"4,507","2,740","1,172",830,"4,742",,,,
Audits completed,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Table 3: Ombudsman Act jurisdiction - Breakdown of complaints received by prison in 2024-25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Prison,Total,,,,,,,,,,,,,,,,,,,
Adelaide Pre-Release Centre,5,,,,,,,,,,,,,,,,,,,
Adelaide Remand Centre,68,,,,,,,,,,,,,,,,,,,
Adelaide Women’s Prison,100,,,,,,,,,,,,,,,,,,,
Cadell Training Centre,13,,,,,,,,,,,,,,,,,,,
James Nash House,1,,,,,,,,,,,,,,,,,,,
Mobilong Prison,45,,,,,,,,,,,,,,,,,,,
Mount Gambier Prison,68,,,,,,,,,,,,,,,,,,,
Port Augusta Prison,49,,,,,,,,,,,,,,,,,,,
Port Lincoln Prison,9,,,,,,,,,,,,,,,,,,,
Yatala Labour Prison,280,,,,,,,,,,,,,,,,,,,
Total,638,,,,,,,,,,,,,,,,,,,
