Agency,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Office of the Minister - Hon Antonio Piccolo MP,,,,,,,,,,32,44,19,
Office of the Minister - Hon Chloë Fox MP,,,,,,,,,,,,20,14
Office of the Minister - Hon Corey Wingard MP ,,,,14,35,46,26,,,,,,
Office of the Minister - Hon Dan Cregan MP ,36,11,,,,,,,,,,,
Office of the Minister - Hon David Pisoni MP,,,,2,16,28,32,,,,,,
Office of the Minister - Hon David Ridgway MLC,,,,,,7,,,,,,,
Office of the Minister - Hon David Speirs MP,,,,2,13,16,24,,,,,,
Office of the Minister - Hon Gail Gago MLC,,,,,,,,,,28,23,21,21
Office of the Minister - Hon Geoff Brock MP,,,,,,,,12,9,7,4,,
Office of the Minister - Hon Grace Portolesi MP,,,,,,,,,,,,45,47
Office of the Minister - Hon Ian Hunter MLC,,,,,,,,22,23,29,27,28,9
Office of the Minister - Hon Jennifer Rankine MP,,,,,,,,,,21,36,50,31
Office of the Minister - Hon John Hill MP,,,,,,,,,,,,,23
Office of the Minister - Hon John Snelling MP,,,,,,,,25,10,16,23,25,74
Office of the Minister - Hon Kyam Maher MLC,,,,,,,,14,6,10,,,
Office of the Minister - Hon Leesa Vlahos MP,,,,,,,,15,1,,,,
Office of the Minister - Hon Leon Bignell MP,,,,,,,,25,28,50,28,3,
Office of the Minister - Hon Martin Hamilton-Smith MP,,,,,,,,1,9,11,0,,
Office of the Minister - Hon Michael O’Brien MP,,,,,,,,,,,,25,24
Office of the Minister - Hon Michelle Lensink MLC ,,,,8,18,27,162,,,,,,
Office of the Minister - Hon Patrick Conlon MP,,,,,,,,,,,,12,25
Office of the Minister - Hon Paul Caica MP,,,,,,,,,,,,,56
Office of the Minister - Hon Peter Malinauskas MLC,,,,,,,,,,,0,56,10
Office of the Minister - Hon Rachel Sanderson MP ,,,,,0,0,0,,,,,,
Office of the Minister - Hon Russell Wortley MLC,,,,,,,,,,,,19,21
Office of the Minister - Hon Stephan Knoll MP ,,,,,,,52,,,,,,
Office of the Minister - Hon Stephen Mullighan MP,,,,,,,,19,23,17,9,,
Office of the Minister - Hon Stephen Patterson MP,,,,4,7,,,,,,,,
Office of the Minister - Hon Stephen Wade MLC,,,,,17,38,37,,,,,,
Office of the Minister - Hon Susan Close MP,,,,,,,,29,10,34,15,,
Office of the Minister - Hon Tom Kenyon MP,,,,,,,,,,,,9,12
Office of the Minister - Hon Tom Koutsantonis MP,,,,,,,,0,21,60,28,,
Office of the Minister - Hon Zoe Bettison MP ,,,,,,,,14,10,29,19,,
Office of the Minister - van Holst Pellekaan MP,,,,,10,9,15,,,,,,
Office of the Minister for Child Protection,,,,,10,8,15,,,,,,
"Office of the Minister for Education, Training and Skills",33,36,39,1,7,7,22,,,,,,
Office of the Minister for Finance,,,,,0,0,0,,,,,,
Office of the Minister for Health and Wellbeing,52,58,71,,,,,,,,,,
Office of the Minister for Human Services,28,190,43,,,,,,,,,,
Office of the Minister for PIRD ,,,,11,15,22,10,,,,,,
