Agency,2024-25,2023-23,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Flinders University,32,21,11,15,10,15,9,9,7,2,3,6,1,5
University of Adelaide,17,44,10,17,24,29,8,10,14,10,8,12,8,13
University of South Australia,15,27,3,0,0,0,0,0,0,0,3,0,3,2
