Reason for refusal to amend records,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13
"Records are not incomplete, incorrect, out-of-date or misleading ",54,37,68,77,80,145,142,127,203,271
Application contains matter that is incorrect or misleading,4,2,0,2,0,0,1,0,0,0
Procedures for amending records are prescribed by or under the provisions of another legislative instrument,2,0,1,5,5,1,1,4,1,1
