_id,FOI staff,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13
1,State government FTE in FOI,97.9,103.5,101.7,126.4,142.7,148.2,126.6,132,118.8,98.8,102.9,100.1,91.7
2,Local government FTE in FOI,15.1,16.6,14.8,18.9,21.3,15.9,12.1,21.4,12,10.7,12.2,22.8,12.8
3,Universities FTE in FOI,2.5,2.1,1.1,3.3,4,6.5,2.4,3.7,1.7,1,1.8,0.5,0.3
