"Sector, application category",2024-25 - full release,2024-25 - partial release,2024-25 - release refused,2023-24 - full release,2023-24 - partial release,2023-24 - release refused,2022-23 - full release,2022-23 - partial release,2022-23 - release refused,2022-23 - transferred,2022-23 - withdrawn/closed,2021-22 - full release,2021-22 - partial release,2021-22 - release refused,2020-21 - full release,2020-21 - partial release,2020-21 - release refused,2019-20 - full release,2019-20 - partial release,2019-20 - release refused,2018-19 - full release,2018-19 - partial release,2018-19 - release refused,2017-18 - full release,2017-18 - partial release,2017-18 - release refused,2016-17 - full release,2016-17 - partial release,2016-17 - release refused,2015-16 - full release,2015-16 - partial release,2015-16 - release refused,2014-15 - full release,2014-15 - partial release,2014-15 - release refused,2013-14 - full release,2013-14 - partial release,2013-14 - release refused,2012-13 - full release,2012-13- Partial release,2012-13 - release refused
STATE - Personal,3997,5414,1182,3697,4605,773,3922,4054,814,107,892,3621,3268,958,3614,2904,734,3859,2689,726,4100,2515,747,3878,2443,719,4004,2250,781,3512,2093,770,3248,1872,500,2488,1877,507,3668,1745,697
STATE - Non-personal,410,805,458,346,945,550,451,729,682,154,283,314,382,409,555,572,547,608,882,594,571,686,539,830,444,746,1243,756,1010,1906,641,734,2558,795,1022,2278,932,864,2742,880,892
LOCAL - Personal,33,97,26,47,80,26,80,61,15,0,19,42,53,21,27,70,18,21,26,6,25,28,11,18,46,15,19,46,7,25,40,15,28,35,32,28,25,10,29,27,6
LOCAL - Non-personal,154,164,23,166,201,37,100,135,35,3,43,104,123,67,165,144,71,191,131,55,195,103,68,161,135,69,212,114,111,161,125,57,247,103,78,217,87,45,188,112,61
UNIVERSITIES - Personal,1,37,2,4,24,2,2,13,1,0,0,2,16,2,2,6,1,1,15,2,0,5,1,2,3,2,1,9,1,2,1,0,3,2,0,4,3,1,4,1,0
UNIVERSITIES - Non-personal,7,16,0,9,30,1,2,3,0,0,0,2,9,0,9,14,11,4,7,5,3,5,3,3,2,3,5,1,3,3,4,1,1,2,1,5,3,1,2,1,4
