"By sector, by category",overdue applications to be carried over - 2024-25,overdue applications to be carried over - 2023-24,overdue applications to be carried over - 2022-23,overdue applications to be carried over - 2021-22,overdue applications to be carried over - 2020-21,overdue applications to be carried over - 2019-20,overdue applications to be carried over - 2018-19,overdue applications to be carried over - 2017-18,overdue applications to be carried over - 2016-17,overdue applications to be carried over - 2015-16,overdue applications to be carried over - 2014-15,overdue applications to be carried over - 2013-14,overdue applications to be carried over - 2012-13
STATE - Personal,1022,758,609,2042,1807,1583,1537,1618,1111,1125,917,672,519
STATE - Non-personal,171,115,236,801,816,723,854,842,797,759,771,955,1559
LOCAL - Personal,0,1,0,75,60,31,40,27,20,18,16,13,15
LOCAL - Non-personal,1,2,1,190,191,114,111,107,74,60,54,32,31
UNIVERSITIES - Personal,2,0,0,1,1,1,1,1,1,1,2,3,1
UNIVERSITIES - Non-personal,0,0,0,6,6,6,6,8,6,7,6,3,4
