"Negotiated extension, by sector",2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13
STATE - negotiatied extension,68,72,134,173,183,186,164,100,45,126
LOCAL - negotiatied extension,10,14,7,5,1,4,14,15,7,9
UNIVERSITIES - negotiatied extension,0,0,1,0,1,1,0,0,0,0
