Internal review outcome,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13
Decision confirmed,226,227,179,142,138,133,141,105,173,128,182,165,191
Decision varied,78,190,157,75,85,193,102,36,61,57,56,107,58
Decision reversed,18,21,12,28,63,36,37,22,53,43,64,54,41
Withdrawn/closed,17,32,29,,,,,,,,,,
