Year,No. of access applications made by Members of Parliament
2001-02,48
2002-03,413
2003-04,461
2004-05,524
2005-06,203
2006-07,598
2007-08,975
2008-09,1292
2009-10,1816
2010-11,2301
2011-12,2554
2012-13,2867
2013-14,2149
2014-15,2459
2015-16,1782
2016-17,2402
2017-18,1101
2018-19,1600
2019-20,1242
2020-21,1160
2021-22,590
2022-23,2104
2023-24,1878
2024-25,1469
