year,jurisdiction,category,type,source_stream,management,fate,tonnes,headline_scope,core_waste,classification
2022–23,ACT,Building and demolition materials,Asphalt,C&D,Recycling,Recycling,6530.82,Yes,Yes,Type
2022–23,ACT,Building and demolition materials,"Bricks, concrete and pavers",C&D,Recycling,Recycling,216731.46000000002,Yes,Yes,Type
2022–23,ACT,Building and demolition materials,"Bricks, concrete and pavers",C&I,Recycling,Recycling,692.3,Yes,Yes,Type
2022–23,ACT,Building and demolition materials,"Ceramics, tiles and pottery",C&D,Recycling,Recycling,1527.78,Yes,Yes,Type
2022–23,ACT,Building and demolition materials,Plasterboard and cement sheeting,C&D,Recycling,Recycling,168.32,Yes,Yes,Type
2022–23,ACT,Building and demolition materials,Rubble,C&D,Recycling,Recycling,35916,Yes,Yes,Type
2022–23,ACT,Building and demolition materials,"Soil, sand and rock",C&D,Recycling,Recycling,131896.46000000002,Yes,Yes,Type
2022–23,ACT,Building and demolition materials,"Soil, sand and rock",C&I,Recycling,Recycling,93053.9,Yes,Yes,Type
2022–23,ACT,Building and demolition materials,,C&D,Landfill,Disposal,146726.88728872885,Yes,Yes,Category
2022–23,ACT,Building and demolition materials,,C&D,Recycling,Recycling,392770.8400000001,Yes,Yes,Category
2022–23,ACT,Building and demolition materials,,C&I,Landfill,Disposal,14795.322908503545,Yes,Yes,Category
2022–23,ACT,Building and demolition materials,,C&I,Recycling,Recycling,93746.2,Yes,Yes,Category
2022–23,ACT,Building and demolition materials,,MSW,Landfill,Disposal,8808.172514748527,Yes,Yes,Category
2022–23,ACT,Glass,Glass from food and beverage containers,MSW,Recycling,Recycling,2189,Yes,Yes,Type
2022–23,ACT,Glass,Other glass,C&I,Recycling,Recycling,773.7714000000001,Yes,Yes,Type
2022–23,ACT,Glass,Other glass,MSW,Recycling,Recycling,8575.7,Yes,Yes,Type
2022–23,ACT,Glass,,C&I,Recycling,Recycling,773.7714000000001,Yes,Yes,Category
2022–23,ACT,Glass,,MSW,Landfill,Disposal,9972.175270872915,Yes,Yes,Category
2022–23,ACT,Glass,,MSW,Recycling,Recycling,10764.7,Yes,Yes,Category
2022–23,ACT,Hazardous wastes,Acids (B),C&I,Landfill,Disposal,0.006900351270650072,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Acids (B),C&I,Other disposal,Disposal,0.000616957008932372,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Acids (B),C&I,Treatment,Disposal,0.10275293543842048,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Acids (B),C&I,Recycling,Recycling,0.004600353124366368,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Acids (B),C&I,Treatment,Recycling,0.1541294031576307,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Alkalis (C),C&I,Landfill,Disposal,0.030858984927856336,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Alkalis (C),C&I,Treatment,Disposal,0.031099272897470057,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Alkalis (C),C&I,Recycling,Recycling,0.13694246927720355,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Alkalis (C),C&I,Treatment,Recycling,0.031099272897470057,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Asbestos (N220),C&D,Landfill,Disposal,5194.799332721129,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Asbestos (N220),C&D,Other disposal,Disposal,0.05296601957647552,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Asbestos (N220),C&D,Treatment,Disposal,1.9067828733000571,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Asbestos (N220),C&D,Recycling,Recycling,0.2009183859941261,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Asbestos (N220),C&I,Landfill,Disposal,4425.199431577258,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Asbestos (N220),C&I,Other disposal,Disposal,0.04511920186144211,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Asbestos (N220),C&I,Treatment,Disposal,1.6242965217000485,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Asbestos (N220),C&I,Recycling,Recycling,0.17115269918018144,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Clinical and pharmaceutical (R),C&I,Landfill,Disposal,37.43788517779285,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Clinical and pharmaceutical (R),C&I,Other disposal,Disposal,147.6351557065931,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Clinical and pharmaceutical (R),C&I,Treatment,Disposal,88.24653988360878,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Clinical and pharmaceutical (R),C&I,Recycling,Recycling,0.21041923200524137,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Contaminated soils (N120),C&D,Landfill,Disposal,12.1063502278193,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Contaminated soils (N120),C&D,Treatment,Disposal,0.5515255263989992,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Contaminated soils (N120),C&D,Recycling,Recycling,1.3821021401857052,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Contaminated soils (N120),C&D,Treatment,Recycling,2.206102105595997,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Contaminated soils (N120),C&I,Landfill,Disposal,4.708025088596395,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Contaminated soils (N120),C&I,Treatment,Disposal,0.2144821491551664,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Contaminated soils (N120),C&I,Recycling,Recycling,0.5374841656277743,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Contaminated soils (N120),C&I,Treatment,Recycling,0.8579285966206656,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,"Food-derived haz. wastes (K100, K110)",C&I,Landfill,Disposal,42.603007735191845,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,"Food-derived haz. wastes (K100, K110)",C&I,Other disposal,Disposal,0.02428547584541598,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,"Food-derived haz. wastes (K100, K110)",C&I,Treatment,Disposal,730.9089456855526,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,"Food-derived haz. wastes (K100, K110)",C&I,Recycling,Recycling,3304.950815417859,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,"Food-derived haz. wastes (K100, K110)",C&I,Treatment,Recycling,730.9089456855526,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Inorganic chemicals (D),C&I,Landfill,Disposal,4.192099548149966,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Inorganic chemicals (D),C&I,Other disposal,Disposal,0.0002165567399969731,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Inorganic chemicals (D),C&I,Treatment,Disposal,2.764385887859534,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Inorganic chemicals (D),C&I,Recycling,Recycling,26.070725016514686,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Inorganic chemicals (D),C&I,Treatment,Recycling,24.879472990735806,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Oils (J),C&I,Landfill,Disposal,18.331512057419555,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Oils (J),C&I,Other disposal,Disposal,0.7654378937907289,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Oils (J),C&I,Treatment,Energy recovery,148.58516500970748,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Oils (J),C&I,Recycling,Recycling,629.5142250002525,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Oils (J),C&I,Treatment,Recycling,594.3406600388299,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Organic chemicals (M),C&I,Landfill,Disposal,14.118500628806085,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Organic chemicals (M),C&I,Other disposal,Disposal,0.5440696352138777,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Organic chemicals (M),C&I,Treatment,Disposal,19.912090370215097,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Organic chemicals (M),C&I,Treatment,Energy recovery,1.1062272427897275,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Organic chemicals (M),C&I,Recycling,Recycling,1.5868848801854931,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Organic chemicals (M),C&I,Treatment,Recycling,1.1062272427897275,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Organic solvents (G),C&I,Landfill,Disposal,0.02541748983920407,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Organic solvents (G),C&I,Other disposal,Disposal,0.8401648588764474,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Organic solvents (G),C&I,Treatment,Disposal,11.574520405279046,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Organic solvents (G),C&I,Treatment,Energy recovery,1.286057822808783,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Organic solvents (G),C&I,Recycling,Recycling,9.52783942319652,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Other miscellaneous (other T),C&I,Landfill,Disposal,6.92337173024206,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Other miscellaneous (other T),C&I,Other disposal,Disposal,0.4177956669554498,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Other miscellaneous (other T),C&I,Treatment,Disposal,133.04782852661285,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Other miscellaneous (other T),C&I,Recycling,Recycling,6.995004076189658,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Other soil/sludges (other N),C&I,Landfill,Disposal,53.22203623978528,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Other soil/sludges (other N),C&I,Other disposal,Disposal,0.07344214371899761,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Other soil/sludges (other N),C&I,Treatment,Disposal,32.08848201203741,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Other soil/sludges (other N),C&I,Recycling,Recycling,26.17183302787085,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Other soil/sludges (other N),C&I,Treatment,Recycling,13.752206576587461,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",C&I,Landfill,Disposal,210.57931027305779,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",C&I,Other disposal,Disposal,0.07308617285396153,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",C&I,Treatment,Disposal,10.629119671838273,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",C&I,Treatment,Energy recovery,3.543039890612758,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",C&I,Recycling,Recycling,13.12490410102449,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,"Paints, resins, inks, organic sludges (F)",C&I,Treatment,Recycling,3.543039890612758,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Pesticides (H),C&I,Landfill,Disposal,0.07263086393901495,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Pesticides (H),C&I,Other disposal,Disposal,2.2527894463485897e-07,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Pesticides (H),C&I,Treatment,Disposal,0.01723787812763204,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Pesticides (H),C&I,Recycling,Recycling,0.011131032654408382,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Plating and heat treatment (A),C&I,Landfill,Disposal,0.12893193198425443,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Plating and heat treatment (A),C&I,Treatment,Disposal,0.2598017983729728,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Plating and heat treatment (A),C&I,Recycling,Recycling,0.0002662696427727657,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Reactive chemicals (E),C&I,Landfill,Disposal,0.09193451973949579,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Reactive chemicals (E),C&I,Treatment,Disposal,1.4007728164768767,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Reactive chemicals (E),C&I,Recycling,Recycling,0.09129266378362766,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Tyres (T140),C&I,Landfill,Disposal,105.48132655371212,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Tyres (T140),C&I,Other disposal,Disposal,23.563957349784786,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Tyres (T140),C&I,Energy from waste facility,Energy recovery,6002.772752690096,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,Tyres (T140),C&I,Recycling,Recycling,350.5117780572135,Yes,Yes,Type
2022–23,ACT,Hazardous wastes,,C&D,Landfill,Disposal,5206.905682948948,Yes,Yes,Category
2022–23,ACT,Hazardous wastes,,C&D,Other disposal,Disposal,0.05296601957647552,Yes,Yes,Category
2022–23,ACT,Hazardous wastes,,C&D,Treatment,Disposal,2.4583083996990562,Yes,Yes,Category
2022–23,ACT,Hazardous wastes,,C&D,Recycling,Recycling,1.5830205261798314,Yes,Yes,Category
2022–23,ACT,Hazardous wastes,,C&D,Treatment,Recycling,2.206102105595997,Yes,Yes,Category
2022–23,ACT,Hazardous wastes,,C&I,Landfill,Disposal,4923.153180751713,Yes,Yes,Category
2022–23,ACT,Hazardous wastes,,C&I,Other disposal,Disposal,173.9833478445221,Yes,Yes,Category
2022–23,ACT,Hazardous wastes,,C&I,Treatment,Disposal,1032.8223558151722,Yes,Yes,Category
2022–23,ACT,Hazardous wastes,,C&I,Energy from waste facility,Energy recovery,6002.772752690096,Yes,Yes,Category
2022–23,ACT,Hazardous wastes,,C&I,Treatment,Energy recovery,154.52048996591873,Yes,Yes,Category
2022–23,ACT,Hazardous wastes,,C&I,Recycling,Recycling,4369.617297885602,Yes,Yes,Category
2022–23,ACT,Hazardous wastes,,C&I,Treatment,Recycling,1369.5737096977841,Yes,Yes,Category
