sex,year,age_group,unit,value
Persons,2015,45–54 years,Number,1336
Persons,2015,55–64 years,Number,553
Persons,2015,65 years and over,Number,268
Persons,2015,Total,Number,21948
Females,2016,0–9 years,Number,1823
Females,2016,10–17 years,Number,7439
Females,2016,18–24 years,Number,3288
Females,2016,25–34 years,Number,2710
Females,2016,35–44 years,Number,1753
Females,2016,45–54 years,Number,1163
Females,2016,55–64 years,Number,364
Females,2016,65 years and over,Number,234
Females,2016,Total,Number,18855
Males,2016,0–9 years,Number,1044
Males,2016,10–17 years,Number,1329
Males,2016,18–24 years,Number,377
Males,2016,25–34 years,Number,369
Males,2016,35–44 years,Number,369
Males,2016,45–54 years,Number,357
Males,2016,55–64 years,Number,173
Males,2016,65 years and over,Number,73
Males,2016,Total,Number,4106
Persons,2016,0–9 years,Number,2878
Persons,2016,10–17 years,Number,8768
Persons,2016,18–24 years,Number,3668
Persons,2016,25–34 years,Number,3084
Persons,2016,35–44 years,Number,2124
Persons,2016,45–54 years,Number,1518
Persons,2016,55–64 years,Number,538
Persons,2016,65 years and over,Number,304
Persons,2016,Total,Number,23040
Females,2017,0–9 years,Number,1926
Females,2017,10–17 years,Number,8468
Females,2017,18–24 years,Number,3728
Females,2017,25–34 years,Number,3124
Females,2017,35–44 years,Number,1907
Females,2017,45–54 years,Number,1224
Females,2017,55–64 years,Number,494
Females,2017,65 years and over,Number,249
Females,2017,Total,Number,21225
Males,2017,0–9 years,Number,965
Males,2017,10–17 years,Number,1427
Males,2017,18–24 years,Number,426
Males,2017,25–34 years,Number,394
Males,2017,35–44 years,Number,418
Males,2017,45–54 years,Number,464
Males,2017,55–64 years,Number,290
Males,2017,65 years and over,Number,107
Males,2017,Total,Number,4522
Persons,2017,0–9 years,Number,2900
Persons,2017,10–17 years,Number,9906
Persons,2017,18–24 years,Number,4154
Persons,2017,25–34 years,Number,3520
Persons,2017,35–44 years,Number,2323
Persons,2017,45–54 years,Number,1695
Persons,2017,55–64 years,Number,783
Persons,2017,65 years and over,Number,353
Persons,2017,Total,Number,25837
Females,2018,0–9 years,Number,1829
Females,2018,10–17 years,Number,8876
Females,2018,18–24 years,Number,4066
Females,2018,25–34 years,Number,3211
Females,2018,35–44 years,Number,1943
Females,2018,45–54 years,Number,1263
Females,2018,55–64 years,Number,522
Females,2018,65 years and over,Number,293
Females,2018,Total,Number,22113
Males,2018,0–9 years,Number,886
Males,2018,10–17 years,Number,1367
Males,2018,18–24 years,Number,416
Males,2018,25–34 years,Number,399
Males,2018,35–44 years,Number,329
Males,2018,45–54 years,Number,404
Males,2018,55–64 years,Number,204
Males,2018,65 years and over,Number,82
Males,2018,Total,Number,4105
Persons,2018,0–9 years,Number,2732
Persons,2018,10–17 years,Number,10268
Persons,2018,18–24 years,Number,4508
Persons,2018,25–34 years,Number,3610
Persons,2018,35–44 years,Number,2282
Persons,2018,45–54 years,Number,1666
Persons,2018,55–64 years,Number,729
Persons,2018,65 years and over,Number,377
Persons,2018,Total,Number,26325
Females,2019,0–9 years,Number,1794
Females,2019,10–17 years,Number,8764
Females,2019,18–24 years,Number,4110
Females,2019,25–34 years,Number,3477
Females,2019,35–44 years,Number,1892
Females,2019,45–54 years,Number,1240
Females,2019,55–64 years,Number,547
Females,2019,65 years and over,Number,336
Females,2019,Total,Number,22308
Males,2019,0–9 years,Number,952
Males,2019,10–17 years,Number,1580
Males,2019,18–24 years,Number,405
Males,2019,25–34 years,Number,410
Males,2019,35–44 years,Number,367
Males,2019,45–54 years,Number,360
Males,2019,55–64 years,Number,206
Males,2019,65 years and over,Number,62
Males,2019,Total,Number,4378
Persons,2019,0–9 years,Number,2760
Persons,2019,10–17 years,Number,10368
Persons,2019,18–24 years,Number,4523
Persons,2019,25–34 years,Number,3886
Persons,2019,35–44 years,Number,2266
Persons,2019,45–54 years,Number,1605
Persons,2019,55–64 years,Number,751
Persons,2019,65 years and over,Number,402
Persons,2019,Total,Number,26860
Females,2020,0–9 years,Number,1750
Females,2020,10–17 years,Number,9747
Females,2020,18–24 years,Number,4203
Females,2020,25–34 years,Number,3360
Females,2020,35–44 years,Number,1991
Females,2020,45–54 years,Number,1259
Females,2020,55–64 years,Number,473
Females,2020,65 years and over,Number,318
Females,2020,Total,Number,23183
Males,2020,0–9 years,Number,891
Males,2020,10–17 years,Number,1503
Males,2020,18–24 years,Number,412
Males,2020,25–34 years,Number,481
Males,2020,35–44 years,Number,398
Males,2020,45–54 years,Number,314
Males,2020,55–64 years,Number,184
Males,2020,65 years and over,Number,70
Males,2020,Total,Number,4265
Persons,2020,0–9 years,Number,2653
Persons,2020,10–17 years,Number,11277
Persons,2020,18–24 years,Number,4621
Persons,2020,25–34 years,Number,3847
Persons,2020,35–44 years,Number,2390
Persons,2020,45–54 years,Number,1578
Persons,2020,55–64 years,Number,660
Persons,2020,65 years and over,Number,388
Persons,2020,Total,Number,27538
Females,2021,0–9 years,Number,1555
Females,2021,10–17 years,Number,11310
Females,2021,18–24 years,Number,4881
Females,2021,25–34 years,Number,3908
Females,2021,35–44 years,Number,2422
Females,2021,45–54 years,Number,1481
Females,2021,55–64 years,Number,649
Females,2021,65 years and over,Number,358
Females,2021,Total,Number,26641
Males,2021,0–9 years,Number,760
Males,2021,10–17 years,Number,1558
Males,2021,18–24 years,Number,447
Males,2021,25–34 years,Number,518
Males,2021,35–44 years,Number,437
Males,2021,45–54 years,Number,339
Males,2021,55–64 years,Number,182
Males,2021,65 years and over,Number,82
Males,2021,Total,Number,4341
Persons,2021,0–9 years,Number,2334
Persons,2021,10–17 years,Number,12897
Persons,2021,18–24 years,Number,5344
Persons,2021,25–34 years,Number,4433
Persons,2021,35–44 years,Number,2857
Persons,2021,45–54 years,Number,1827
Persons,2021,55–64 years,Number,829
Persons,2021,65 years and over,Number,446
Persons,2021,Total,Number,31074
Females,2022,0–9 years,Number,1464
Females,2022,10–17 years,Number,11030
Females,2022,18–24 years,Number,5150
Females,2022,25–34 years,Number,4368
Females,2022,35–44 years,Number,2701
Females,2022,45–54 years,Number,1643
Females,2022,55–64 years,Number,676
Females,2022,65 years and over,Number,393
Females,2022,Total,Number,27508
Males,2022,0–9 years,Number,731
Males,2022,10–17 years,Number,1723
Males,2022,18–24 years,Number,477
Males,2022,25–34 years,Number,712
Males,2022,35–44 years,Number,649
Males,2022,45–54 years,Number,458
Males,2022,55–64 years,Number,276
Males,2022,65 years and over,Number,116
Males,2022,Total,Number,5154
Persons,2022,0–9 years,Number,2206
Persons,2022,10–17 years,Number,12803
Persons,2022,18–24 years,Number,5628
Persons,2022,25–34 years,Number,5079
Persons,2022,35–44 years,Number,3350
Persons,2022,45–54 years,Number,2105
Persons,2022,55–64 years,Number,952
Persons,2022,65 years and over,Number,509
Persons,2022,Total,Number,32771
Females,2023,0–9 years,Number,1620
Females,2023,10–17 years,Number,11645
Females,2023,18–24 years,Number,5282
Females,2023,25–34 years,Number,5131
Females,2023,35–44 years,Number,3412
Females,2023,45–54 years,Number,2001
Females,2023,55–64 years,Number,791
Females,2023,65 years and over,Number,530
Females,2023,Total,Number,30496
Males,2023,0–9 years,Number,866
Males,2023,10–17 years,Number,1959
Males,2023,18–24 years,Number,539
Males,2023,25–34 years,Number,764
Males,2023,35–44 years,Number,674
Males,2023,45–54 years,Number,488
Males,2023,55–64 years,Number,268
Males,2023,65 years and over,Number,111
Males,2023,Total,Number,5697
Persons,2023,0–9 years,Number,2506
Persons,2023,10–17 years,Number,13684
Persons,2023,18–24 years,Number,5833
Persons,2023,25–34 years,Number,5902
Persons,2023,35–44 years,Number,4092
Persons,2023,45–54 years,Number,2493
Persons,2023,55–64 years,Number,1069
Persons,2023,65 years and over,Number,641
Persons,2023,Total,Number,36352
Females,2024,0–9 years,Number,1701
Females,2024,10–17 years,Number,11489
Females,2024,18–24 years,Number,5506
Females,2024,25–34 years,Number,5897
Females,2024,35–44 years,Number,3933
Females,2024,45–54 years,Number,2322
Females,2024,55–64 years,Number,911
Females,2024,65 years and over,Number,539
Females,2024,Total,Number,32372
Males,2024,0–9 years,Number,955
Males,2024,10–17 years,Number,2203
Males,2024,18–24 years,Number,645
Males,2024,25–34 years,Number,1177
Males,2024,35–44 years,Number,967
Males,2024,45–54 years,Number,592
Males,2024,55–64 years,Number,292
Males,2024,65 years and over,Number,137
Males,2024,Total,Number,6978
Persons,2024,0–9 years,Number,2693
Persons,2024,10–17 years,Number,13870
Persons,2024,18–24 years,Number,6229
Persons,2024,25–34 years,Number,7221
Persons,2024,35–44 years,Number,5018
Persons,2024,45–54 years,Number,2998
Persons,2024,55–64 years,Number,1241
Persons,2024,65 years and over,Number,697
Persons,2024,Total,Number,40087
Females,2010,0–9 years,"Victimisation rate (number per 100,000)",125.6
Females,2010,10–17 years,"Victimisation rate (number per 100,000)",645.3
Females,2010,18–24 years,"Victimisation rate (number per 100,000)",273.6
Females,2010,25–34 years,"Victimisation rate (number per 100,000)",125.6
Females,2010,35–44 years,"Victimisation rate (number per 100,000)",75.2
Females,2010,45–54 years,"Victimisation rate (number per 100,000)",40.4
Females,2010,55–64 years,"Victimisation rate (number per 100,000)",17.7
Females,2010,65 years and over,"Victimisation rate (number per 100,000)",9.9
Females,2010,Total,"Victimisation rate (number per 100,000)",143.8
Males,2010,0–9 years,"Victimisation rate (number per 100,000)",58.4
Males,2010,10–17 years,"Victimisation rate (number per 100,000)",99.5
Males,2010,18–24 years,"Victimisation rate (number per 100,000)",24.2
Males,2010,25–34 years,"Victimisation rate (number per 100,000)",13.0
Males,2010,35–44 years,"Victimisation rate (number per 100,000)",14.6
