sex,year,age_group,unit,value
Males,2017,Total,"Victimisation rate (number per 100,000)",37.1
Persons,2017,0–9 years,"Victimisation rate (number per 100,000)",91.7
Persons,2017,10–17 years,"Victimisation rate (number per 100,000)",423.3
Persons,2017,18–24 years,"Victimisation rate (number per 100,000)",178.5
Persons,2017,25–34 years,"Victimisation rate (number per 100,000)",95.7
Persons,2017,35–44 years,"Victimisation rate (number per 100,000)",71.1
Persons,2017,45–54 years,"Victimisation rate (number per 100,000)",53.2
Persons,2017,55–64 years,"Victimisation rate (number per 100,000)",27.6
Persons,2017,65 years and over,"Victimisation rate (number per 100,000)",9.3
Persons,2017,Total,"Victimisation rate (number per 100,000)",105.1
Females,2018,0–9 years,"Victimisation rate (number per 100,000)",118.8
Females,2018,10–17 years,"Victimisation rate (number per 100,000)",767.1
Females,2018,18–24 years,"Victimisation rate (number per 100,000)",354.3
Females,2018,25–34 years,"Victimisation rate (number per 100,000)",171.7
Females,2018,35–44 years,"Victimisation rate (number per 100,000)",116.4
Females,2018,45–54 years,"Victimisation rate (number per 100,000)",77.5
Females,2018,55–64 years,"Victimisation rate (number per 100,000)",35.3
Females,2018,65 years and over,"Victimisation rate (number per 100,000)",14.1
Females,2018,Total,"Victimisation rate (number per 100,000)",175.9
Males,2018,0–9 years,"Victimisation rate (number per 100,000)",54.4
Males,2018,10–17 years,"Victimisation rate (number per 100,000)",111.6
Males,2018,18–24 years,"Victimisation rate (number per 100,000)",34.5
Males,2018,25–34 years,"Victimisation rate (number per 100,000)",21.5
Males,2018,35–44 years,"Victimisation rate (number per 100,000)",19.9
Males,2018,45–54 years,"Victimisation rate (number per 100,000)",25.6
Males,2018,55–64 years,"Victimisation rate (number per 100,000)",14.4
Males,2018,65 years and over,"Victimisation rate (number per 100,000)",4.5
Males,2018,Total,"Victimisation rate (number per 100,000)",33.1
Persons,2018,0–9 years,"Victimisation rate (number per 100,000)",86.2
Persons,2018,10–17 years,"Victimisation rate (number per 100,000)",431.0
Persons,2018,18–24 years,"Victimisation rate (number per 100,000)",191.5
Persons,2018,25–34 years,"Victimisation rate (number per 100,000)",96.8
Persons,2018,35–44 years,"Victimisation rate (number per 100,000)",68.7
Persons,2018,45–54 years,"Victimisation rate (number per 100,000)",51.9
Persons,2018,55–64 years,"Victimisation rate (number per 100,000)",25.2
Persons,2018,65 years and over,"Victimisation rate (number per 100,000)",9.6
Persons,2018,Total,"Victimisation rate (number per 100,000)",105.5
Females,2019,0–9 years,"Victimisation rate (number per 100,000)",116.4
Females,2019,10–17 years,"Victimisation rate (number per 100,000)",743.6
Females,2019,18–24 years,"Victimisation rate (number per 100,000)",357.6
Females,2019,25–34 years,"Victimisation rate (number per 100,000)",183.6
Females,2019,35–44 years,"Victimisation rate (number per 100,000)",111.0
Females,2019,45–54 years,"Victimisation rate (number per 100,000)",75.8
Females,2019,55–64 years,"Victimisation rate (number per 100,000)",36.3
Females,2019,65 years and over,"Victimisation rate (number per 100,000)",15.7
Females,2019,Total,"Victimisation rate (number per 100,000)",174.9
Males,2019,0–9 years,"Victimisation rate (number per 100,000)",58.4
Males,2019,10–17 years,"Victimisation rate (number per 100,000)",126.5
Males,2019,18–24 years,"Victimisation rate (number per 100,000)",33.2
Males,2019,25–34 years,"Victimisation rate (number per 100,000)",21.8
Males,2019,35–44 years,"Victimisation rate (number per 100,000)",21.8
Males,2019,45–54 years,"Victimisation rate (number per 100,000)",22.7
Males,2019,55–64 years,"Victimisation rate (number per 100,000)",14.3
Males,2019,65 years and over,"Victimisation rate (number per 100,000)",3.3
Males,2019,Total,"Victimisation rate (number per 100,000)",34.8
Persons,2019,0–9 years,"Victimisation rate (number per 100,000)",87.1
Persons,2019,10–17 years,"Victimisation rate (number per 100,000)",427.1
Persons,2019,18–24 years,"Victimisation rate (number per 100,000)",191.0
Persons,2019,25–34 years,"Victimisation rate (number per 100,000)",102.9
Persons,2019,35–44 years,"Victimisation rate (number per 100,000)",67.0
Persons,2019,45–54 years,"Victimisation rate (number per 100,000)",49.8
Persons,2019,55–64 years,"Victimisation rate (number per 100,000)",25.5
Persons,2019,65 years and over,"Victimisation rate (number per 100,000)",10.0
Persons,2019,Total,"Victimisation rate (number per 100,000)",106.0
Females,2020,0–9 years,"Victimisation rate (number per 100,000)",114.2
Females,2020,10–17 years,"Victimisation rate (number per 100,000)",809.6
Females,2020,18–24 years,"Victimisation rate (number per 100,000)",374.9
Females,2020,25–34 years,"Victimisation rate (number per 100,000)",176.9
Females,2020,35–44 years,"Victimisation rate (number per 100,000)",114.1
Females,2020,45–54 years,"Victimisation rate (number per 100,000)",76.4
Females,2020,55–64 years,"Victimisation rate (number per 100,000)",30.7
Females,2020,65 years and over,"Victimisation rate (number per 100,000)",14.3
Females,2020,Total,"Victimisation rate (number per 100,000)",179.5
Males,2020,0–9 years,"Victimisation rate (number per 100,000)",54.9
Males,2020,10–17 years,"Victimisation rate (number per 100,000)",117.7
Males,2020,18–24 years,"Victimisation rate (number per 100,000)",34.6
Males,2020,25–34 years,"Victimisation rate (number per 100,000)",25.4
Males,2020,35–44 years,"Victimisation rate (number per 100,000)",23.2
Males,2020,45–54 years,"Victimisation rate (number per 100,000)",19.6
Males,2020,55–64 years,"Victimisation rate (number per 100,000)",12.6
Males,2020,65 years and over,"Victimisation rate (number per 100,000)",3.6
Males,2020,Total,"Victimisation rate (number per 100,000)",33.5
Persons,2020,0–9 years,"Victimisation rate (number per 100,000)",84.1
Persons,2020,10–17 years,"Victimisation rate (number per 100,000)",454.6
Persons,2020,18–24 years,"Victimisation rate (number per 100,000)",199.9
Persons,2020,25–34 years,"Victimisation rate (number per 100,000)",101.4
Persons,2020,35–44 years,"Victimisation rate (number per 100,000)",69.1
Persons,2020,45–54 years,"Victimisation rate (number per 100,000)",48.5
Persons,2020,55–64 years,"Victimisation rate (number per 100,000)",22.0
Persons,2020,65 years and over,"Victimisation rate (number per 100,000)",9.3
Persons,2020,Total,"Victimisation rate (number per 100,000)",107.4
Females,2021,0–9 years,"Victimisation rate (number per 100,000)",102.5
Females,2021,10–17 years,"Victimisation rate (number per 100,000)",925.1
Females,2021,18–24 years,"Victimisation rate (number per 100,000)",456.8
Females,2021,25–34 years,"Victimisation rate (number per 100,000)",210.0
Females,2021,35–44 years,"Victimisation rate (number per 100,000)",136.3
Females,2021,45–54 years,"Victimisation rate (number per 100,000)",89.8
Females,2021,55–64 years,"Victimisation rate (number per 100,000)",42.1
Females,2021,65 years and over,"Victimisation rate (number per 100,000)",15.6
Females,2021,Total,"Victimisation rate (number per 100,000)",206.0
Males,2021,0–9 years,"Victimisation rate (number per 100,000)",47.3
Males,2021,10–17 years,"Victimisation rate (number per 100,000)",120.0
Males,2021,18–24 years,"Victimisation rate (number per 100,000)",39.4
Males,2021,25–34 years,"Victimisation rate (number per 100,000)",27.9
Males,2021,35–44 years,"Victimisation rate (number per 100,000)",25.1
Males,2021,45–54 years,"Victimisation rate (number per 100,000)",21.0
Males,2021,55–64 years,"Victimisation rate (number per 100,000)",12.4
Males,2021,65 years and over,"Victimisation rate (number per 100,000)",4.1
Males,2021,Total,"Victimisation rate (number per 100,000)",34.1
Persons,2021,0–9 years,"Victimisation rate (number per 100,000)",74.7
Persons,2021,10–17 years,"Victimisation rate (number per 100,000)",511.7
Persons,2021,18–24 years,"Victimisation rate (number per 100,000)",242.4
Persons,2021,25–34 years,"Victimisation rate (number per 100,000)",119.2
Persons,2021,35–44 years,"Victimisation rate (number per 100,000)",81.1
Persons,2021,45–54 years,"Victimisation rate (number per 100,000)",56.0
Persons,2021,55–64 years,"Victimisation rate (number per 100,000)",27.5
Persons,2021,65 years and over,"Victimisation rate (number per 100,000)",10.3
Persons,2021,Total,"Victimisation rate (number per 100,000)",121.0
Females,2022,0–9 years,"Victimisation rate (number per 100,000)",96.5
Females,2022,10–17 years,"Victimisation rate (number per 100,000)",883.6
Females,2022,18–24 years,"Victimisation rate (number per 100,000)",476.2
Females,2022,25–34 years,"Victimisation rate (number per 100,000)",233.9
Females,2022,35–44 years,"Victimisation rate (number per 100,000)",148.7
Females,2022,45–54 years,"Victimisation rate (number per 100,000)",99.1
Females,2022,55–64 years,"Victimisation rate (number per 100,000)",43.8
Females,2022,65 years and over,"Victimisation rate (number per 100,000)",16.7
Females,2022,Total,"Victimisation rate (number per 100,000)",210.1
Males,2022,0–9 years,"Victimisation rate (number per 100,000)",45.5
Males,2022,10–17 years,"Victimisation rate (number per 100,000)",130.2
Males,2022,18–24 years,"Victimisation rate (number per 100,000)",41.4
Males,2022,25–34 years,"Victimisation rate (number per 100,000)",38.1
Males,2022,35–44 years,"Victimisation rate (number per 100,000)",36.4
Males,2022,45–54 years,"Victimisation rate (number per 100,000)",28.3
Males,2022,55–64 years,"Victimisation rate (number per 100,000)",18.7
Males,2022,65 years and over,"Victimisation rate (number per 100,000)",5.6
Males,2022,Total,"Victimisation rate (number per 100,000)",40.0
Persons,2022,0–9 years,"Victimisation rate (number per 100,000)",70.6
Persons,2022,10–17 years,"Victimisation rate (number per 100,000)",497.9
Persons,2022,18–24 years,"Victimisation rate (number per 100,000)",251.8
Persons,2022,25–34 years,"Victimisation rate (number per 100,000)",136.0
Persons,2022,35–44 years,"Victimisation rate (number per 100,000)",93.1
Persons,2022,45–54 years,"Victimisation rate (number per 100,000)",64.3
Persons,2022,55–64 years,"Victimisation rate (number per 100,000)",31.5
Persons,2022,65 years and over,"Victimisation rate (number per 100,000)",11.5
Persons,2022,Total,"Victimisation rate (number per 100,000)",126.1
Females,2023,0–9 years,"Victimisation rate (number per 100,000)",106.6
Females,2023,10–17 years,"Victimisation rate (number per 100,000)",912.4
Females,2023,18–24 years,"Victimisation rate (number per 100,000)",462.7
Females,2023,25–34 years,"Victimisation rate (number per 100,000)",263.1
Females,2023,35–44 years,"Victimisation rate (number per 100,000)",181.9
Females,2023,45–54 years,"Victimisation rate (number per 100,000)",119.8
Females,2023,55–64 years,"Victimisation rate (number per 100,000)",50.9
Females,2023,65 years and over,"Victimisation rate (number per 100,000)",21.8
Females,2023,Total,"Victimisation rate (number per 100,000)",227.3
Males,2023,0–9 years,"Victimisation rate (number per 100,000)",53.9
Males,2023,10–17 years,"Victimisation rate (number per 100,000)",144.9
Males,2023,18–24 years,"Victimisation rate (number per 100,000)",44.0
Males,2023,25–34 years,"Victimisation rate (number per 100,000)",39.0
Males,2023,35–44 years,"Victimisation rate (number per 100,000)",36.6
Males,2023,45–54 years,"Victimisation rate (number per 100,000)",30.0
Males,2023,55–64 years,"Victimisation rate (number per 100,000)",18.0
Males,2023,65 years and over,"Victimisation rate (number per 100,000)",5.2
Males,2023,Total,"Victimisation rate (number per 100,000)",43.1
Persons,2023,0–9 years,"Victimisation rate (number per 100,000)",80.2
Persons,2023,10–17 years,"Victimisation rate (number per 100,000)",520.7
Persons,2023,18–24 years,"Victimisation rate (number per 100,000)",246.3
Persons,2023,25–34 years,"Victimisation rate (number per 100,000)",151.0
Persons,2023,35–44 years,"Victimisation rate (number per 100,000)",110.0
Persons,2023,45–54 years,"Victimisation rate (number per 100,000)",75.7
Persons,2023,55–64 years,"Victimisation rate (number per 100,000)",35.2
Persons,2023,65 years and over,"Victimisation rate (number per 100,000)",14.1
Persons,2023,Total,"Victimisation rate (number per 100,000)",136.4
Females,2024,0–9 years,"Victimisation rate (number per 100,000)",112.2
Females,2024,10–17 years,"Victimisation rate (number per 100,000)",884.7
Females,2024,18–24 years,"Victimisation rate (number per 100,000)",466.8
Females,2024,25–34 years,"Victimisation rate (number per 100,000)",293.9
Females,2024,35–44 years,"Victimisation rate (number per 100,000)",203.6
Females,2024,45–54 years,"Victimisation rate (number per 100,000)",138.0
Females,2024,55–64 years,"Victimisation rate (number per 100,000)",58.1
Females,2024,65 years and over,"Victimisation rate (number per 100,000)",21.5
Females,2024,Total,"Victimisation rate (number per 100,000)",236.5
Males,2024,0–9 years,"Victimisation rate (number per 100,000)",59.6
Males,2024,10–17 years,"Victimisation rate (number per 100,000)",160.3
Males,2024,18–24 years,"Victimisation rate (number per 100,000)",50.8
Males,2024,25–34 years,"Victimisation rate (number per 100,000)",58.1
Males,2024,35–44 years,"Victimisation rate (number per 100,000)",50.8
Males,2024,45–54 years,"Victimisation rate (number per 100,000)",36.2
Males,2024,55–64 years,"Victimisation rate (number per 100,000)",19.5
Males,2024,65 years and over,"Victimisation rate (number per 100,000)",6.2
Males,2024,Total,"Victimisation rate (number per 100,000)",51.7
Persons,2024,0–9 years,"Victimisation rate (number per 100,000)",86.3
Persons,2024,10–17 years,"Victimisation rate (number per 100,000)",518.9
Persons,2024,18–24 years,"Victimisation rate (number per 100,000)",254.2
Persons,2024,25–34 years,"Victimisation rate (number per 100,000)",179.1
Persons,2024,35–44 years,"Victimisation rate (number per 100,000)",130.8
Persons,2024,45–54 years,"Victimisation rate (number per 100,000)",90.4
Persons,2024,55–64 years,"Victimisation rate (number per 100,000)",40.5
Persons,2024,65 years and over,"Victimisation rate (number per 100,000)",14.8
Persons,2024,Total,"Victimisation rate (number per 100,000)",147.4
