sex,year,characteristic,subcategory,location,unit,value
Males,2020,Age at incident (victim),0–9 years at incident,New South Wales,Number,462
Males,2020,Age at incident (victim),10–17 years at incident,New South Wales,Number,223
Males,2020,Age at incident (victim),18–24 years at incident,New South Wales,Number,17
Males,2020,Age at incident (victim),25–34 years at incident,New South Wales,Number,25
Males,2020,Age at incident (victim),35–44 years at incident,New South Wales,Number,14
Males,2020,Age at incident (victim),45–54 years at incident,New South Wales,Number,3
Males,2020,Age at incident (victim),55–64 years at incident,New South Wales,Number,3
Males,2020,Age at incident (victim),65 years and over at incident,New South Wales,Number,4
Males,2020,Time to report,Less than 1 year to report,New South Wales,Number,451
Males,2020,Time to report,1 to less than 2 years to report,New South Wales,Number,53
Males,2020,Time to report,2 to less than 5 years to report,New South Wales,Number,66
Males,2020,Time to report,5 to less than 10 years to report,New South Wales,Number,56
Males,2020,Time to report,10 to less than 20 years to report,New South Wales,Number,33
Males,2020,Time to report,20 years and over to report,New South Wales,Number,83
Males,2020,Relationship of offender to victim,Intimate partner,New South Wales,Number,62
Males,2020,Relationship of offender to victim,Current partner,New South Wales,Number,50
Males,2020,Relationship of offender to victim,Ex-partner,New South Wales,Number,8
Males,2020,Relationship of offender to victim,Parent,New South Wales,Number,261
Females,2020,Age at incident (victim),0–9 years at incident,New South Wales,Number,1173
Females,2020,Age at incident (victim),10–17 years at incident,New South Wales,Number,1457
Females,2020,Age at incident (victim),18–24 years at incident,New South Wales,Number,301
Females,2020,Age at incident (victim),25–34 years at incident,New South Wales,Number,284
Females,2020,Age at incident (victim),35–44 years at incident,New South Wales,Number,197
Females,2020,Age at incident (victim),45–54 years at incident,New South Wales,Number,80
Females,2020,Age at incident (victim),55–64 years at incident,New South Wales,Number,24
Females,2020,Age at incident (victim),65 years and over at incident,New South Wales,Number,13
Females,2020,Time to report,Less than 1 year to report,New South Wales,Number,2013
Females,2020,Time to report,1 to less than 2 years to report,New South Wales,Number,310
Females,2020,Time to report,2 to less than 5 years to report,New South Wales,Number,343
Females,2020,Time to report,5 to less than 10 years to report,New South Wales,Number,319
Females,2020,Time to report,10 to less than 20 years to report,New South Wales,Number,245
Females,2020,Time to report,20 years and over to report,New South Wales,Number,292
Females,2020,Relationship of offender to victim,Intimate partner,New South Wales,Number,1118
Females,2020,Relationship of offender to victim,Current partner,New South Wales,Number,821
Females,2020,Relationship of offender to victim,Ex-partner,New South Wales,Number,294
Females,2020,Relationship of offender to victim,Parent,New South Wales,Number,878
Persons,2020,Age at incident (victim),0–9 years at incident,New South Wales,Number,1641
Persons,2020,Age at incident (victim),10–17 years at incident,New South Wales,Number,1677
Persons,2020,Age at incident (victim),18–24 years at incident,New South Wales,Number,317
Persons,2020,Age at incident (victim),25–34 years at incident,New South Wales,Number,310
Persons,2020,Age at incident (victim),35–44 years at incident,New South Wales,Number,215
Persons,2020,Age at incident (victim),45–54 years at incident,New South Wales,Number,88
Persons,2020,Age at incident (victim),55–64 years at incident,New South Wales,Number,23
Persons,2020,Age at incident (victim),65 years and over at incident,New South Wales,Number,14
Persons,2020,Time to report,Less than 1 year to report,New South Wales,Number,2474
Persons,2020,Time to report,1 to less than 2 years to report,New South Wales,Number,370
Persons,2020,Time to report,2 to less than 5 years to report,New South Wales,Number,414
Persons,2020,Time to report,5 to less than 10 years to report,New South Wales,Number,379
Persons,2020,Time to report,10 to less than 20 years to report,New South Wales,Number,276
Persons,2020,Time to report,20 years and over to report,New South Wales,Number,381
Persons,2020,Relationship of offender to victim,Intimate partner,New South Wales,Number,1175
Persons,2020,Relationship of offender to victim,Current partner,New South Wales,Number,875
Persons,2020,Relationship of offender to victim,Ex-partner,New South Wales,Number,305
Persons,2020,Relationship of offender to victim,Parent,New South Wales,Number,1139
Males,2020,Age at incident (victim),0–9 years at incident,Victoria,Number,118
Males,2020,Age at incident (victim),10–17 years at incident,Victoria,Number,66
Males,2020,Age at incident (victim),18–24 years at incident,Victoria,Number,10
Males,2020,Age at incident (victim),25–34 years at incident,Victoria,Number,20
Males,2020,Age at incident (victim),35–44 years at incident,Victoria,Number,4
Males,2020,Age at incident (victim),45–54 years at incident,Victoria,Number,4
Males,2020,Age at incident (victim),55–64 years at incident,Victoria,Number,0
Males,2020,Age at incident (victim),65 years and over at incident,Victoria,Number,0
Males,2020,Time to report,Less than 1 year to report,Victoria,Number,72
Males,2020,Time to report,1 to less than 2 years to report,Victoria,Number,11
Males,2020,Time to report,2 to less than 5 years to report,Victoria,Number,33
Males,2020,Time to report,5 to less than 10 years to report,Victoria,Number,30
Males,2020,Time to report,10 to less than 20 years to report,Victoria,Number,21
Males,2020,Time to report,20 years and over to report,Victoria,Number,56
Males,2020,Relationship of offender to victim,Intimate partner,Victoria,Number,32
Males,2020,Relationship of offender to victim,Current partner,Victoria,Number,17
Males,2020,Relationship of offender to victim,Ex-partner,Victoria,Number,19
Males,2020,Relationship of offender to victim,Parent,Victoria,Number,13
Females,2020,Age at incident (victim),0–9 years at incident,Victoria,Number,447
Females,2020,Age at incident (victim),10–17 years at incident,Victoria,Number,639
Females,2020,Age at incident (victim),18–24 years at incident,Victoria,Number,299
Females,2020,Age at incident (victim),25–34 years at incident,Victoria,Number,356
Females,2020,Age at incident (victim),35–44 years at incident,Victoria,Number,211
Females,2020,Age at incident (victim),45–54 years at incident,Victoria,Number,129
Females,2020,Age at incident (victim),55–64 years at incident,Victoria,Number,24
Females,2020,Age at incident (victim),65 years and over at incident,Victoria,Number,11
Females,2020,Time to report,Less than 1 year to report,Victoria,Number,1089
Females,2020,Time to report,1 to less than 2 years to report,Victoria,Number,231
Females,2020,Time to report,2 to less than 5 years to report,Victoria,Number,267
Females,2020,Time to report,5 to less than 10 years to report,Victoria,Number,194
Females,2020,Time to report,10 to less than 20 years to report,Victoria,Number,163
Females,2020,Time to report,20 years and over to report,Victoria,Number,197
Females,2020,Relationship of offender to victim,Intimate partner,Victoria,Number,1048
Females,2020,Relationship of offender to victim,Current partner,Victoria,Number,566
Females,2020,Relationship of offender to victim,Ex-partner,Victoria,Number,477
Females,2020,Relationship of offender to victim,Parent,Victoria,Number,108
Persons,2020,Age at incident (victim),0–9 years at incident,Victoria,Number,570
Persons,2020,Age at incident (victim),10–17 years at incident,Victoria,Number,710
Persons,2020,Age at incident (victim),18–24 years at incident,Victoria,Number,312
Persons,2020,Age at incident (victim),25–34 years at incident,Victoria,Number,368
Persons,2020,Age at incident (victim),35–44 years at incident,Victoria,Number,217
Persons,2020,Age at incident (victim),45–54 years at incident,Victoria,Number,133
Persons,2020,Age at incident (victim),55–64 years at incident,Victoria,Number,20
Persons,2020,Age at incident (victim),65 years and over at incident,Victoria,Number,11
Persons,2020,Time to report,Less than 1 year to report,Victoria,Number,1160
Persons,2020,Time to report,1 to less than 2 years to report,Victoria,Number,240
Persons,2020,Time to report,2 to less than 5 years to report,Victoria,Number,298
Persons,2020,Time to report,5 to less than 10 years to report,Victoria,Number,225
Persons,2020,Time to report,10 to less than 20 years to report,Victoria,Number,187
Persons,2020,Time to report,20 years and over to report,Victoria,Number,257
Persons,2020,Relationship of offender to victim,Intimate partner,Victoria,Number,1080
Persons,2020,Relationship of offender to victim,Current partner,Victoria,Number,584
Persons,2020,Relationship of offender to victim,Ex-partner,Victoria,Number,493
Persons,2020,Relationship of offender to victim,Parent,Victoria,Number,122
Males,2020,Age at incident (victim),0–9 years at incident,Queensland,Number,160
Males,2020,Age at incident (victim),10–17 years at incident,Queensland,Number,60
Males,2020,Age at incident (victim),18–24 years at incident,Queensland,Number,4
Males,2020,Age at incident (victim),25–34 years at incident,Queensland,Number,3
Males,2020,Age at incident (victim),35–44 years at incident,Queensland,Number,7
Males,2020,Age at incident (victim),45–54 years at incident,Queensland,Number,3
Males,2020,Age at incident (victim),55–64 years at incident,Queensland,Number,0
Males,2020,Age at incident (victim),65 years and over at incident,Queensland,Number,0
Males,2020,Time to report,Less than 1 year to report,Queensland,Number,114
Males,2020,Time to report,1 to less than 2 years to report,Queensland,Number,22
Males,2020,Time to report,2 to less than 5 years to report,Queensland,Number,31
Males,2020,Time to report,5 to less than 10 years to report,Queensland,Number,18
Males,2020,Time to report,10 to less than 20 years to report,Queensland,Number,17
Males,2020,Time to report,20 years and over to report,Queensland,Number,23
Males,2020,Relationship of offender to victim,Intimate partner,Queensland,Number,15
Males,2020,Relationship of offender to victim,Current partner,Queensland,Number,17
Males,2020,Relationship of offender to victim,Ex-partner,Queensland,Number,0
Males,2020,Relationship of offender to victim,Parent,Queensland,Number,79
Females,2020,Age at incident (victim),0–9 years at incident,Queensland,Number,579
Females,2020,Age at incident (victim),10–17 years at incident,Queensland,Number,576
Females,2020,Age at incident (victim),18–24 years at incident,Queensland,Number,120
Females,2020,Age at incident (victim),25–34 years at incident,Queensland,Number,153
Females,2020,Age at incident (victim),35–44 years at incident,Queensland,Number,91
Females,2020,Age at incident (victim),45–54 years at incident,Queensland,Number,36
Females,2020,Age at incident (victim),55–64 years at incident,Queensland,Number,6
Females,2020,Age at incident (victim),65 years and over at incident,Queensland,Number,0
Females,2020,Time to report,Less than 1 year to report,Queensland,Number,793
Females,2020,Time to report,1 to less than 2 years to report,Queensland,Number,122
Females,2020,Time to report,2 to less than 5 years to report,Queensland,Number,220
Females,2020,Time to report,5 to less than 10 years to report,Queensland,Number,193
Females,2020,Time to report,10 to less than 20 years to report,Queensland,Number,135
Females,2020,Time to report,20 years and over to report,Queensland,Number,101
Females,2020,Relationship of offender to victim,Intimate partner,Queensland,Number,471
Females,2020,Relationship of offender to victim,Current partner,Queensland,Number,382
Females,2020,Relationship of offender to victim,Ex-partner,Queensland,Number,90
Females,2020,Relationship of offender to victim,Parent,Queensland,Number,464
Persons,2020,Age at incident (victim),0–9 years at incident,Queensland,Number,737
Persons,2020,Age at incident (victim),10–17 years at incident,Queensland,Number,636
Persons,2020,Age at incident (victim),18–24 years at incident,Queensland,Number,121
Persons,2020,Age at incident (victim),25–34 years at incident,Queensland,Number,158
Persons,2020,Age at incident (victim),35–44 years at incident,Queensland,Number,91
Persons,2020,Age at incident (victim),45–54 years at incident,Queensland,Number,36
Persons,2020,Age at incident (victim),55–64 years at incident,Queensland,Number,6
Persons,2020,Age at incident (victim),65 years and over at incident,Queensland,Number,0
Persons,2020,Time to report,Less than 1 year to report,Queensland,Number,910
Persons,2020,Time to report,1 to less than 2 years to report,Queensland,Number,149
Persons,2020,Time to report,2 to less than 5 years to report,Queensland,Number,251
Persons,2020,Time to report,5 to less than 10 years to report,Queensland,Number,214
Persons,2020,Time to report,10 to less than 20 years to report,Queensland,Number,147
Persons,2020,Time to report,20 years and over to report,Queensland,Number,124
Persons,2020,Relationship of offender to victim,Intimate partner,Queensland,Number,489
Persons,2020,Relationship of offender to victim,Current partner,Queensland,Number,398
Persons,2020,Relationship of offender to victim,Ex-partner,Queensland,Number,89
Persons,2020,Relationship of offender to victim,Parent,Queensland,Number,546
Males,2020,Age at incident (victim),0–9 years at incident,Western Australia,Number,57
Males,2020,Age at incident (victim),10–17 years at incident,Western Australia,Number,24
Males,2020,Age at incident (victim),18–24 years at incident,Western Australia,Number,7
Males,2020,Age at incident (victim),25–34 years at incident,Western Australia,Number,0
Males,2020,Age at incident (victim),35–44 years at incident,Western Australia,Number,7
Males,2020,Age at incident (victim),45–54 years at incident,Western Australia,Number,3
Males,2020,Age at incident (victim),55–64 years at incident,Western Australia,Number,0
Males,2020,Age at incident (victim),65 years and over at incident,Western Australia,Number,0
Males,2020,Time to report,Less than 1 year to report,Western Australia,Number,74
Males,2020,Time to report,1 to less than 2 years to report,Western Australia,Number,0
Males,2020,Time to report,2 to less than 5 years to report,Western Australia,Number,3
Males,2020,Time to report,5 to less than 10 years to report,Western Australia,Number,7
Males,2020,Time to report,10 to less than 20 years to report,Western Australia,Number,8
Males,2020,Time to report,20 years and over to report,Western Australia,Number,8
Males,2020,Relationship of offender to victim,Intimate partner,Western Australia,Number,n.a.
Males,2020,Relationship of offender to victim,Current partner,Western Australia,Number,n.a.
Males,2020,Relationship of offender to victim,Ex-partner,Western Australia,Number,n.a.
Males,2020,Relationship of offender to victim,Parent,Western Australia,Number,n.a.
Females,2020,Age at incident (victim),0–9 years at incident,Western Australia,Number,178
Females,2020,Age at incident (victim),10–17 years at incident,Western Australia,Number,222
Females,2020,Age at incident (victim),18–24 years at incident,Western Australia,Number,86
Females,2020,Age at incident (victim),25–34 years at incident,Western Australia,Number,92
Females,2020,Age at incident (victim),35–44 years at incident,Western Australia,Number,79
Females,2020,Age at incident (victim),45–54 years at incident,Western Australia,Number,41
Females,2020,Age at incident (victim),55–64 years at incident,Western Australia,Number,9
Females,2020,Age at incident (victim),65 years and over at incident,Western Australia,Number,0
Females,2020,Time to report,Less than 1 year to report,Western Australia,Number,509
Females,2020,Time to report,1 to less than 2 years to report,Western Australia,Number,33
Females,2020,Time to report,2 to less than 5 years to report,Western Australia,Number,47
Females,2020,Time to report,5 to less than 10 years to report,Western Australia,Number,51
Females,2020,Time to report,10 to less than 20 years to report,Western Australia,Number,40
Females,2020,Time to report,20 years and over to report,Western Australia,Number,25
Females,2020,Relationship of offender to victim,Intimate partner,Western Australia,Number,n.a.
Females,2020,Relationship of offender to victim,Current partner,Western Australia,Number,n.a.
Females,2020,Relationship of offender to victim,Ex-partner,Western Australia,Number,n.a.
Females,2020,Relationship of offender to victim,Parent,Western Australia,Number,n.a.
Persons,2020,Age at incident (victim),0–9 years at incident,Western Australia,Number,237
Persons,2020,Age at incident (victim),10–17 years at incident,Western Australia,Number,252
Persons,2020,Age at incident (victim),18–24 years at incident,Western Australia,Number,96
Persons,2020,Age at incident (victim),25–34 years at incident,Western Australia,Number,92
Persons,2020,Age at incident (victim),35–44 years at incident,Western Australia,Number,85
Persons,2020,Age at incident (victim),45–54 years at incident,Western Australia,Number,43
Persons,2020,Age at incident (victim),55–64 years at incident,Western Australia,Number,11
Persons,2020,Age at incident (victim),65 years and over at incident,Western Australia,Number,0
Persons,2020,Time to report,Less than 1 year to report,Western Australia,Number,597
Persons,2020,Time to report,1 to less than 2 years to report,Western Australia,Number,37
Persons,2020,Time to report,2 to less than 5 years to report,Western Australia,Number,49
Persons,2020,Time to report,5 to less than 10 years to report,Western Australia,Number,60
Persons,2020,Time to report,10 to less than 20 years to report,Western Australia,Number,45
Persons,2020,Time to report,20 years and over to report,Western Australia,Number,38
Persons,2020,Relationship of offender to victim,Intimate partner,Western Australia,Number,n.a.
Persons,2020,Relationship of offender to victim,Current partner,Western Australia,Number,n.a.
Persons,2020,Relationship of offender to victim,Ex-partner,Western Australia,Number,n.a.
Persons,2020,Relationship of offender to victim,Parent,Western Australia,Number,n.a.
Males,2020,Age at incident (victim),0–9 years at incident,South Australia,Number,29
Males,2020,Age at incident (victim),10–17 years at incident,South Australia,Number,15
Males,2020,Age at incident (victim),18–24 years at incident,South Australia,Number,3
Males,2020,Age at incident (victim),25–34 years at incident,South Australia,Number,7
Males,2020,Age at incident (victim),35–44 years at incident,South Australia,Number,5
Males,2020,Age at incident (victim),45–54 years at incident,South Australia,Number,5
Males,2020,Age at incident (victim),55–64 years at incident,South Australia,Number,0
Males,2020,Age at incident (victim),65 years and over at incident,South Australia,Number,0
Males,2020,Time to report,Less than 1 year to report,South Australia,Number,41
Males,2020,Time to report,1 to less than 2 years to report,South Australia,Number,0
Males,2020,Time to report,2 to less than 5 years to report,South Australia,Number,0
Males,2020,Time to report,5 to less than 10 years to report,South Australia,Number,4
Males,2020,Time to report,10 to less than 20 years to report,South Australia,Number,3
Males,2020,Time to report,20 years and over to report,South Australia,Number,16
Males,2020,Relationship of offender to victim,Intimate partner,South Australia,Number,12
Males,2020,Relationship of offender to victim,Current partner,South Australia,Number,5
Males,2020,Relationship of offender to victim,Ex-partner,South Australia,Number,4
Males,2020,Relationship of offender to victim,Parent,South Australia,Number,12
Females,2020,Age at incident (victim),0–9 years at incident,South Australia,Number,105
Females,2020,Age at incident (victim),10–17 years at incident,South Australia,Number,170
Females,2020,Age at incident (victim),18–24 years at incident,South Australia,Number,78
Females,2020,Age at incident (victim),25–34 years at incident,South Australia,Number,84
Females,2020,Age at incident (victim),35–44 years at incident,South Australia,Number,56
Females,2020,Age at incident (victim),45–54 years at incident,South Australia,Number,22
Females,2020,Age at incident (victim),55–64 years at incident,South Australia,Number,7
Females,2020,Age at incident (victim),65 years and over at incident,South Australia,Number,6
Females,2020,Time to report,Less than 1 year to report,South Australia,Number,326
Females,2020,Time to report,1 to less than 2 years to report,South Australia,Number,29
Females,2020,Time to report,2 to less than 5 years to report,South Australia,Number,43
Females,2020,Time to report,5 to less than 10 years to report,South Australia,Number,50
Females,2020,Time to report,10 to less than 20 years to report,South Australia,Number,41
Females,2020,Time to report,20 years and over to report,South Australia,Number,43
Females,2020,Relationship of offender to victim,Intimate partner,South Australia,Number,277
Females,2020,Relationship of offender to victim,Current partner,South Australia,Number,112
Females,2020,Relationship of offender to victim,Ex-partner,South Australia,Number,169
Females,2020,Relationship of offender to victim,Parent,South Australia,Number,79
Persons,2020,Age at incident (victim),0–9 years at incident,South Australia,Number,132
Persons,2020,Age at incident (victim),10–17 years at incident,South Australia,Number,177
Persons,2020,Age at incident (victim),18–24 years at incident,South Australia,Number,82
Persons,2020,Age at incident (victim),25–34 years at incident,South Australia,Number,91
Persons,2020,Age at incident (victim),35–44 years at incident,South Australia,Number,62
Persons,2020,Age at incident (victim),45–54 years at incident,South Australia,Number,25
Persons,2020,Age at incident (victim),55–64 years at incident,South Australia,Number,8
Persons,2020,Age at incident (victim),65 years and over at incident,South Australia,Number,3
Persons,2020,Time to report,Less than 1 year to report,South Australia,Number,364
Persons,2020,Time to report,1 to less than 2 years to report,South Australia,Number,27
Persons,2020,Time to report,2 to less than 5 years to report,South Australia,Number,52
Persons,2020,Time to report,5 to less than 10 years to report,South Australia,Number,50
Persons,2020,Time to report,10 to less than 20 years to report,South Australia,Number,43
Persons,2020,Time to report,20 years and over to report,South Australia,Number,56
Persons,2020,Relationship of offender to victim,Intimate partner,South Australia,Number,289
Persons,2020,Relationship of offender to victim,Current partner,South Australia,Number,120
Persons,2020,Relationship of offender to victim,Ex-partner,South Australia,Number,176
Persons,2020,Relationship of offender to victim,Parent,South Australia,Number,89
Males,2020,Age at incident (victim),0–9 years at incident,Tasmania,Number,11
Males,2020,Age at incident (victim),10–17 years at incident,Tasmania,Number,4
Males,2020,Age at incident (victim),18–24 years at incident,Tasmania,Number,0
Males,2020,Age at incident (victim),25–34 years at incident,Tasmania,Number,0
Males,2020,Age at incident (victim),35–44 years at incident,Tasmania,Number,0
Males,2020,Age at incident (victim),45–54 years at incident,Tasmania,Number,0
Males,2020,Age at incident (victim),55–64 years at incident,Tasmania,Number,0
Males,2020,Age at incident (victim),65 years and over at incident,Tasmania,Number,0
Males,2020,Time to report,Less than 1 year to report,Tasmania,Number,7
Males,2020,Time to report,1 to less than 2 years to report,Tasmania,Number,0
Males,2020,Time to report,2 to less than 5 years to report,Tasmania,Number,3
Males,2020,Time to report,5 to less than 10 years to report,Tasmania,Number,0
Males,2020,Time to report,10 to less than 20 years to report,Tasmania,Number,0
Males,2020,Time to report,20 years and over to report,Tasmania,Number,0
Males,2020,Relationship of offender to victim,Intimate partner,Tasmania,Number,3
Males,2020,Relationship of offender to victim,Current partner,Tasmania,Number,0
Males,2020,Relationship of offender to victim,Ex-partner,Tasmania,Number,3
Males,2020,Relationship of offender to victim,Parent,Tasmania,Number,9
Females,2020,Age at incident (victim),0–9 years at incident,Tasmania,Number,30
Females,2020,Age at incident (victim),10–17 years at incident,Tasmania,Number,37
Females,2020,Age at incident (victim),18–24 years at incident,Tasmania,Number,17
Females,2020,Age at incident (victim),25–34 years at incident,Tasmania,Number,13
Females,2020,Age at incident (victim),35–44 years at incident,Tasmania,Number,5
Females,2020,Age at incident (victim),45–54 years at incident,Tasmania,Number,3
Females,2020,Age at incident (victim),55–64 years at incident,Tasmania,Number,0
Females,2020,Age at incident (victim),65 years and over at incident,Tasmania,Number,0
Females,2020,Time to report,Less than 1 year to report,Tasmania,Number,52
Females,2020,Time to report,1 to less than 2 years to report,Tasmania,Number,8
Females,2020,Time to report,2 to less than 5 years to report,Tasmania,Number,22
Females,2020,Time to report,5 to less than 10 years to report,Tasmania,Number,14
Females,2020,Time to report,10 to less than 20 years to report,Tasmania,Number,6
Females,2020,Time to report,20 years and over to report,Tasmania,Number,7
Females,2020,Relationship of offender to victim,Intimate partner,Tasmania,Number,53
Females,2020,Relationship of offender to victim,Current partner,Tasmania,Number,11
Females,2020,Relationship of offender to victim,Ex-partner,Tasmania,Number,38
Females,2020,Relationship of offender to victim,Parent,Tasmania,Number,26
Persons,2020,Age at incident (victim),0–9 years at incident,Tasmania,Number,35
Persons,2020,Age at incident (victim),10–17 years at incident,Tasmania,Number,35
Persons,2020,Age at incident (victim),18–24 years at incident,Tasmania,Number,18
Persons,2020,Age at incident (victim),25–34 years at incident,Tasmania,Number,13
Persons,2020,Age at incident (victim),35–44 years at incident,Tasmania,Number,3
Persons,2020,Age at incident (victim),45–54 years at incident,Tasmania,Number,3
Persons,2020,Age at incident (victim),55–64 years at incident,Tasmania,Number,0
Persons,2020,Age at incident (victim),65 years and over at incident,Tasmania,Number,0
Persons,2020,Time to report,Less than 1 year to report,Tasmania,Number,55
Persons,2020,Time to report,1 to less than 2 years to report,Tasmania,Number,8
Persons,2020,Time to report,2 to less than 5 years to report,Tasmania,Number,25
Persons,2020,Time to report,5 to less than 10 years to report,Tasmania,Number,13
Persons,2020,Time to report,10 to less than 20 years to report,Tasmania,Number,13
Persons,2020,Time to report,20 years and over to report,Tasmania,Number,11
Persons,2020,Relationship of offender to victim,Intimate partner,Tasmania,Number,51
Persons,2020,Relationship of offender to victim,Current partner,Tasmania,Number,11
Persons,2020,Relationship of offender to victim,Ex-partner,Tasmania,Number,37
Persons,2020,Relationship of offender to victim,Parent,Tasmania,Number,34
Males,2020,Age at incident (victim),0–9 years at incident,Australian Capital Territory,Number,4
Males,2020,Age at incident (victim),10–17 years at incident,Australian Capital Territory,Number,0
Males,2020,Age at incident (victim),18–24 years at incident,Australian Capital Territory,Number,0
Males,2020,Age at incident (victim),25–34 years at incident,Australian Capital Territory,Number,0
Males,2020,Age at incident (victim),35–44 years at incident,Australian Capital Territory,Number,0
Males,2020,Age at incident (victim),45–54 years at incident,Australian Capital Territory,Number,0
Males,2020,Age at incident (victim),55–64 years at incident,Australian Capital Territory,Number,0
Males,2020,Age at incident (victim),65 years and over at incident,Australian Capital Territory,Number,0
Males,2020,Time to report,Less than 1 year to report,Australian Capital Territory,Number,6
Males,2020,Time to report,1 to less than 2 years to report,Australian Capital Territory,Number,0
Males,2020,Time to report,2 to less than 5 years to report,Australian Capital Territory,Number,0
Males,2020,Time to report,5 to less than 10 years to report,Australian Capital Territory,Number,0
Males,2020,Time to report,10 to less than 20 years to report,Australian Capital Territory,Number,0
Males,2020,Time to report,20 years and over to report,Australian Capital Territory,Number,0
Males,2020,Relationship of offender to victim,Intimate partner,Australian Capital Territory,Number,0
Males,2020,Relationship of offender to victim,Current partner,Australian Capital Territory,Number,0
Males,2020,Relationship of offender to victim,Ex-partner,Australian Capital Territory,Number,0
Males,2020,Relationship of offender to victim,Parent,Australian Capital Territory,Number,6
Females,2020,Age at incident (victim),0–9 years at incident,Australian Capital Territory,Number,14
Females,2020,Age at incident (victim),10–17 years at incident,Australian Capital Territory,Number,23
Females,2020,Age at incident (victim),18–24 years at incident,Australian Capital Territory,Number,8
Females,2020,Age at incident (victim),25–34 years at incident,Australian Capital Territory,Number,12
Females,2020,Age at incident (victim),35–44 years at incident,Australian Capital Territory,Number,7
Females,2020,Age at incident (victim),45–54 years at incident,Australian Capital Territory,Number,3
Females,2020,Age at incident (victim),55–64 years at incident,Australian Capital Territory,Number,0
Females,2020,Age at incident (victim),65 years and over at incident,Australian Capital Territory,Number,0
Females,2020,Time to report,Less than 1 year to report,Australian Capital Territory,Number,54
Females,2020,Time to report,1 to less than 2 years to report,Australian Capital Territory,Number,0
Females,2020,Time to report,2 to less than 5 years to report,Australian Capital Territory,Number,5
Females,2020,Time to report,5 to less than 10 years to report,Australian Capital Territory,Number,5
Females,2020,Time to report,10 to less than 20 years to report,Australian Capital Territory,Number,3
Females,2020,Time to report,20 years and over to report,Australian Capital Territory,Number,0
Females,2020,Relationship of offender to victim,Intimate partner,Australian Capital Territory,Number,37
Females,2020,Relationship of offender to victim,Current partner,Australian Capital Territory,Number,7
Females,2020,Relationship of offender to victim,Ex-partner,Australian Capital Territory,Number,24
Females,2020,Relationship of offender to victim,Parent,Australian Capital Territory,Number,10
Persons,2020,Age at incident (victim),0–9 years at incident,Australian Capital Territory,Number,18
Persons,2020,Age at incident (victim),10–17 years at incident,Australian Capital Territory,Number,31
Persons,2020,Age at incident (victim),18–24 years at incident,Australian Capital Territory,Number,8
Persons,2020,Age at incident (victim),25–34 years at incident,Australian Capital Territory,Number,12
Persons,2020,Age at incident (victim),35–44 years at incident,Australian Capital Territory,Number,7
Persons,2020,Age at incident (victim),45–54 years at incident,Australian Capital Territory,Number,4
Persons,2020,Age at incident (victim),55–64 years at incident,Australian Capital Territory,Number,0
Persons,2020,Age at incident (victim),65 years and over at incident,Australian Capital Territory,Number,0
Persons,2020,Time to report,Less than 1 year to report,Australian Capital Territory,Number,60
Persons,2020,Time to report,1 to less than 2 years to report,Australian Capital Territory,Number,0
Persons,2020,Time to report,2 to less than 5 years to report,Australian Capital Territory,Number,5
Persons,2020,Time to report,5 to less than 10 years to report,Australian Capital Territory,Number,5
Persons,2020,Time to report,10 to less than 20 years to report,Australian Capital Territory,Number,3
Persons,2020,Time to report,20 years and over to report,Australian Capital Territory,Number,3
Persons,2020,Relationship of offender to victim,Intimate partner,Australian Capital Territory,Number,37
Persons,2020,Relationship of offender to victim,Current partner,Australian Capital Territory,Number,7
Persons,2020,Relationship of offender to victim,Ex-partner,Australian Capital Territory,Number,24
Persons,2020,Relationship of offender to victim,Parent,Australian Capital Territory,Number,16
Males,2020,Age at incident (victim),0–9 years at incident,Northern Territory,Number,3
Males,2020,Age at incident (victim),10–17 years at incident,Northern Territory,Number,3
Males,2020,Age at incident (victim),18–24 years at incident,Northern Territory,Number,3
Males,2020,Age at incident (victim),25–34 years at incident,Northern Territory,Number,0
Males,2020,Age at incident (victim),35–44 years at incident,Northern Territory,Number,0
Males,2020,Age at incident (victim),45–54 years at incident,Northern Territory,Number,0
Males,2020,Age at incident (victim),55–64 years at incident,Northern Territory,Number,0
Males,2020,Age at incident (victim),65 years and over at incident,Northern Territory,Number,0
Males,2020,Time to report,Less than 1 year to report,Northern Territory,Number,8
Males,2020,Time to report,1 to less than 2 years to report,Northern Territory,Number,0
Males,2020,Time to report,2 to less than 5 years to report,Northern Territory,Number,0
Males,2020,Time to report,5 to less than 10 years to report,Northern Territory,Number,0
Males,2020,Time to report,10 to less than 20 years to report,Northern Territory,Number,0
Males,2020,Time to report,20 years and over to report,Northern Territory,Number,0
Males,2020,Relationship of offender to victim,Intimate partner,Northern Territory,Number,0
Males,2020,Relationship of offender to victim,Current partner,Northern Territory,Number,0
Males,2020,Relationship of offender to victim,Ex-partner,Northern Territory,Number,0
Males,2020,Relationship of offender to victim,Parent,Northern Territory,Number,0
Females,2020,Age at incident (victim),0–9 years at incident,Northern Territory,Number,18
Females,2020,Age at incident (victim),10–17 years at incident,Northern Territory,Number,31
Females,2020,Age at incident (victim),18–24 years at incident,Northern Territory,Number,12
Females,2020,Age at incident (victim),25–34 years at incident,Northern Territory,Number,17
Females,2020,Age at incident (victim),35–44 years at incident,Northern Territory,Number,14
Females,2020,Age at incident (victim),45–54 years at incident,Northern Territory,Number,3
