sex,year,experience_of_violence,sex_of_perpetrator,relationship_with_perpetrator,disability_status_type,unit,value,rse,95_moe,lower_ci,upper_ci,data_flag
Persons,2016,Experienced sexual violence since age 15,By a person,Any person - all relationships,With disability,Number,934.8,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Experienced sexual violence since age 15,By a person,Any person - all relationships,"With disability — Sight, hearing, speech",Number,295.5,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Experienced sexual violence since age 15,By a person,Any person - all relationships,With disability — Physical,Number,693.8,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Experienced sexual violence since age 15,By a person,Any person - all relationships,With disability — Intellectual,Number,107.7,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Experienced sexual violence since age 15,By a person,Any person - all relationships,With disability — Psychological,Number,313.8,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Experienced sexual violence since age 15,By a person,Any person - all relationships,"With disability — Head injury, stroke or brain damage",Number,35.7,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Experienced sexual violence since age 15,By a person,Any person - all relationships,With disability — Type not specified,Number,337.8,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Experienced sexual violence since age 15,By a person,Any person - all relationships,Without disability,Number,1219.3,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Experienced violence since age 15,By a person,Intimate partner,With disability— other disability status,Number,991,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Experienced violence since age 15,By a person,Intimate partner,With disability— severe or profound,Number,204,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Experienced violence since age 15,By a person,Intimate partner,With disability,Number,1195,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Experienced violence since age 15,By a person,Intimate partner,Without disability,Number,1666.5,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Experienced violence since age 15,By a person,Parent,With disability— other disability status,Number,253.2,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Experienced violence since age 15,By a person,Parent,With disability— severe or profound,Number,48.2,n.a.,n.a.,n.a.,n.a.,
