sex,year,population_group,subcategory,unit,value
Females,2024-25,Language spoken,Not stated,"Rate (number per 10,000)",n.a.
Females,2024-25,Language spoken,Other,"Rate (number per 10,000)",n.a.
Males,2024-25,All Australians,0-9,"Rate (number per 10,000)",83.4
Males,2024-25,All Australians,10-14,"Rate (number per 10,000)",53.9
Males,2024-25,All Australians,15-19,"Rate (number per 10,000)",40.3
Males,2024-25,All Australians,20-24,"Rate (number per 10,000)",17.4
Males,2024-25,All Australians,25-34,"Rate (number per 10,000)",11.0
Males,2024-25,All Australians,35-44,"Rate (number per 10,000)",11.3
Males,2024-25,All Australians,45-54,"Rate (number per 10,000)",8.4
Males,2024-25,All Australians,55-64,"Rate (number per 10,000)",3.1
Males,2024-25,All Australians,65+,"Rate (number per 10,000)",1.3
Males,2024-25,All Australians,Total,"Rate (number per 10,000)",21.9
Males,2024-25,First Nations people,0-9,"Rate (number per 10,000)",391.5
Males,2024-25,First Nations people,10-14,"Rate (number per 10,000)",207.7
Males,2024-25,First Nations people,15-19,"Rate (number per 10,000)",161.3
Males,2024-25,First Nations people,20-24,"Rate (number per 10,000)",100.7
Males,2024-25,First Nations people,25-34,"Rate (number per 10,000)",77.1
Males,2024-25,First Nations people,35-44,"Rate (number per 10,000)",99.7
Males,2024-25,First Nations people,45-54,"Rate (number per 10,000)",65.4
Males,2024-25,First Nations people,55-64,"Rate (number per 10,000)",21.8
Males,2024-25,First Nations people,65+,"Rate (number per 10,000)",11.0
Males,2024-25,First Nations people,Total,"Rate (number per 10,000)",164.5
Males,2024-25,State/territory,New South Wales,"Rate (number per 10,000)",16.0
Males,2024-25,State/territory,Victoria,"Rate (number per 10,000)",37.4
Males,2024-25,State/territory,Queensland,"Rate (number per 10,000)",17.4
Males,2024-25,State/territory,Western Australia,"Rate (number per 10,000)",17.7
Males,2024-25,State/territory,South Australia,"Rate (number per 10,000)",11.1
Males,2024-25,State/territory,Tasmania,"Rate (number per 10,000)",12.6
Males,2024-25,State/territory,Australian Capital Territory,"Rate (number per 10,000)",21.2
Males,2024-25,State/territory,Northern Territory,"Rate (number per 10,000)",76.1
Males,2024-25,State/territory,National,"Rate (number per 10,000)",21.9
Males,2024-25,Remoteness Area,Total,"Rate (number per 10,000)",n.a.
Males,2024-25,Remoteness Area,Major cities,"Rate (number per 10,000)",n.a.
Males,2024-25,Remoteness Area,Inner regional,"Rate (number per 10,000)",n.a.
Males,2024-25,Remoteness Area,Outer regional,"Rate (number per 10,000)",n.a.
Males,2024-25,Remoteness Area,Remote,"Rate (number per 10,000)",n.a.
Males,2024-25,Remoteness Area,Very remote,"Rate (number per 10,000)",n.a.
Males,2024-25,Language spoken,Total,"Rate (number per 10,000)",n.a.
Males,2024-25,Language spoken,English,"Rate (number per 10,000)",n.a.
Males,2024-25,Language spoken,Not stated,"Rate (number per 10,000)",n.a.
Males,2024-25,Language spoken,Other,"Rate (number per 10,000)",n.a.
