sex,year,experience_of_violence,type_of_violence,sex_of_perpetrator,relationship_with_perpetrator,unit,value,rse,95_moe,lower_ci,upper_ci,data_flag
Females,2016,Experienced sexual harassment since age 15,Sexual harassment,By a male,Any person - all relationships,Number,4891.0,1.4,n.a.,n.a.,n.a.,
Females,2016,Experienced sexual harassment since age 15,Sexual harassment,By a female,Any person - all relationships,Number,989.9,3.8,n.a.,n.a.,n.a.,
Females,2016,Experienced sexual harassment since age 15,Sexual harassment,By a person,Any person - all relationships,Number,4960.9,1.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced sexual harassment during the last 12 months,Sexual harassment,By a male,Any person - all relationships,Number,1213.2,3.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced sexual harassment during the last 12 months,Sexual harassment,By a female,Any person - all relationships,Number,110.9,14.0,n.a.,n.a.,n.a.,
Females,2021-22,Experienced sexual harassment during the last 12 months,Sexual harassment,By a person,Any person - all relationships,Number,1250.8,3.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Stranger,Number,39.1,25.5,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Known person,Number,122.3,12.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Intimate partner or family member,Number,86.1,15.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Intimate partner,Number,75.8,17.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Cohabiting partner,Number,38.3,23.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Boyfriend or date,Number,44.5,22.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Family member,Number,—,n.p.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Other known person,Number,49.2,21.2,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Any person - all relationships,Number,144.9,13.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a person,Any person - all relationships,Number,145.0,13.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Stranger,Number,44.7,22.6,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Known person,Number,25.1,24.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Intimate partner or family member,Number,7.6,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Intimate partner,Number,7.6,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Cohabiting partner,Number,2.9,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Boyfriend or date,Number,8.1,40.8,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Family member,Number,—,n.p.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Other known person,Number,15.1,33.4,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Any person - all relationships,Number,55.3,19.9,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a person,Any person - all relationships,Number,55.3,19.9,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Stranger,Number,73.9,17.6,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Known person,Number,132.2,11.9,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Intimate partner or family member,Number,81.7,15.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Intimate partner,Number,78.6,16.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Cohabiting partner,Number,40.4,22.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Boyfriend or date,Number,52.3,19.0,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Family member,Number,—,n.p.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Other known person,Number,60.7,19.0,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Any person - all relationships,Number,177.9,11.5,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a person,Any person - all relationships,Number,188.7,10.8,n.a.,n.a.,n.a.,
