sex,year,unit,value
Females,2011-12,Number,775
Females,2012-13,Number,821
Females,2013-14,Number,960
Females,2014-15,Number,1131
Females,2015-16,Number,1392
Females,2016-17,Number,1603
Females,2017-18,Number,2076
Females,2018-19,Number,1580
Females,2019-20,Number,1588
Females,2020-21,Number,1573
Females,2021-22,Number,1325
Females,2022-23,Number,1136
Females,2023-24,Number,1283
Females,2024-25,Number,1412
Males,2011-12,Number,93
Males,2012-13,Number,94
Males,2013-14,Number,81
Males,2014-15,Number,107
Males,2015-16,Number,129
Males,2016-17,Number,137
Males,2017-18,Number,153
Males,2018-19,Number,132
Males,2019-20,Number,167
Males,2020-21,Number,214
Males,2021-22,Number,151
Males,2022-23,Number,184
Males,2023-24,Number,209
Males,2024-25,Number,279
Females,2011-12,Proportion,32.8
Females,2012-13,Proportion,29.0
Females,2013-14,Proportion,32.0
Females,2014-15,Proportion,34.7
Females,2015-16,Proportion,34.9
Females,2016-17,Proportion,35.9
Females,2017-18,Proportion,40.8
Females,2018-19,Proportion,34.0
Females,2019-20,Proportion,33.4
Females,2020-21,Proportion,33.2
Females,2021-22,Proportion,26.0
Females,2022-23,Proportion,20.9
Females,2023-24,Proportion,21.2
Females,2024-25,Proportion,21.4
Males,2011-12,Proportion,4.4
Males,2012-13,Proportion,3.6
Males,2013-14,Proportion,3.1
Males,2014-15,Proportion,4.0
Males,2015-16,Proportion,4.3
Males,2016-17,Proportion,4.2
Males,2017-18,Proportion,4.5
Males,2018-19,Proportion,3.5
Males,2019-20,Proportion,4.4
Males,2020-21,Proportion,5.9
Males,2021-22,Proportion,3.7
Males,2022-23,Proportion,3.8
Males,2023-24,Proportion,4.0
Males,2024-25,Proportion,4.8
