year,characteristic,subcategory,unit,value
2010,Sex,Females,Number,15909
2010,Sex,Males,Number,2865
2010,Sex,Persons,Number,18862
2010,Jurisdiction,New South Wales,Number,7269
2010,Jurisdiction,Victoria,Number,3629
2010,Jurisdiction,Queensland,Number,4239
2010,Jurisdiction,Western Australia,Number,1654
2010,Jurisdiction,South Australia,Number,1363
2010,Jurisdiction,Tasmania,Number,177
2010,Jurisdiction,Australian Capital Territory,Number,193
2010,Jurisdiction,Northern Territory,Number,328
2010,Jurisdiction,Australia,Number,18862
2011,Sex,Females,Number,15715
2011,Sex,Males,Number,2837
2011,Sex,Persons,Number,18616
2011,Jurisdiction,New South Wales,Number,7024
2011,Jurisdiction,Victoria,Number,4021
2011,Jurisdiction,Queensland,Number,3899
2011,Jurisdiction,Western Australia,Number,1630
2011,Jurisdiction,South Australia,Number,1355
2011,Jurisdiction,Tasmania,Number,148
2011,Jurisdiction,Australian Capital Territory,Number,222
2011,Jurisdiction,Northern Territory,Number,315
2011,Jurisdiction,Australia,Number,18616
2012,Sex,Females,Number,16121
2012,Sex,Males,Number,3263
2012,Sex,Persons,Number,19448
2012,Jurisdiction,New South Wales,Number,7628
2012,Jurisdiction,Victoria,Number,4149
2012,Jurisdiction,Queensland,Number,3913
2012,Jurisdiction,Western Australia,Number,1773
2012,Jurisdiction,South Australia,Number,1335
2012,Jurisdiction,Tasmania,Number,123
2012,Jurisdiction,Australian Capital Territory,Number,202
2012,Jurisdiction,Northern Territory,Number,325
2012,Jurisdiction,Australia,Number,19448
2013,Sex,Females,Number,16562
2013,Sex,Males,Number,3387
2013,Sex,Persons,Number,20025
2013,Jurisdiction,New South Wales,Number,8121
2013,Jurisdiction,Victoria,Number,3920
2013,Jurisdiction,Queensland,Number,4019
2013,Jurisdiction,Western Australia,Number,1825
2013,Jurisdiction,South Australia,Number,1359
2013,Jurisdiction,Tasmania,Number,187
2013,Jurisdiction,Australian Capital Territory,Number,237
2013,Jurisdiction,Northern Territory,Number,366
2013,Jurisdiction,Australia,Number,20025
2014,Sex,Females,Number,17124
2014,Sex,Males,Number,3538
2014,Sex,Persons,Number,20741
2014,Jurisdiction,New South Wales,Number,8192
2014,Jurisdiction,Victoria,Number,4166
2014,Jurisdiction,Queensland,Number,4063
2014,Jurisdiction,Western Australia,Number,1942
2014,Jurisdiction,South Australia,Number,1545
2014,Jurisdiction,Tasmania,Number,227
2014,Jurisdiction,Australian Capital Territory,Number,203
2014,Jurisdiction,Northern Territory,Number,401
2014,Jurisdiction,Australia,Number,20741
2015,Sex,Females,Number,17931
2015,Sex,Males,Number,3889
2015,Sex,Persons,Number,21948
2015,Jurisdiction,New South Wales,Number,8603
2015,Jurisdiction,Victoria,Number,4719
2015,Jurisdiction,Queensland,Number,4199
2015,Jurisdiction,Western Australia,Number,2012
2015,Jurisdiction,South Australia,Number,1590
2015,Jurisdiction,Tasmania,Number,186
2015,Jurisdiction,Australian Capital Territory,Number,240
2015,Jurisdiction,Northern Territory,Number,401
2015,Jurisdiction,Australia,Number,21948
2016,Sex,Females,Number,18855
2016,Sex,Males,Number,4106
2016,Sex,Persons,Number,23040
2016,Jurisdiction,New South Wales,Number,8795
2016,Jurisdiction,Victoria,Number,5354
2016,Jurisdiction,Queensland,Number,4349
2016,Jurisdiction,Western Australia,Number,2157
2016,Jurisdiction,South Australia,Number,1521
2016,Jurisdiction,Tasmania,Number,213
2016,Jurisdiction,Australian Capital Territory,Number,272
2016,Jurisdiction,Northern Territory,Number,378
2016,Jurisdiction,Australia,Number,23040
2017,Sex,Females,Number,21225
2017,Sex,Males,Number,4522
2017,Sex,Persons,Number,25837
2017,Jurisdiction,New South Wales,Number,9847
2017,Jurisdiction,Victoria,Number,6024
