sex,year,experience_of_violence,type_of_violence,sex_of_perpetrator,relationship_with_perpetrator,unit,value,rse,95_moe,lower_ci,upper_ci,data_flag
Females,2021-22,Experienced violence since age 15,All violence,By a person,Family member,Proportion,8.1,4.0,0.6,7.5,8.7,
Females,2021-22,Experienced violence since age 15,All violence,By a male,Intimate partner or family member,Proportion,26.3,2.2,1.1,25.2,27.4,
Females,2021-22,Experienced violence since age 15,All violence,By a male,Intimate partner,Proportion,23,2.4,1.1,21.9,24.1,
Females,2021-22,Experienced violence since age 15,All violence,By a male,Cohabiting partner,Proportion,16.6,2.7,0.9,15.7,17.5,
Females,2021-22,Experienced violence since age 15,All violence,By a male,Boyfriend or date,Proportion,9.1,4.1,0.7,8.4,9.8,
Females,2021-22,Experienced violence since age 15,All violence,By a male,Family member,Proportion,6.2,5.1,0.6,5.6,6.8,
Females,2021-22,Experienced violence since age 15,All violence,By a male,Father,Proportion,3.3,8.2,0.5,2.8,3.8,
Females,2021-22,Experienced violence since age 15,All violence,By a male,Son,Proportion,0.5,17.9,0.2,0.3,0.7,
Females,2021-22,Experienced violence since age 15,All violence,By a male,Brother,Proportion,1.3,9.7,0.2,1.1,1.5,
Females,2021-22,Experienced violence since age 15,All violence,By a male,Other relative or in-law,Proportion,1.8,9.6,0.3,1.5,2.1,
Females,2021-22,Experienced violence since age 15,Physical assault,By a female,Intimate partner or family member,Proportion,3.0,7.3,0.4,2.6,3.4,
Females,2021-22,Experienced violence since age 15,Physical assault,By a female,Intimate partner,Proportion,0.4,24.3,0.2,0.2,0.6,
Females,2021-22,Experienced violence since age 15,Physical assault,By a female,Cohabiting partner,Proportion,0.2,29.0,0.1,0.1,0.3,*
Females,2021-22,Experienced violence since age 15,Physical assault,By a female,Family member,Proportion,2.7,7.9,0.4,2.3,3.1,
Females,2021-22,Experienced violence since age 15,Physical assault,By a female,Mother,Proportion,1.7,11.0,0.4,1.3,2.1,
Females,2021-22,Experienced violence since age 15,Physical assault,By a female,Daughter,Proportion,0.2,36.9,0.1,0.1,0.3,*
Females,2021-22,Experienced violence since age 15,Physical assault,By a female,Sister,Proportion,0.6,14.4,0.2,0.4,0.8,
Females,2021-22,Experienced violence since age 15,Physical assault,By a female,Other relative or in-law,Proportion,0.3,23.9,0.1,0.2,0.4,
Females,2021-22,Experienced violence since age 15,Physical assault,By a male,Intimate partner or family member,Proportion,19.4,2.6,1.0,18.4,20.4,
Females,2021-22,Experienced violence since age 15,Physical assault,By a male,Intimate partner,Proportion,16.8,2.7,0.9,15.9,17.7,
Females,2021-22,Experienced violence since age 15,Physical assault,By a male,Cohabiting partner,Proportion,13.8,3,0.8,13.0,14.6,
Females,2021-22,Experienced violence since age 15,Physical assault,By a male,Boyfriend or date,Proportion,3.8,7.2,0.5,3.3,4.3,
Females,2021-22,Experienced violence since age 15,Physical assault,By a male,Family member,Proportion,3.9,6.4,0.5,3.4,4.4,
Females,2021-22,Experienced violence since age 15,Physical assault,By a male,Father,Proportion,2.5,8.4,0.4,2.1,2.9,
Females,2021-22,Experienced violence since age 15,Physical assault,By a male,Son,Proportion,0.3,20.9,0.1,0.2,0.4,
Females,2021-22,Experienced violence since age 15,Physical assault,By a male,Brother,Proportion,0.9,14,0.2,0.7,1.1,
Females,2021-22,Experienced violence since age 15,Physical assault,By a male,Other relative or in-law,Proportion,0.5,17.7,0.2,0.3,0.7,
Females,2021-22,Experienced violence since age 15,Physical threat,By a female,Intimate partner or family member,Proportion,0.9,13.9,0.2,0.7,1.1,
Females,2021-22,Experienced violence since age 15,Physical threat,By a female,Intimate partner,Proportion,0.1,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence since age 15,Physical threat,By a female,Cohabiting partner,Proportion,—,n.p.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Physical threat,By a female,Family member,Proportion,0.8,16.0,0.3,0.5,1.1,
Females,2021-22,Experienced violence since age 15,Physical threat,By a female,Mother,Proportion,0.4,23.2,0.2,0.2,0.6,
Females,2021-22,Experienced violence since age 15,Physical threat,By a female,Daughter,Proportion,0.1,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence since age 15,Physical threat,By a female,Sister,Proportion,0.2,29.4,0.1,0.1,0.3,*
Females,2021-22,Experienced violence since age 15,Physical threat,By a female,Other relative or in-law,Proportion,0.2,33.6,0.1,0.1,0.3,*
Females,2021-22,Experienced violence since age 15,Physical threat,By a male,Intimate partner or family member,Proportion,5.4,5.4,0.6,4.8,6.0,
Females,2021-22,Experienced violence since age 15,Physical threat,By a male,Intimate partner,Proportion,4.3,6,0.5,3.8,4.8,
Females,2021-22,Experienced violence since age 15,Physical threat,By a male,Cohabiting partner,Proportion,3.5,6.8,0.5,3.0,4.0,
Females,2021-22,Experienced violence since age 15,Physical threat,By a male,Boyfriend or date,Proportion,0.9,17,0.3,0.6,1.2,
Females,2021-22,Experienced violence since age 15,Physical threat,By a male,Family member,Proportion,1.5,11.2,0.3,1.2,1.8,
Females,2021-22,Experienced violence since age 15,Physical threat,By a male,Father,Proportion,0.9,13.9,0.2,0.7,1.1,
Females,2021-22,Experienced violence since age 15,Physical threat,By a male,Son,Proportion,0.2,28.7,0.1,0.1,0.3,*
Females,2021-22,Experienced violence since age 15,Physical threat,By a male,Brother,Proportion,0.3,29.7,0.2,0.1,0.5,*
Females,2021-22,Experienced violence since age 15,Physical threat,By a male,Other relative or in-law,Proportion,0.2,28.9,0.1,0.1,0.3,*
Females,2021-22,Experienced violence since age 15,Physical violence,By a female,Intimate partner or family member,Proportion,3.6,6.9,0.5,3.1,4.1,
Females,2021-22,Experienced violence since age 15,Physical violence,By a female,Intimate partner,Proportion,0.5,21.8,0.2,0.3,0.7,
Females,2021-22,Experienced violence since age 15,Physical violence,By a female,Cohabiting partner,Proportion,0.2,29.5,0.1,0.1,0.3,*
Females,2021-22,Experienced violence since age 15,Physical violence,By a female,Family member,Proportion,3.2,7.4,0.5,2.7,3.7,
Females,2021-22,Experienced violence since age 15,Physical violence,By a female,Mother,Proportion,1.9,10.1,0.4,1.5,2.3,
Females,2021-22,Experienced violence since age 15,Physical violence,By a female,Daughter,Proportion,0.2,30.7,0.1,0.1,0.3,*
Females,2021-22,Experienced violence since age 15,Physical violence,By a female,Sister,Proportion,0.7,13.7,0.2,0.5,0.9,
Females,2021-22,Experienced violence since age 15,Physical violence,By a female,Other relative or in-law,Proportion,0.4,20.6,0.2,0.2,0.6,
Females,2021-22,Experienced violence since age 15,Physical violence,By a male,Intimate partner or family member,Proportion,21,2.6,1.1,19.9,22.1,
Females,2021-22,Experienced violence since age 15,Physical violence,By a male,Intimate partner,Proportion,17.9,2.7,0.9,17.0,18.8,
Females,2021-22,Experienced violence since age 15,Physical violence,By a male,Cohabiting partner,Proportion,14.7,2.7,0.8,13.9,15.5,
Females,2021-22,Experienced violence since age 15,Physical violence,By a male,Boyfriend or date,Proportion,4.2,7,0.6,3.6,4.8,
Females,2021-22,Experienced violence since age 15,Physical violence,By a male,Family member,Proportion,4.7,5.7,0.5,4.2,5.2,
Females,2021-22,Experienced violence since age 15,Physical violence,By a male,Father,Proportion,3,8.1,0.5,2.5,3.5,
Females,2021-22,Experienced violence since age 15,Physical violence,By a male,Son,Proportion,0.4,19.6,0.2,0.2,0.6,
Females,2021-22,Experienced violence since age 15,Physical violence,By a male,Brother,Proportion,1,12.9,0.3,0.7,1.3,
Females,2021-22,Experienced violence since age 15,Physical violence,By a male,Other relative or in-law,Proportion,0.6,15.7,0.2,0.4,0.8,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Intimate partner or family member,Proportion,11.7,3.9,0.9,10.8,12.6,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Intimate partner,Proportion,10.5,4,0.8,9.7,11.3,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Cohabiting partner,Proportion,5.7,5.1,0.6,5.1,6.3,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Boyfriend or date,Proportion,5.9,5.1,0.6,5.3,6.5,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Family member,Proportion,1.9,9.2,0.3,1.6,2.2,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Father,Proportion,0.5,17,0.2,0.3,0.7,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Son,Proportion,—,n.p.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Brother,Proportion,0.4,21.5,0.2,0.2,0.6,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Other relative or in-law,Proportion,1.2,11.9,0.3,0.9,1.5,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Intimate partner or family member,Proportion,2.1,10.2,0.4,1.7,2.5,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Intimate partner,Proportion,1.8,10.9,0.4,1.4,2.2,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Cohabiting partner,Proportion,1,14.3,0.3,0.7,1.3,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Boyfriend or date,Proportion,0.9,13.7,0.2,0.7,1.1,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Family member,Proportion,0.3,27.7,0.2,0.1,0.5,*
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Father,Proportion,0.1,44,0.1,0.0,0.2,*
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Son,Proportion,—,n.p.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Brother,Proportion,—,n.p.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Other relative or in-law,Proportion,0.2,31.3,0.1,0.1,0.3,*
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Intimate partner or family member,Proportion,12.7,3.9,1.0,11.7,13.7,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Intimate partner,Proportion,11.4,3.9,0.9,10.5,12.3,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Cohabiting partner,Proportion,6.1,5,0.6,5.5,6.7,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Boyfriend or date,Proportion,6.3,4.8,0.6,5.7,6.9,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Family member,Proportion,2.1,9.3,0.4,1.7,2.5,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Father,Proportion,0.5,16.7,0.2,0.3,0.7,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Son,Proportion,0.1,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Brother,Proportion,0.4,21.5,0.2,0.2,0.6,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Other relative or in-law,Proportion,1.4,11.2,0.3,1.1,1.7,
Females,2021-22,Witnessed violence towards mother and/or father by a partner before age 15,Violence towards both mother and father,By a person,Partner of parent,Proportion,3.0,6.1,0.4,2.6,3.4,
Females,2021-22,Witnessed violence towards mother and/or father by a partner before age 15,Violence towards father,By a person,Partner of parent,Proportion,5.0,4.6,0.5,4.5,5.5,
Females,2021-22,Witnessed violence towards mother and/or father by a partner before age 15,Violence towards mother,By a person,Partner of parent,Proportion,13.9,3.3,0.9,13.0,14.8,
Females,2021-22,Witnessed violence towards mother and/or father by a partner before age 15,Violence towards mother and/or father,By a person,Partner of parent,Proportion,15.9,3.0,0.9,15.0,16.8,
Males,2021-22,Experienced violence in the last 12 months,All violence,By a person,Intimate partner or family member,Proportion,0.7,37.9,0.5,0.2,1.2,*
Males,2021-22,Experienced violence in the last 12 months,All violence,By a person,Intimate partner,Proportion,0.6,44.4,0.5,0.1,1.1,*
Males,2021-22,Experienced violence in the last 12 months,All violence,By a person,Cohabiting partner,Proportion,0.5,n.p.,n.a.,n.a.,n.a.,**
Males,2021-22,Experienced violence in the last 12 months,All violence,By a person,Boyfriend/girlfriend/date,Proportion,0.1,n.p.,n.a.,n.a.,n.a.,**
Males,2021-22,Experienced violence in the last 12 months,All violence,By a person,Family member,Proportion,0.1,n.p.,n.a.,n.a.,n.a.,**
Males,2021-22,Experienced violence since age 15,All violence,By a person,Intimate partner or family member,Proportion,11.9,11.6,2.7,9.2,14.6,
Males,2021-22,Experienced violence since age 15,All violence,By a person,Intimate partner,Proportion,7.3,13.0,1.9,5.4,9.2,
Males,2021-22,Experienced violence since age 15,All violence,By a person,Cohabiting partner,Proportion,5.5,14.5,1.6,3.9,7.1,
Males,2021-22,Experienced violence since age 15,All violence,By a person,Boyfriend/girlfriend or date,Proportion,2.3,26.4,1.2,1.1,3.5,*
Males,2021-22,Experienced violence since age 15,All violence,By a person,Family member,Proportion,5.9,18.3,2.1,3.8,8.0,
Males,2021-22,Experienced violence since age 15,Physical assault,By a male,Intimate partner or family member,Proportion,3.9,22.0,1.7,2.2,5.6,
Males,2021-22,Experienced violence since age 15,Physical assault,By a male,Intimate partner,Proportion,0.4,n.p.,n.a.,n.a.,n.a.,**
Males,2021-22,Experienced violence since age 15,Physical assault,By a male,Family member,Proportion,3.7,23.0,1.7,2.0,5.4,
Males,2021-22,Experienced violence since age 15,Physical assault,By a female,Intimate partner or family member,Proportion,6.7,14.1,1.9,4.8,8.6,
Males,2021-22,Experienced violence since age 15,Physical assault,By a female,Intimate partner,Proportion,5.9,15.1,1.7,4.2,7.6,
Males,2021-22,Experienced violence since age 15,Physical assault,By a female,Cohabiting partner,Proportion,4.8,16.8,1.6,3.2,6.4,
Males,2021-22,Experienced violence since age 15,Physical assault,By a female,Girlfriend/date,Proportion,1.2,34.7,0.8,0.4,2.0,*
Males,2021-22,Experienced violence since age 15,Physical assault,By a female,Family member,Proportion,1.1,31.6,0.7,0.4,1.8,*
Males,2021-22,Witnessed violence towards mother and/or father by a partner before age 15,Violence towards both mother and father,By a person,Partner of parent,Proportion,1.8,29.0,1.0,0.8,2.8,*
Males,2021-22,Witnessed violence towards mother and/or father by a partner before age 15,Violence towards father,By a person,Partner of parent,Proportion,3.7,19.3,1.4,2.3,5.1,
Males,2021-22,Witnessed violence towards mother and/or father by a partner before age 15,Violence towards mother,By a person,Partner of parent,Proportion,8.9,12.5,2.2,6.7,11.1,
Males,2021-22,Witnessed violence towards mother and/or father by a partner before age 15,Violence towards mother and/or father,By a person,Partner of parent,Proportion,10.6,11.4,2.4,8.2,13.0,
Persons,2021-22,Experienced violence since age 15,All violence,By a person,Intimate partner or family member,Proportion,19.8,3.6,1.4,18.4,21.2,
Persons,2021-22,Experienced violence since age 15,All violence,By a person,Intimate partner,Proportion,15.5,3.3,1.0,14.5,16.5,
Persons,2021-22,Experienced violence since age 15,All violence,By a person,Cohabiting partner,Proportion,11.3,3.7,0.8,10.5,12.1,
Persons,2021-22,Experienced violence since age 15,All violence,By a person,Boyfriend/girlfriend or date,Proportion,5.9,6.7,0.8,5.1,6.7,
Persons,2021-22,Experienced violence since age 15,All violence,By a person,Family member,Proportion,7.0,7.9,1.1,5.9,8.1,
Persons,2021-22,Witnessed violence towards mother and/or father by a partner before age 15,Violence towards both mother and father,By a person,Partner of parent,Proportion,2.4,10.8,0.5,1.9,2.9,
Persons,2021-22,Witnessed violence towards mother and/or father by a partner before age 15,Violence towards father,By a person,Partner of parent,Proportion,4.3,8.7,0.7,3.6,5.0,
Persons,2021-22,Witnessed violence towards mother and/or father by a partner before age 15,Violence towards mother,By a person,Partner of parent,Proportion,11.5,5.1,1.1,10.4,12.6,
Persons,2021-22,Witnessed violence towards mother and/or father by a partner before age 15,Violence towards mother and/or father,By a person,Partner of parent,Proportion,13.3,4.9,1.3,12.0,14.6,
