year,age_group,sex,perpetrator_s_relationship_to_victim,unit,value
2023–24,15–19,Female,Other family member,Number,94
2023–24,15–19,Male,Other family member,Number,69
2023–24,15–19,Female,Parent,Number,60
2023–24,15–19,Male,Parent,Number,53
2023–24,15–19,Female,Spouse or domestic partner,Number,206
2023–24,15–19,Male,Spouse or domestic partner,Number,14
2023–24,0–14,Female,All FDV perpetrators,Number,281
2023–24,0–14,Male,All FDV perpetrators,Number,279
2023–24,0–14,Female,Other family member,Number,50
2023–24,0–14,Male,Other family member,Number,n.p.
2023–24,0–14,Female,Parent,Number,216
2023–24,0–14,Male,Parent,Number,209
2019–20,All ages,Female,All FDV perpetrators,"Rate per 100,000 population",54.0
2020–21,All ages,Female,All FDV perpetrators,"Rate per 100,000 population",54.7
2021–22,All ages,Female,All FDV perpetrators,"Rate per 100,000 population",46.5
2022–23,All ages,Female,All FDV perpetrators,"Rate per 100,000 population",47.8
2023–24,All ages,Female,All FDV perpetrators,"Rate per 100,000 population",51.8
2019–20,All ages,Male,All FDV perpetrators,"Rate per 100,000 population",18.9
2020–21,All ages,Male,All FDV perpetrators,"Rate per 100,000 population",19.1
2021–22,All ages,Male,All FDV perpetrators,"Rate per 100,000 population",16.1
2022–23,All ages,Male,All FDV perpetrators,"Rate per 100,000 population",16.0
2023–24,All ages,Male,All FDV perpetrators,"Rate per 100,000 population",16.8
2019–20,All ages,Persons,All FDV perpetrators,"Rate per 100,000 population",36.6
2020–21,All ages,Persons,All FDV perpetrators,"Rate per 100,000 population",37.0
2021–22,All ages,Persons,All FDV perpetrators,"Rate per 100,000 population",31.4
2022–23,All ages,Persons,All FDV perpetrators,"Rate per 100,000 population",32.0
2023–24,All ages,Persons,All FDV perpetrators,"Rate per 100,000 population",34.5
2019–20,All ages,Female,Other family member,"Rate per 100,000 population",11.5
2020–21,All ages,Female,Other family member,"Rate per 100,000 population",11.2
2021–22,All ages,Female,Other family member,"Rate per 100,000 population",10.0
2022–23,All ages,Female,Other family member,"Rate per 100,000 population",11.2
2023–24,All ages,Female,Other family member,"Rate per 100,000 population",11.8
2019–20,All ages,Male,Other family member,"Rate per 100,000 population",10.4
2020–21,All ages,Male,Other family member,"Rate per 100,000 population",10.6
2021–22,All ages,Male,Other family member,"Rate per 100,000 population",8.9
2022–23,All ages,Male,Other family member,"Rate per 100,000 population",8.8
2023–24,All ages,Male,Other family member,"Rate per 100,000 population",9.3
2019–20,All ages,Persons,Other family member,"Rate per 100,000 population",11.0
2020–21,All ages,Persons,Other family member,"Rate per 100,000 population",10.9
2021–22,All ages,Persons,Other family member,"Rate per 100,000 population",9.5
2022–23,All ages,Persons,Other family member,"Rate per 100,000 population",10.0
2023–24,All ages,Persons,Other family member,"Rate per 100,000 population",10.6
2019–20,0–44,Female,Parent,"Rate per 100,000 population",4.4
2020–21,0–44,Female,Parent,"Rate per 100,000 population",5.1
2021–22,0–44,Female,Parent,"Rate per 100,000 population",4.2
2022–23,0–44,Female,Parent,"Rate per 100,000 population",4.1
2023–24,0–44,Female,Parent,"Rate per 100,000 population",5.1
2019–20,0–44,Male,Parent,"Rate per 100,000 population",4.5
