gender,year,scale,value,data_flag,data_notes
Women,2009,AGIS,66,^,Statistically significant difference to the 2021 mean score. 
Women,2013,AGIS,65,^,Statistically significant difference to the 2021 mean score. 
Women,2017,AGIS,66,^,Statistically significant difference to the 2021 mean score. 
Women,2021,AGIS,69,~,Statistically significant difference to the 2021 mean score for men. 
Men,2009,AGIS,61,^,Statistically significant difference to the 2021 mean score. 
Men,2013,AGIS,61,^,Statistically significant difference to the 2021 mean score. 
Men,2017,AGIS,63,^,Statistically significant difference to the 2021 mean score. 
Men,2021,AGIS,65,,
Non-binary respondents,2009,AGIS,—,,
Non-binary respondents,2013,AGIS,—,,
Non-binary respondents,2017,AGIS,—,,
Non-binary respondents,2021,AGIS,73,+,Statistically significant difference to the 2021 mean scores for women and men. 
Persons,2009,AGIS,63,^,Statistically significant difference to the 2021 mean score. 
Persons,2013,AGIS,63,^,Statistically significant difference to the 2021 mean score. 
Persons,2017,AGIS,64,^,Statistically significant difference to the 2021 mean score. 
Persons,2021,AGIS,67,,
