sex,year,offence,location,unit,value
Females,2014,Assault,New South Wales,Number,19918
Females,2014,Assault,Victoria,Number,n.a.
Females,2014,Assault,Queensland,Number,n.p.
Females,2014,Assault,Western Australia,Number,10648
Females,2014,Assault,South Australia,Number,5143
Females,2014,Assault,Tasmania,Number,903
Females,2014,Assault,Australian Capital Territory,Number,480
Females,2014,Assault,Northern Territory,Number,3483
Females,2014,Assault,Australia,Number,n.a.
Females,2014,Homicide and related offences,New South Wales,Number,29
Females,2014,Homicide and related offences,Victoria,Number,17
Females,2014,Homicide and related offences,Queensland,Number,25
Females,2014,Homicide and related offences,Western Australia,Number,5
Females,2014,Homicide and related offences,South Australia,Number,5
Females,2014,Homicide and related offences,Tasmania,Number,0
Females,2014,Homicide and related offences,Australian Capital Territory,Number,0
Females,2014,Homicide and related offences,Northern Territory,Number,3
Females,2014,Homicide and related offences,Australia,Number,91
Females,2014,Kidnapping/abduction,New South Wales,Number,42
Females,2014,Kidnapping/abduction,Victoria,Number,19
Females,2014,Kidnapping/abduction,Queensland,Number,3
Females,2014,Kidnapping/abduction,Western Australia,Number,0
Females,2014,Kidnapping/abduction,South Australia,Number,20
Females,2014,Kidnapping/abduction,Tasmania,Number,0
Females,2014,Kidnapping/abduction,Australian Capital Territory,Number,0
Females,2014,Kidnapping/abduction,Northern Territory,Number,0
Females,2014,Kidnapping/abduction,Australia,Number,90
Females,2014,Sexual assault,New South Wales,Number,2447
Females,2014,Sexual assault,Victoria,Number,1161
Females,2014,Sexual assault,Queensland,Number,1005
Females,2014,Sexual assault,Western Australia,Number,471
Females,2014,Sexual assault,South Australia,Number,518
Females,2014,Sexual assault,Tasmania,Number,71
Females,2014,Sexual assault,Australian Capital Territory,Number,41
Females,2014,Sexual assault,Northern Territory,Number,101
Females,2014,Sexual assault,Australia,Number,5811
Females,2015,Assault,New South Wales,Number,20338
Females,2015,Assault,Victoria,Number,n.a.
Females,2015,Assault,Queensland,Number,n.p.
Females,2015,Assault,Western Australia,Number,13291
Females,2015,Assault,South Australia,Number,5926
Females,2015,Assault,Tasmania,Number,931
Females,2015,Assault,Australian Capital Territory,Number,519
Females,2015,Assault,Northern Territory,Number,3370
Females,2015,Assault,Australia,Number,n.a.
Females,2015,Homicide and related offences,New South Wales,Number,21
Females,2015,Homicide and related offences,Victoria,Number,24
Females,2015,Homicide and related offences,Queensland,Number,22
Females,2015,Homicide and related offences,Western Australia,Number,11
Females,2015,Homicide and related offences,South Australia,Number,13
Females,2015,Homicide and related offences,Tasmania,Number,3
Females,2015,Homicide and related offences,Australian Capital Territory,Number,3
Females,2015,Homicide and related offences,Northern Territory,Number,9
Females,2015,Homicide and related offences,Australia,Number,102
Females,2015,Kidnapping/abduction,New South Wales,Number,78
Females,2015,Kidnapping/abduction,Victoria,Number,12
Females,2015,Kidnapping/abduction,Queensland,Number,0
Females,2015,Kidnapping/abduction,Western Australia,Number,3
Females,2015,Kidnapping/abduction,South Australia,Number,29
Females,2015,Kidnapping/abduction,Tasmania,Number,0
Females,2015,Kidnapping/abduction,Australian Capital Territory,Number,3
Females,2015,Kidnapping/abduction,Northern Territory,Number,0
Females,2015,Kidnapping/abduction,Australia,Number,131
Females,2015,Sexual assault,New South Wales,Number,2614
Females,2015,Sexual assault,Victoria,Number,1437
Females,2015,Sexual assault,Queensland,Number,1221
Females,2015,Sexual assault,Western Australia,Number,427
Females,2015,Sexual assault,South Australia,Number,555
Females,2015,Sexual assault,Tasmania,Number,65
Females,2015,Sexual assault,Australian Capital Territory,Number,66
Females,2015,Sexual assault,Northern Territory,Number,112
Females,2015,Sexual assault,Australia,Number,6497
Females,2016,Assault,New South Wales,Number,20098
Females,2016,Assault,Victoria,Number,n.a.
Females,2016,Assault,Queensland,Number,n.p.
Females,2016,Assault,Western Australia,Number,15149
Females,2016,Assault,South Australia,Number,5939
Females,2016,Assault,Tasmania,Number,1007
Females,2016,Assault,Australian Capital Territory,Number,653
Females,2016,Assault,Northern Territory,Number,3311
Females,2016,Assault,Australia,Number,n.a.
Females,2016,Homicide and related offences,New South Wales,Number,22
Females,2016,Homicide and related offences,Victoria,Number,16
Females,2016,Homicide and related offences,Queensland,Number,25
Females,2016,Homicide and related offences,Western Australia,Number,17
Females,2016,Homicide and related offences,South Australia,Number,11
Females,2016,Homicide and related offences,Tasmania,Number,4
Females,2016,Homicide and related offences,Australian Capital Territory,Number,0
Females,2016,Homicide and related offences,Northern Territory,Number,0
Females,2016,Homicide and related offences,Australia,Number,94
Females,2016,Kidnapping/abduction,New South Wales,Number,58
Females,2016,Kidnapping/abduction,Victoria,Number,30
Females,2016,Kidnapping/abduction,Queensland,Number,5
Females,2016,Kidnapping/abduction,Western Australia,Number,4
Females,2016,Kidnapping/abduction,South Australia,Number,31
Females,2016,Kidnapping/abduction,Tasmania,Number,0
Females,2016,Kidnapping/abduction,Australian Capital Territory,Number,0
Females,2016,Kidnapping/abduction,Northern Territory,Number,0
Females,2016,Kidnapping/abduction,Australia,Number,129
Females,2016,Sexual assault,New South Wales,Number,2675
Females,2016,Sexual assault,Victoria,Number,1722
Females,2016,Sexual assault,Queensland,Number,1231
Females,2016,Sexual assault,Western Australia,Number,512
Females,2016,Sexual assault,South Australia,Number,541
Females,2016,Sexual assault,Tasmania,Number,89
Females,2016,Sexual assault,Australian Capital Territory,Number,81
Females,2016,Sexual assault,Northern Territory,Number,102
Females,2016,Sexual assault,Australia,Number,6938
Females,2017,Assault,New South Wales,Number,19265
Females,2017,Assault,Victoria,Number,n.a.
Females,2017,Assault,Queensland,Number,n.p.
Females,2017,Assault,Western Australia,Number,13695
Females,2017,Assault,South Australia,Number,5407
Females,2017,Assault,Tasmania,Number,1072
Females,2017,Assault,Australian Capital Territory,Number,677
Females,2017,Assault,Northern Territory,Number,3632
Females,2017,Assault,Australia,Number,n.a.
Females,2017,Homicide and related offences,New South Wales,Number,17
Females,2017,Homicide and related offences,Victoria,Number,18
Females,2017,Homicide and related offences,Queensland,Number,13
Females,2017,Homicide and related offences,Western Australia,Number,11
Females,2017,Homicide and related offences,South Australia,Number,10
Females,2017,Homicide and related offences,Tasmania,Number,0
Females,2017,Homicide and related offences,Australian Capital Territory,Number,0
Females,2017,Homicide and related offences,Northern Territory,Number,3
Females,2017,Homicide and related offences,Australia,Number,71
Females,2017,Kidnapping/abduction,New South Wales,Number,68
Females,2017,Kidnapping/abduction,Victoria,Number,27
Females,2017,Kidnapping/abduction,Queensland,Number,7
Females,2017,Kidnapping/abduction,Western Australia,Number,3
Females,2017,Kidnapping/abduction,South Australia,Number,25
Females,2017,Kidnapping/abduction,Tasmania,Number,0
Females,2017,Kidnapping/abduction,Australian Capital Territory,Number,0
Females,2017,Kidnapping/abduction,Northern Territory,Number,0
Females,2017,Kidnapping/abduction,Australia,Number,125
Females,2017,Sexual assault,New South Wales,Number,2844
Females,2017,Sexual assault,Victoria,Number,1832
Females,2017,Sexual assault,Queensland,Number,1337
Females,2017,Sexual assault,Western Australia,Number,607
Females,2017,Sexual assault,South Australia,Number,577
Females,2017,Sexual assault,Tasmania,Number,65
Females,2017,Sexual assault,Australian Capital Territory,Number,60
Females,2017,Sexual assault,Northern Territory,Number,135
Females,2017,Sexual assault,Australia,Number,7456
Females,2018,Assault,New South Wales,Number,19675
Females,2018,Assault,Victoria,Number,n.a.
Females,2018,Assault,Queensland,Number,n.p.
Females,2018,Assault,Western Australia,Number,13595
Females,2018,Assault,South Australia,Number,5467
Females,2018,Assault,Tasmania,Number,1062
Females,2018,Assault,Australian Capital Territory,Number,608
Females,2018,Assault,Northern Territory,Number,3542
Females,2018,Assault,Australia,Number,n.a.
Females,2018,Homicide and related offences,New South Wales,Number,17
Females,2018,Homicide and related offences,Victoria,Number,19
Females,2018,Homicide and related offences,Queensland,Number,9
Females,2018,Homicide and related offences,Western Australia,Number,16
Females,2018,Homicide and related offences,South Australia,Number,4
Females,2018,Homicide and related offences,Tasmania,Number,0
Females,2018,Homicide and related offences,Australian Capital Territory,Number,0
Females,2018,Homicide and related offences,Northern Territory,Number,0
Females,2018,Homicide and related offences,Australia,Number,73
Females,2018,Kidnapping/abduction,New South Wales,Number,70
