sex,year,age_at_report,unit,value
Persons,2023,65 years and over,Proportion of total victims,17.3
Persons,2023,18 years and over,Proportion of total victims,38.1
Persons,2024,0–9 years,Proportion of total victims,60.6
Persons,2024,10–17 years,Proportion of total victims,38.4
Persons,2024,Under 18 years,Proportion of total victims,42
Persons,2024,18–24 years,Proportion of total victims,34.7
Persons,2024,25–34 years,Proportion of total victims,42.1
Persons,2024,35–44 years,Proportion of total victims,43.9
Persons,2024,45–54 years,Proportion of total victims,42.2
Persons,2024,55–64 years,Proportion of total victims,36.7
Persons,2024,65 years and over,Proportion of total victims,20.9
Persons,2024,18 years and over,Proportion of total victims,39.6
Females,2014,0–9 years,"Victimisation rate (number per 100,000)",68.8
Females,2014,10–17 years,"Victimisation rate (number per 100,000)",213.3
Females,2014,Under 18 years,"Victimisation rate (number per 100,000)",130.3
Females,2014,18–24 years,"Victimisation rate (number per 100,000)",65.2
Females,2014,25–34 years,"Victimisation rate (number per 100,000)",44.9
Females,2014,35–44 years,"Victimisation rate (number per 100,000)",32.3
Females,2014,45–54 years,"Victimisation rate (number per 100,000)",18.8
Females,2014,55–64 years,"Victimisation rate (number per 100,000)",5.6
Females,2014,65 years and over,"Victimisation rate (number per 100,000)",1.2
Females,2014,18 years and over,"Victimisation rate (number per 100,000)",26.2
Females,2015,0–9 years,"Victimisation rate (number per 100,000)",69.1
Females,2015,10–17 years,"Victimisation rate (number per 100,000)",221.2
Females,2015,Under 18 years,"Victimisation rate (number per 100,000)",133.3
Females,2015,18–24 years,"Victimisation rate (number per 100,000)",73.7
Females,2015,25–34 years,"Victimisation rate (number per 100,000)",51.1
Females,2015,35–44 years,"Victimisation rate (number per 100,000)",41.1
Females,2015,45–54 years,"Victimisation rate (number per 100,000)",25.5
Females,2015,55–64 years,"Victimisation rate (number per 100,000)",9.6
Females,2015,65 years and over,"Victimisation rate (number per 100,000)",1.7
Females,2015,18 years and over,"Victimisation rate (number per 100,000)",31.6
Females,2016,0–9 years,"Victimisation rate (number per 100,000)",65.4
Females,2016,10–17 years,"Victimisation rate (number per 100,000)",233.7
Females,2016,Under 18 years,"Victimisation rate (number per 100,000)",136.6
Females,2016,18–24 years,"Victimisation rate (number per 100,000)",83.4
Females,2016,25–34 years,"Victimisation rate (number per 100,000)",55.3
Females,2016,35–44 years,"Victimisation rate (number per 100,000)",45.5
Females,2016,45–54 years,"Victimisation rate (number per 100,000)",28.8
Females,2016,55–64 years,"Victimisation rate (number per 100,000)",8.2
Females,2016,65 years and over,"Victimisation rate (number per 100,000)",1.9
Females,2016,18 years and over,"Victimisation rate (number per 100,000)",34.5
Females,2017,0–9 years,"Victimisation rate (number per 100,000)",69.2
Females,2017,10–17 years,"Victimisation rate (number per 100,000)",239.9
Females,2017,Under 18 years,"Victimisation rate (number per 100,000)",141.9
Females,2017,18–24 years,"Victimisation rate (number per 100,000)",87.5
Females,2017,25–34 years,"Victimisation rate (number per 100,000)",60.6
Females,2017,35–44 years,"Victimisation rate (number per 100,000)",49
Females,2017,45–54 years,"Victimisation rate (number per 100,000)",29.9
Females,2017,55–64 years,"Victimisation rate (number per 100,000)",11
Females,2017,65 years and over,"Victimisation rate (number per 100,000)",2.7
Females,2017,18 years and over,"Victimisation rate (number per 100,000)",37.1
Females,2018,0–9 years,"Victimisation rate (number per 100,000)",63.8
Females,2018,10–17 years,"Victimisation rate (number per 100,000)",239.4
Females,2018,Under 18 years,"Victimisation rate (number per 100,000)",139.3
Females,2018,18–24 years,"Victimisation rate (number per 100,000)",92.4
Females,2018,25–34 years,"Victimisation rate (number per 100,000)",62.6
Females,2018,35–44 years,"Victimisation rate (number per 100,000)",51.5
Females,2018,45–54 years,"Victimisation rate (number per 100,000)",32.1
Females,2018,55–64 years,"Victimisation rate (number per 100,000)",12.4
Females,2018,65 years and over,"Victimisation rate (number per 100,000)",2.1
Females,2018,18 years and over,"Victimisation rate (number per 100,000)",38.9
Females,2019,0–9 years,"Victimisation rate (number per 100,000)",60.6
Females,2019,10–17 years,"Victimisation rate (number per 100,000)",225.4
Females,2019,Under 18 years,"Victimisation rate (number per 100,000)",132.3
Females,2019,18–24 years,"Victimisation rate (number per 100,000)",95.3
Females,2019,25–34 years,"Victimisation rate (number per 100,000)",71.5
Females,2019,35–44 years,"Victimisation rate (number per 100,000)",48
Females,2019,45–54 years,"Victimisation rate (number per 100,000)",31.7
Females,2019,55–64 years,"Victimisation rate (number per 100,000)",12.1
Females,2019,65 years and over,"Victimisation rate (number per 100,000)",3.4
Females,2019,18 years and over,"Victimisation rate (number per 100,000)",40.3
Females,2020,0–9 years,"Victimisation rate (number per 100,000)",67.7
Females,2020,10–17 years,"Victimisation rate (number per 100,000)",283.3
Females,2020,Under 18 years,"Victimisation rate (number per 100,000)",162.7
Females,2020,18–24 years,"Victimisation rate (number per 100,000)",112.1
Females,2020,25–34 years,"Victimisation rate (number per 100,000)",68
Females,2020,35–44 years,"Victimisation rate (number per 100,000)",52.9
Females,2020,45–54 years,"Victimisation rate (number per 100,000)",34.2
Females,2020,55–64 years,"Victimisation rate (number per 100,000)",11.6
Females,2020,65 years and over,"Victimisation rate (number per 100,000)",2.6
Females,2020,18 years and over,"Victimisation rate (number per 100,000)",42
Females,2021,0–9 years,"Victimisation rate (number per 100,000)",61
Females,2021,10–17 years,"Victimisation rate (number per 100,000)",327.5
Females,2021,Under 18 years,"Victimisation rate (number per 100,000)",179.7
Females,2021,18–24 years,"Victimisation rate (number per 100,000)",139.6
Females,2021,25–34 years,"Victimisation rate (number per 100,000)",83.7
Females,2021,35–44 years,"Victimisation rate (number per 100,000)",62.9
Females,2021,45–54 years,"Victimisation rate (number per 100,000)",38.9
Females,2021,55–64 years,"Victimisation rate (number per 100,000)",14.6
Females,2021,65 years and over,"Victimisation rate (number per 100,000)",3
Females,2021,18 years and over,"Victimisation rate (number per 100,000)",50.1
Females,2022,0–9 years,"Victimisation rate (number per 100,000)",55
Females,2022,10–17 years,"Victimisation rate (number per 100,000)",311
Females,2022,Under 18 years,"Victimisation rate (number per 100,000)",170.8
Females,2022,18–24 years,"Victimisation rate (number per 100,000)",149.4
Females,2022,25–34 years,"Victimisation rate (number per 100,000)",99.8
Females,2022,35–44 years,"Victimisation rate (number per 100,000)",71.5
Females,2022,45–54 years,"Victimisation rate (number per 100,000)",44.5
Females,2022,55–64 years,"Victimisation rate (number per 100,000)",17.3
Females,2022,65 years and over,"Victimisation rate (number per 100,000)",3.5
Females,2022,18 years and over,"Victimisation rate (number per 100,000)",56.8
Females,2023,0–9 years,"Victimisation rate (number per 100,000)",62.9
Females,2023,10–17 years,"Victimisation rate (number per 100,000)",341.7
Females,2023,Under 18 years,"Victimisation rate (number per 100,000)",190.1
Females,2023,18–24 years,"Victimisation rate (number per 100,000)",152
Females,2023,25–34 years,"Victimisation rate (number per 100,000)",114.7
Females,2023,35–44 years,"Victimisation rate (number per 100,000)",91.3
Females,2023,45–54 years,"Victimisation rate (number per 100,000)",56.1
Females,2023,55–64 years,"Victimisation rate (number per 100,000)",21.8
Females,2023,65 years and over,"Victimisation rate (number per 100,000)",4.1
Females,2023,18 years and over,"Victimisation rate (number per 100,000)",66.4
Females,2024,0–9 years,"Victimisation rate (number per 100,000)",69.9
Females,2024,10–17 years,"Victimisation rate (number per 100,000)",355.8
Females,2024,Under 18 years,"Victimisation rate (number per 100,000)",201.8
Females,2024,18–24 years,"Victimisation rate (number per 100,000)",168.7
Females,2024,25–34 years,"Victimisation rate (number per 100,000)",137.1
Females,2024,35–44 years,"Victimisation rate (number per 100,000)",102.4
Females,2024,45–54 years,"Victimisation rate (number per 100,000)",66.2
Females,2024,55–64 years,"Victimisation rate (number per 100,000)",25.1
Females,2024,65 years and over,"Victimisation rate (number per 100,000)",4.9
Females,2024,18 years and over,"Victimisation rate (number per 100,000)",76.8
Males,2014,0–9 years,"Victimisation rate (number per 100,000)",31.6
Males,2014,10–17 years,"Victimisation rate (number per 100,000)",30.8
Males,2014,Under 18 years,"Victimisation rate (number per 100,000)",31.4
Males,2014,18–24 years,"Victimisation rate (number per 100,000)",5.8
Males,2014,25–34 years,"Victimisation rate (number per 100,000)",4.7
Males,2014,35–44 years,"Victimisation rate (number per 100,000)",4.8
Males,2014,45–54 years,"Victimisation rate (number per 100,000)",2.4
Males,2014,55–64 years,"Victimisation rate (number per 100,000)",0.7
Males,2014,65 years and over,"Victimisation rate (number per 100,000)",0
Males,2014,18 years and over,"Victimisation rate (number per 100,000)",3.1
Males,2015,0–9 years,"Victimisation rate (number per 100,000)",32.1
Males,2015,10–17 years,"Victimisation rate (number per 100,000)",29.9
Males,2015,Under 18 years,"Victimisation rate (number per 100,000)",31
Males,2015,18–24 years,"Victimisation rate (number per 100,000)",7.3
Males,2015,25–34 years,"Victimisation rate (number per 100,000)",4.7
Males,2015,35–44 years,"Victimisation rate (number per 100,000)",5.3
Males,2015,45–54 years,"Victimisation rate (number per 100,000)",3.1
Males,2015,55–64 years,"Victimisation rate (number per 100,000)",1.1
Males,2015,65 years and over,"Victimisation rate (number per 100,000)",0.5
Males,2015,18 years and over,"Victimisation rate (number per 100,000)",3.6
Males,2016,0–9 years,"Victimisation rate (number per 100,000)",32.3
Males,2016,10–17 years,"Victimisation rate (number per 100,000)",33.5
Males,2016,Under 18 years,"Victimisation rate (number per 100,000)",32.8
Males,2016,18–24 years,"Victimisation rate (number per 100,000)",6.2
Males,2016,25–34 years,"Victimisation rate (number per 100,000)",4.9
Males,2016,35–44 years,"Victimisation rate (number per 100,000)",4.8
Males,2016,45–54 years,"Victimisation rate (number per 100,000)",3.6
Males,2016,55–64 years,"Victimisation rate (number per 100,000)",1.7
Males,2016,65 years and over,"Victimisation rate (number per 100,000)",0.3
Males,2016,18 years and over,"Victimisation rate (number per 100,000)",3.5
Males,2017,0–9 years,"Victimisation rate (number per 100,000)",29.4
Males,2017,10–17 years,"Victimisation rate (number per 100,000)",31.2
Males,2017,Under 18 years,"Victimisation rate (number per 100,000)",30.3
Males,2017,18–24 years,"Victimisation rate (number per 100,000)",6.6
Males,2017,25–34 years,"Victimisation rate (number per 100,000)",4.7
Males,2017,35–44 years,"Victimisation rate (number per 100,000)",5.4
Males,2017,45–54 years,"Victimisation rate (number per 100,000)",4
Males,2017,55–64 years,"Victimisation rate (number per 100,000)",1.6
Males,2017,65 years and over,"Victimisation rate (number per 100,000)",0.5
Males,2017,18 years and over,"Victimisation rate (number per 100,000)",3.8
Males,2018,0–9 years,"Victimisation rate (number per 100,000)",26.8
Males,2018,10–17 years,"Victimisation rate (number per 100,000)",29.1
Males,2018,Under 18 years,"Victimisation rate (number per 100,000)",27.9
Males,2018,18–24 years,"Victimisation rate (number per 100,000)",7.7
Males,2018,25–34 years,"Victimisation rate (number per 100,000)",5
Males,2018,35–44 years,"Victimisation rate (number per 100,000)",4.5
Males,2018,45–54 years,"Victimisation rate (number per 100,000)",4.4
Males,2018,55–64 years,"Victimisation rate (number per 100,000)",1.4
Males,2018,65 years and over,"Victimisation rate (number per 100,000)",0.3
Males,2018,18 years and over,"Victimisation rate (number per 100,000)",3.8
Males,2019,0–9 years,"Victimisation rate (number per 100,000)",28.7
Males,2019,10–17 years,"Victimisation rate (number per 100,000)",33.1
Males,2019,Under 18 years,"Victimisation rate (number per 100,000)",30.6
Males,2019,18–24 years,"Victimisation rate (number per 100,000)",6.5
Males,2019,25–34 years,"Victimisation rate (number per 100,000)",4.8
Males,2019,35–44 years,"Victimisation rate (number per 100,000)",5.9
Males,2019,45–54 years,"Victimisation rate (number per 100,000)",4.5
Males,2019,55–64 years,"Victimisation rate (number per 100,000)",1.6
Males,2019,65 years and over,"Victimisation rate (number per 100,000)",0.4
Males,2019,18 years and over,"Victimisation rate (number per 100,000)",3.8
Males,2020,0–9 years,"Victimisation rate (number per 100,000)",29.7
Males,2020,10–17 years,"Victimisation rate (number per 100,000)",39.2
Males,2020,Under 18 years,"Victimisation rate (number per 100,000)",33.8
Males,2020,18–24 years,"Victimisation rate (number per 100,000)",8.6
Males,2020,25–34 years,"Victimisation rate (number per 100,000)",5.5
Males,2020,35–44 years,"Victimisation rate (number per 100,000)",7
Males,2020,45–54 years,"Victimisation rate (number per 100,000)",4.6
Males,2020,55–64 years,"Victimisation rate (number per 100,000)",1.9
Males,2020,65 years and over,"Victimisation rate (number per 100,000)",0.5
Males,2020,18 years and over,"Victimisation rate (number per 100,000)",4.4
Males,2021,0–9 years,"Victimisation rate (number per 100,000)",26.5
Males,2021,10–17 years,"Victimisation rate (number per 100,000)",32
Males,2021,Under 18 years,"Victimisation rate (number per 100,000)",29
Males,2021,18–24 years,"Victimisation rate (number per 100,000)",9.2
Males,2021,25–34 years,"Victimisation rate (number per 100,000)",6
Males,2021,35–44 years,"Victimisation rate (number per 100,000)",6.7
Males,2021,45–54 years,"Victimisation rate (number per 100,000)",4
Males,2021,55–64 years,"Victimisation rate (number per 100,000)",1.8
Males,2021,65 years and over,"Victimisation rate (number per 100,000)",0.5
Males,2021,18 years and over,"Victimisation rate (number per 100,000)",4.4
Males,2022,0–9 years,"Victimisation rate (number per 100,000)",24.6
Males,2022,10–17 years,"Victimisation rate (number per 100,000)",33.2
Males,2022,Under 18 years,"Victimisation rate (number per 100,000)",28.7
Males,2022,18–24 years,"Victimisation rate (number per 100,000)",7
Males,2022,25–34 years,"Victimisation rate (number per 100,000)",7.4
Males,2022,35–44 years,"Victimisation rate (number per 100,000)",5.8
Males,2022,45–54 years,"Victimisation rate (number per 100,000)",4.6
Males,2022,55–64 years,"Victimisation rate (number per 100,000)",2.2
Males,2022,65 years and over,"Victimisation rate (number per 100,000)",0.6
Males,2022,18 years and over,"Victimisation rate (number per 100,000)",4.5
Males,2023,0–9 years,"Victimisation rate (number per 100,000)",30.8
Males,2023,10–17 years,"Victimisation rate (number per 100,000)",40.5
Males,2023,Under 18 years,"Victimisation rate (number per 100,000)",35.2
Males,2023,18–24 years,"Victimisation rate (number per 100,000)",9.4
Males,2023,25–34 years,"Victimisation rate (number per 100,000)",8.5
Males,2023,35–44 years,"Victimisation rate (number per 100,000)",7.6
Males,2023,45–54 years,"Victimisation rate (number per 100,000)",5.2
Males,2023,55–64 years,"Victimisation rate (number per 100,000)",3
Males,2023,65 years and over,"Victimisation rate (number per 100,000)",0.5
Males,2023,18 years and over,"Victimisation rate (number per 100,000)",5.5
Males,2024,0–9 years,"Victimisation rate (number per 100,000)",34.4
Males,2024,10–17 years,"Victimisation rate (number per 100,000)",45.9
Males,2024,Under 18 years,"Victimisation rate (number per 100,000)",39.4
Males,2024,18–24 years,"Victimisation rate (number per 100,000)",10.8
Males,2024,25–34 years,"Victimisation rate (number per 100,000)",11.4
Males,2024,35–44 years,"Victimisation rate (number per 100,000)",8.8
Males,2024,45–54 years,"Victimisation rate (number per 100,000)",7.2
Males,2024,55–64 years,"Victimisation rate (number per 100,000)",2.7
Males,2024,65 years and over,"Victimisation rate (number per 100,000)",0.6
Males,2024,18 years and over,"Victimisation rate (number per 100,000)",6.8
Persons,2014,0–9 years,"Victimisation rate (number per 100,000)",49.7
Persons,2014,10–17 years,"Victimisation rate (number per 100,000)",119.7
Persons,2014,Under 18 years,"Victimisation rate (number per 100,000)",79.6
Persons,2014,18–24 years,"Victimisation rate (number per 100,000)",35
Persons,2014,25–34 years,"Victimisation rate (number per 100,000)",24.8
Persons,2014,35–44 years,"Victimisation rate (number per 100,000)",18.7
Persons,2014,45–54 years,"Victimisation rate (number per 100,000)",10.8
Persons,2014,55–64 years,"Victimisation rate (number per 100,000)",3.1
Persons,2014,65 years and over,"Victimisation rate (number per 100,000)",0.8
Persons,2014,18 years and over,"Victimisation rate (number per 100,000)",14.8
Persons,2015,0–9 years,"Victimisation rate (number per 100,000)",49.9
Persons,2015,10–17 years,"Victimisation rate (number per 100,000)",123.2
Persons,2015,Under 18 years,"Victimisation rate (number per 100,000)",81
Persons,2015,18–24 years,"Victimisation rate (number per 100,000)",40
Persons,2015,25–34 years,"Victimisation rate (number per 100,000)",28
Persons,2015,35–44 years,"Victimisation rate (number per 100,000)",23.3
Persons,2015,45–54 years,"Victimisation rate (number per 100,000)",14.7
Persons,2015,55–64 years,"Victimisation rate (number per 100,000)",5.6
Persons,2015,65 years and over,"Victimisation rate (number per 100,000)",1.2
Persons,2015,18 years and over,"Victimisation rate (number per 100,000)",17.9
Persons,2016,0–9 years,"Victimisation rate (number per 100,000)",48.6
Persons,2016,10–17 years,"Victimisation rate (number per 100,000)",130.9
Persons,2016,Under 18 years,"Victimisation rate (number per 100,000)",83.3
Persons,2016,18–24 years,"Victimisation rate (number per 100,000)",43.9
Persons,2016,25–34 years,"Victimisation rate (number per 100,000)",30.1
Persons,2016,35–44 years,"Victimisation rate (number per 100,000)",25.3
Persons,2016,45–54 years,"Victimisation rate (number per 100,000)",16.5
Persons,2016,55–64 years,"Victimisation rate (number per 100,000)",5
Persons,2016,65 years and over,"Victimisation rate (number per 100,000)",1.1
Persons,2016,18 years and over,"Victimisation rate (number per 100,000)",19.3
Persons,2017,0–9 years,"Victimisation rate (number per 100,000)",49
Persons,2017,10–17 years,"Victimisation rate (number per 100,000)",132.6
Persons,2017,Under 18 years,"Victimisation rate (number per 100,000)",84.5
Persons,2017,18–24 years,"Victimisation rate (number per 100,000)",46.3
Persons,2017,25–34 years,"Victimisation rate (number per 100,000)",32.6
Persons,2017,35–44 years,"Victimisation rate (number per 100,000)",27.3
Persons,2017,45–54 years,"Victimisation rate (number per 100,000)",17.4
Persons,2017,55–64 years,"Victimisation rate (number per 100,000)",6.6
Persons,2017,65 years and over,"Victimisation rate (number per 100,000)",1.7
Persons,2017,18 years and over,"Victimisation rate (number per 100,000)",20.8
Persons,2018,0–9 years,"Victimisation rate (number per 100,000)",45.3
Persons,2018,10–17 years,"Victimisation rate (number per 100,000)",131.5
Persons,2018,Under 18 years,"Victimisation rate (number per 100,000)",82.2
Persons,2018,18–24 years,"Victimisation rate (number per 100,000)",49.3
Persons,2018,25–34 years,"Victimisation rate (number per 100,000)",34
Persons,2018,35–44 years,"Victimisation rate (number per 100,000)",28.3
Persons,2018,45–54 years,"Victimisation rate (number per 100,000)",18.5
Persons,2018,55–64 years,"Victimisation rate (number per 100,000)",7
Persons,2018,65 years and over,"Victimisation rate (number per 100,000)",1.3
Persons,2018,18 years and over,"Victimisation rate (number per 100,000)",21.7
Persons,2019,0–9 years,"Victimisation rate (number per 100,000)",44.5
Persons,2019,10–17 years,"Victimisation rate (number per 100,000)",126.9
Persons,2019,Under 18 years,"Victimisation rate (number per 100,000)",80.1
Persons,2019,18–24 years,"Victimisation rate (number per 100,000)",49.8
Persons,2019,25–34 years,"Victimisation rate (number per 100,000)",38.4
Persons,2019,35–44 years,"Victimisation rate (number per 100,000)",27.2
Persons,2019,45–54 years,"Victimisation rate (number per 100,000)",18.2
Persons,2019,55–64 years,"Victimisation rate (number per 100,000)",6.9
Persons,2019,65 years and over,"Victimisation rate (number per 100,000)",2.1
Persons,2019,18 years and over,"Victimisation rate (number per 100,000)",22.4
Persons,2020,0–9 years,"Victimisation rate (number per 100,000)",48.3
Persons,2020,10–17 years,"Victimisation rate (number per 100,000)",158.3
Persons,2020,Under 18 years,"Victimisation rate (number per 100,000)",96.7
Persons,2020,18–24 years,"Victimisation rate (number per 100,000)",59
Persons,2020,25–34 years,"Victimisation rate (number per 100,000)",36.7
Persons,2020,35–44 years,"Victimisation rate (number per 100,000)",30.2
Persons,2020,45–54 years,"Victimisation rate (number per 100,000)",19.7
Persons,2020,55–64 years,"Victimisation rate (number per 100,000)",6.7
Persons,2020,65 years and over,"Victimisation rate (number per 100,000)",1.6
Persons,2020,18 years and over,"Victimisation rate (number per 100,000)",23.5
Persons,2021,0–9 years,"Victimisation rate (number per 100,000)",43.4
Persons,2021,10–17 years,"Victimisation rate (number per 100,000)",175.8
Persons,2021,Under 18 years,"Victimisation rate (number per 100,000)",102.5
Persons,2021,18–24 years,"Victimisation rate (number per 100,000)",72.5
Persons,2021,25–34 years,"Victimisation rate (number per 100,000)",44.9
Persons,2021,35–44 years,"Victimisation rate (number per 100,000)",34.9
Persons,2021,45–54 years,"Victimisation rate (number per 100,000)",21.7
Persons,2021,55–64 years,"Victimisation rate (number per 100,000)",8.2
Persons,2021,65 years and over,"Victimisation rate (number per 100,000)",1.7
Persons,2021,18 years and over,"Victimisation rate (number per 100,000)",27.7
Persons,2022,0–9 years,"Victimisation rate (number per 100,000)",39.8
Persons,2022,10–17 years,"Victimisation rate (number per 100,000)",168.8
Persons,2022,Under 18 years,"Victimisation rate (number per 100,000)",98
Persons,2022,18–24 years,"Victimisation rate (number per 100,000)",76.1
Persons,2022,25–34 years,"Victimisation rate (number per 100,000)",53.7
Persons,2022,35–44 years,"Victimisation rate (number per 100,000)",38.9
Persons,2022,45–54 years,"Victimisation rate (number per 100,000)",24.9
Persons,2022,55–64 years,"Victimisation rate (number per 100,000)",10.1
Persons,2022,65 years and over,"Victimisation rate (number per 100,000)",2
Persons,2022,18 years and over,"Victimisation rate (number per 100,000)",31.1
Persons,2023,0–9 years,"Victimisation rate (number per 100,000)",46.8
Persons,2023,10–17 years,"Victimisation rate (number per 100,000)",187.1
Persons,2023,Under 18 years,"Victimisation rate (number per 100,000)",110.9
Persons,2023,18–24 years,"Victimisation rate (number per 100,000)",78
Persons,2023,25–34 years,"Victimisation rate (number per 100,000)",61.5
Persons,2023,35–44 years,"Victimisation rate (number per 100,000)",50
Persons,2023,45–54 years,"Victimisation rate (number per 100,000)",31
Persons,2023,55–64 years,"Victimisation rate (number per 100,000)",12.8
Persons,2023,65 years and over,"Victimisation rate (number per 100,000)",2.4
Persons,2023,18 years and over,"Victimisation rate (number per 100,000)",36.5
Persons,2024,0–9 years,"Victimisation rate (number per 100,000)",52.3
Persons,2024,10–17 years,"Victimisation rate (number per 100,000)",199
Persons,2024,Under 18 years,"Victimisation rate (number per 100,000)",120.1
Persons,2024,18–24 years,"Victimisation rate (number per 100,000)",88.3
Persons,2024,25–34 years,"Victimisation rate (number per 100,000)",75.5
Persons,2024,35–44 years,"Victimisation rate (number per 100,000)",57.4
Persons,2024,45–54 years,"Victimisation rate (number per 100,000)",38.2
Persons,2024,55–64 years,"Victimisation rate (number per 100,000)",14.9
Persons,2024,65 years and over,"Victimisation rate (number per 100,000)",3.1
Persons,2024,18 years and over,"Victimisation rate (number per 100,000)",43.4
