sex,year,age_at_report,unit,value
Males,2020,65 years and over,Number,10
Males,2020,18 years and over,Number,432
Males,2021,0–9 years,Number,426
Males,2021,10–17 years,Number,416
Males,2021,Under 18 years,Number,844
Males,2021,18–24 years,Number,105
Males,2021,25–34 years,Number,111
Males,2021,35–44 years,Number,117
Males,2021,45–54 years,Number,65
Males,2021,55–64 years,Number,26
Males,2021,65 years and over,Number,11
Males,2021,18 years and over,Number,430
Males,2022,0–9 years,Number,396
Males,2022,10–17 years,Number,439
Males,2022,Under 18 years,Number,841
Males,2022,18–24 years,Number,81
Males,2022,25–34 years,Number,138
Males,2022,35–44 years,Number,103
Males,2022,45–54 years,Number,74
Males,2022,55–64 years,Number,33
Males,2022,65 years and over,Number,13
Males,2022,18 years and over,Number,445
Males,2023,0–9 years,Number,494
Males,2023,10–17 years,Number,547
Males,2023,Under 18 years,Number,1041
Males,2023,18–24 years,Number,115
Males,2023,25–34 years,Number,166
Males,2023,35–44 years,Number,140
Males,2023,45–54 years,Number,84
Males,2023,55–64 years,Number,44
Males,2023,65 years and over,Number,10
Males,2023,18 years and over,Number,561
Males,2024,0–9 years,Number,551
Males,2024,10–17 years,Number,631
Males,2024,Under 18 years,Number,1174
Males,2024,18–24 years,Number,137
Males,2024,25–34 years,Number,231
Males,2024,35–44 years,Number,168
Males,2024,45–54 years,Number,118
Males,2024,55–64 years,Number,41
Males,2024,65 years and over,Number,14
Males,2024,18 years and over,Number,714
Persons,2014,0–9 years,Number,1510
Persons,2014,10–17 years,Number,2706
Persons,2014,Under 18 years,Number,4216
Persons,2014,18–24 years,Number,795
Persons,2014,25–34 years,Number,857
Persons,2014,35–44 years,Number,602
Persons,2014,45–54 years,Number,335
Persons,2014,55–64 years,Number,82
Persons,2014,65 years and over,Number,26
Persons,2014,18 years and over,Number,2693
Persons,2015,0–9 years,Number,1542
Persons,2015,10–17 years,Number,2800
Persons,2015,Under 18 years,Number,4343
Persons,2015,18–24 years,Number,913
Persons,2015,25–34 years,Number,991
Persons,2015,35–44 years,Number,752
Persons,2015,45–54 years,Number,458
Persons,2015,55–64 years,Number,153
Persons,2015,65 years and over,Number,41
Persons,2015,18 years and over,Number,3300
Persons,2016,0–9 years,Number,1526
Persons,2016,10–17 years,Number,3009
Persons,2016,Under 18 years,Number,4532
Persons,2016,18–24 years,Number,1012
Persons,2016,25–34 years,Number,1086
Persons,2016,35–44 years,Number,817
Persons,2016,45–54 years,Number,521
Persons,2016,55–64 years,Number,138
Persons,2016,65 years and over,Number,41
Persons,2016,18 years and over,Number,3618
Persons,2017,0–9 years,Number,1550
Persons,2017,10–17 years,Number,3103
Persons,2017,Under 18 years,Number,4652
Persons,2017,18–24 years,Number,1078
Persons,2017,25–34 years,Number,1200
Persons,2017,35–44 years,Number,892
Persons,2017,45–54 years,Number,554
Persons,2017,55–64 years,Number,188
Persons,2017,65 years and over,Number,63
Persons,2017,18 years and over,Number,3969
Persons,2018,0–9 years,Number,1435
Persons,2018,10–17 years,Number,3133
Persons,2018,Under 18 years,Number,4565
Persons,2018,18–24 years,Number,1160
Persons,2018,25–34 years,Number,1268
Persons,2018,35–44 years,Number,939
Persons,2018,45–54 years,Number,594
Persons,2018,55–64 years,Number,203
Persons,2018,65 years and over,Number,52
Persons,2018,18 years and over,Number,4215
Persons,2019,0–9 years,Number,1410
Persons,2019,10–17 years,Number,3082
Persons,2019,Under 18 years,Number,4485
Persons,2019,18–24 years,Number,1179
Persons,2019,25–34 years,Number,1451
Persons,2019,35–44 years,Number,919
Persons,2019,45–54 years,Number,587
Persons,2019,55–64 years,Number,203
Persons,2019,65 years and over,Number,83
Persons,2019,18 years and over,Number,4414
Persons,2020,0–9 years,Number,1525
Persons,2020,10–17 years,Number,3927
Persons,2020,Under 18 years,Number,5452
Persons,2020,18–24 years,Number,1364
Persons,2020,25–34 years,Number,1392
Persons,2020,35–44 years,Number,1047
Persons,2020,45–54 years,Number,641
Persons,2020,55–64 years,Number,201
Persons,2020,65 years and over,Number,66
Persons,2020,18 years and over,Number,4706
Persons,2021,0–9 years,Number,1357
Persons,2021,10–17 years,Number,4431
Persons,2021,Under 18 years,Number,5787
Persons,2021,18–24 years,Number,1599
Persons,2021,25–34 years,Number,1672
Persons,2021,35–44 years,Number,1230
Persons,2021,45–54 years,Number,708
Persons,2021,55–64 years,Number,248
Persons,2021,65 years and over,Number,74
Persons,2021,18 years and over,Number,5542
Persons,2022,0–9 years,Number,1243
Persons,2022,10–17 years,Number,4340
Persons,2022,Under 18 years,Number,5581
Persons,2022,18–24 years,Number,1705
Persons,2022,25–34 years,Number,2009
Persons,2022,35–44 years,Number,1401
Persons,2022,45–54 years,Number,817
Persons,2022,55–64 years,Number,305
Persons,2022,65 years and over,Number,90
Persons,2022,18 years and over,Number,6320
Persons,2023,0–9 years,Number,1461
Persons,2023,10–17 years,Number,4919
Persons,2023,Under 18 years,Number,6379
Persons,2023,18–24 years,Number,1848
Persons,2023,25–34 years,Number,2409
Persons,2023,35–44 years,Number,1860
Persons,2023,45–54 years,Number,1022
Persons,2023,55–64 years,Number,390
Persons,2023,65 years and over,Number,111
Persons,2023,18 years and over,Number,7632
Persons,2024,0–9 years,Number,1633
Persons,2024,10–17 years,Number,5321
Persons,2024,Under 18 years,Number,6957
Persons,2024,18–24 years,Number,2164
Persons,2024,25–34 years,Number,3042
Persons,2024,35–44 years,Number,2203
Persons,2024,45–54 years,Number,1266
Persons,2024,55–64 years,Number,456
Persons,2024,65 years and over,Number,146
Persons,2024,18 years and over,Number,9278
Females,2014,0–9 years,Proportion of total victims,52.8
Females,2014,10–17 years,Proportion of total victims,32.9
Females,2014,Under 18 years,Proportion of total victims,37
Females,2014,18–24 years,Proportion of total victims,24.5
Females,2014,25–34 years,Proportion of total victims,34.1
Females,2014,35–44 years,Proportion of total victims,37
Females,2014,45–54 years,Proportion of total victims,36.9
Females,2014,55–64 years,Proportion of total victims,23.7
Females,2014,65 years and over,Proportion of total victims,11.8
Females,2014,18 years and over,Proportion of total victims,30.4
Females,2015,0–9 years,Proportion of total victims,52.4
Females,2015,10–17 years,Proportion of total victims,33.9
Females,2015,Under 18 years,Proportion of total victims,37.8
Females,2015,18–24 years,Proportion of total victims,27.3
Females,2015,25–34 years,Proportion of total victims,37.4
Females,2015,35–44 years,Proportion of total victims,41.8
Females,2015,45–54 years,Proportion of total victims,40.8
Females,2015,55–64 years,Proportion of total victims,33.2
Females,2015,65 years and over,Proportion of total victims,16.1
Females,2015,18 years and over,Proportion of total victims,34.5
Females,2016,0–9 years,Proportion of total victims,54.9
Females,2016,10–17 years,Proportion of total victims,35.1
Females,2016,Under 18 years,Proportion of total victims,39
Females,2016,18–24 years,Proportion of total victims,28.6
Females,2016,25–34 years,Proportion of total victims,36.9
Females,2016,35–44 years,Proportion of total victims,42.2
Females,2016,45–54 years,Proportion of total victims,39.7
Females,2016,55–64 years,Proportion of total victims,31.9
Females,2016,65 years and over,Proportion of total victims,16.2
Females,2016,18 years and over,Proportion of total victims,34.6
Females,2017,0–9 years,Proportion of total victims,55.3
Females,2017,10–17 years,Proportion of total victims,32.2
Females,2017,Under 18 years,Proportion of total victims,36.5
Females,2017,18–24 years,Proportion of total victims,26.7
Females,2017,25–34 years,Proportion of total victims,35.8
Females,2017,35–44 years,Proportion of total victims,42.2
Females,2017,45–54 years,Proportion of total victims,39.6
Females,2017,55–64 years,Proportion of total victims,32.4
Females,2017,65 years and over,Proportion of total victims,21.7
Females,2017,18 years and over,Proportion of total victims,33.6
Females,2018,0–9 years,Proportion of total victims,53.7
Females,2018,10–17 years,Proportion of total victims,31.2
Females,2018,Under 18 years,Proportion of total victims,35.1
Females,2018,18–24 years,Proportion of total victims,26.1
Females,2018,25–34 years,Proportion of total victims,36.5
Females,2018,35–44 years,Proportion of total victims,44.3
Females,2018,45–54 years,Proportion of total victims,41.4
Females,2018,55–64 years,Proportion of total victims,35.1
Females,2018,65 years and over,Proportion of total victims,14.7
Females,2018,18 years and over,Proportion of total victims,34
Females,2019,0–9 years,Proportion of total victims,52
Females,2019,10–17 years,Proportion of total victims,30.3
Females,2019,Under 18 years,Proportion of total victims,34.1
Females,2019,18–24 years,Proportion of total victims,26.6
Females,2019,25–34 years,Proportion of total victims,39
Females,2019,35–44 years,Proportion of total victims,43.2
Females,2019,45–54 years,Proportion of total victims,41.8
Females,2019,55–64 years,Proportion of total victims,33.5
Females,2019,65 years and over,Proportion of total victims,21.4
Females,2019,18 years and over,Proportion of total victims,34.9
Females,2020,0–9 years,Proportion of total victims,59.3
Females,2020,10–17 years,Proportion of total victims,35
Females,2020,Under 18 years,Proportion of total victims,38.7
Females,2020,18–24 years,Proportion of total victims,29.9
Females,2020,25–34 years,Proportion of total victims,38.4
Females,2020,35–44 years,Proportion of total victims,46.4
Females,2020,45–54 years,Proportion of total victims,44.7
Females,2020,55–64 years,Proportion of total victims,37.6
Females,2020,65 years and over,Proportion of total victims,18.6
Females,2020,18 years and over,Proportion of total victims,36.8
Females,2021,0–9 years,Proportion of total victims,59.5
Females,2021,10–17 years,Proportion of total victims,35.4
Females,2021,Under 18 years,Proportion of total victims,38.3
Females,2021,18–24 years,Proportion of total victims,30.6
Females,2021,25–34 years,Proportion of total victims,39.9
Females,2021,35–44 years,Proportion of total victims,46.2
Females,2021,45–54 years,Proportion of total victims,43.3
Females,2021,55–64 years,Proportion of total victims,34.7
Females,2021,65 years and over,Proportion of total victims,19.3
Females,2021,18 years and over,Proportion of total victims,37.3
Females,2022,0–9 years,Proportion of total victims,57
Females,2022,10–17 years,Proportion of total victims,35.2
Females,2022,Under 18 years,Proportion of total victims,37.8
Females,2022,18–24 years,Proportion of total victims,31.4
Females,2022,25–34 years,Proportion of total victims,42.7
Females,2022,35–44 years,Proportion of total victims,48.1
Females,2022,45–54 years,Proportion of total victims,45
Females,2022,55–64 years,Proportion of total victims,39.6
Females,2022,65 years and over,Proportion of total victims,21.1
Females,2022,18 years and over,Proportion of total victims,39.3
