year,indigenous_status,sex,age_group,perpetrator_s_relationship_to_victim,unit,value
2023–24,First Nations,Female,All ages,All FDV perpetrators,Number,3429
2023–24,First Nations,Male,All ages,All FDV perpetrators,Number,997
2023–24,First Nations,Persons,All ages,All FDV perpetrators,Number,4433
2022–23,First Nations,Female,All ages,All FDV perpetrators,Number,3143
2022–23,First Nations,Male,All ages,All FDV perpetrators,Number,957
2022–23,First Nations,Persons,All ages,All FDV perpetrators,Number,4103
2021–22,First Nations,Female,All ages,All FDV perpetrators,Number,2897
2021–22,First Nations,Male,All ages,All FDV perpetrators,Number,865
2021–22,First Nations,Persons,All ages,All FDV perpetrators,Number,3763
2020–21,First Nations,Female,All ages,All FDV perpetrators,Number,3446
2020–21,First Nations,Male,All ages,All FDV perpetrators,Number,1054
2020–21,First Nations,Persons,All ages,All FDV perpetrators,Number,4500
2019–20,First Nations,Female,All ages,All FDV perpetrators,Number,3239
2019–20,First Nations,Male,All ages,All FDV perpetrators,Number,996
2019–20,First Nations,Persons,All ages,All FDV perpetrators,Number,4235
2023–24,First Nations,Female,0–14,Other family member,Number,24
2023–24,First Nations,Female,15–19,Other family member,Number,59
2023–24,First Nations,Female,20–24,Other family member,Number,99
2023–24,First Nations,Female,25–34,Other family member,Number,242
2023–24,First Nations,Female,35–44,Other family member,Number,271
2023–24,First Nations,Female,45–54,Other family member,Number,159
2023–24,First Nations,Female,55–64,Other family member,Number,85
2023–24,First Nations,Female,65+,Other family member,Number,25
2023–24,First Nations,Male,0–14,Other family member,Number,21
2023–24,First Nations,Male,15–19,Other family member,Number,29
2023–24,First Nations,Male,20–24,Other family member,Number,87
2023–24,First Nations,Male,25–34,Other family member,Number,120
2023–24,First Nations,Male,35–44,Other family member,Number,137
2023–24,First Nations,Male,45–54,Other family member,Number,112
2023–24,First Nations,Male,55–64,Other family member,Number,42
2023–24,First Nations,Male,65+,Other family member,Number,11
2023–24,First Nations,Female,0–14,Parent,Number,90
2023–24,First Nations,Female,15–19,Parent,Number,18
2023–24,First Nations,Female,20–24,Parent,Number,20
2023–24,First Nations,Female,25–34,Parent,Number,23
2023–24,First Nations,Female,35–44,Parent,Number,10
2023–24,First Nations,Female,45–54,Parent,Number,n.p.
2023–24,First Nations,Female,55–64,Parent,Number,0
2023–24,First Nations,Female,65+,Parent,Number,n.p.
2023–24,First Nations,Male,0–14,Parent,Number,79
2023–24,First Nations,Male,15–19,Parent,Number,12
2023–24,First Nations,Male,20–24,Parent,Number,n.p.
2023–24,First Nations,Male,25–34,Parent,Number,6
2023–24,First Nations,Male,35–44,Parent,Number,n.p.
2023–24,First Nations,Male,45–54,Parent,Number,n.p.
2023–24,First Nations,Male,55–64,Parent,Number,0
