sex,year,main_reason_for_seeking_support,subcategory,disability_status,unit,value
Males,2024-25,Financial,Housing affordability stress,Total,Proportion,4.3
Males,2024-25,Accommodation,Accommodation total,With disability- severe or profound,Proportion,23.9
Males,2024-25,Accommodation,Accommodation total,With disability- other disability status,Proportion,31.0
Males,2024-25,Accommodation,Accommodation total,All with disability,Proportion,27.7
Males,2024-25,Accommodation,Accommodation total,Without disability,Proportion,19.8
Males,2024-25,Accommodation,Accommodation total,Total,Proportion,19.2
Males,2024-25,Accommodation,Housing crisis,With disability- severe or profound,Proportion,12.3
Males,2024-25,Accommodation,Housing crisis,With disability- other disability status,Proportion,15.2
Males,2024-25,Accommodation,Housing crisis,All with disability,Proportion,13.9
Males,2024-25,Accommodation,Housing crisis,Without disability,Proportion,10.2
Males,2024-25,Accommodation,Housing crisis,Total,Proportion,9.8
Males,2024-25,Accommodation,Previous accommodation ended,With disability- severe or profound,Proportion,2.1
Males,2024-25,Accommodation,Previous accommodation ended,With disability- other disability status,Proportion,2.6
Males,2024-25,Accommodation,Previous accommodation ended,All with disability,Proportion,2.4
Males,2024-25,Accommodation,Previous accommodation ended,Without disability,Proportion,2.5
Males,2024-25,Accommodation,Previous accommodation ended,Total,Proportion,2.3
Males,2024-25,Accommodation,Inadequate or inappropriate dwelling conditions,With disability- severe or profound,Proportion,9.6
Males,2024-25,Accommodation,Inadequate or inappropriate dwelling conditions,With disability- other disability status,Proportion,13.1
Males,2024-25,Accommodation,Inadequate or inappropriate dwelling conditions,All with disability,Proportion,11.5
Males,2024-25,Accommodation,Inadequate or inappropriate dwelling conditions,Without disability,Proportion,7.2
Males,2024-25,Accommodation,Inadequate or inappropriate dwelling conditions,Total,Proportion,7.1
Males,2024-25,Interpersonal relationships,Interpersonal relationships total,With disability- severe or profound,Proportion,60.1
Males,2024-25,Interpersonal relationships,Interpersonal relationships total,With disability- other disability status,Proportion,46.5
Males,2024-25,Interpersonal relationships,Interpersonal relationships total,All with disability,Proportion,52.8
Males,2024-25,Interpersonal relationships,Interpersonal relationships total,Without disability,Proportion,65.9
Males,2024-25,Interpersonal relationships,Interpersonal relationships total,Total,Proportion,67.1
Males,2024-25,Interpersonal relationships,Time out from family/other situation,With disability- severe or profound,Proportion,0.6
Males,2024-25,Interpersonal relationships,Time out from family/other situation,With disability- other disability status,Proportion,1.7
Males,2024-25,Interpersonal relationships,Time out from family/other situation,All with disability,Proportion,1.2
Males,2024-25,Interpersonal relationships,Time out from family/other situation,Without disability,Proportion,1.1
Males,2024-25,Interpersonal relationships,Time out from family/other situation,Total,Proportion,1.0
Males,2024-25,Interpersonal relationships,Sexual abuse,With disability- severe or profound,Proportion,0.3
Males,2024-25,Interpersonal relationships,Sexual abuse,With disability- other disability status,Proportion,0.1
Males,2024-25,Interpersonal relationships,Sexual abuse,All with disability,Proportion,0.2
Males,2024-25,Interpersonal relationships,Sexual abuse,Without disability,Proportion,0.1
Males,2024-25,Interpersonal relationships,Sexual abuse,Total,Proportion,0.1
Males,2024-25,Interpersonal relationships,Domestic and family violence,With disability- severe or profound,Proportion,55.4
Males,2024-25,Interpersonal relationships,Domestic and family violence,With disability- other disability status,Proportion,38.1
Males,2024-25,Interpersonal relationships,Domestic and family violence,All with disability,Proportion,46.1
Males,2024-25,Interpersonal relationships,Domestic and family violence,Without disability,Proportion,59.8
Males,2024-25,Interpersonal relationships,Domestic and family violence,Total,Proportion,61.5
Males,2024-25,Interpersonal relationships,Non-family violence,With disability- severe or profound,Proportion,0.4
Males,2024-25,Interpersonal relationships,Non-family violence,With disability- other disability status,Proportion,0.8
Males,2024-25,Interpersonal relationships,Non-family violence,All with disability,Proportion,0.6
Males,2024-25,Interpersonal relationships,Non-family violence,Without disability,Proportion,0.4
Males,2024-25,Interpersonal relationships,Non-family violence,Total,Proportion,0.4
Males,2024-25,Interpersonal relationships,Relationship / family breakdown,With disability- severe or profound,Proportion,3.3
Males,2024-25,Interpersonal relationships,Relationship / family breakdown,With disability- other disability status,Proportion,5.9
Males,2024-25,Interpersonal relationships,Relationship / family breakdown,All with disability,Proportion,4.7
Males,2024-25,Interpersonal relationships,Relationship / family breakdown,Without disability,Proportion,4.4
Males,2024-25,Interpersonal relationships,Relationship / family breakdown,Total,Proportion,4.1
Males,2024-25,Health,Health total,With disability- severe or profound,Proportion,2.0
Males,2024-25,Health,Health total,With disability- other disability status,Proportion,3.8
Males,2024-25,Health,Health total,All with disability,Proportion,3.0
Males,2024-25,Health,Health total,Without disability,Proportion,1.2
Males,2024-25,Health,Health total,Total,Proportion,1.3
Males,2024-25,Health,Mental health issues,With disability- severe or profound,Proportion,1.3
Males,2024-25,Health,Mental health issues,With disability- other disability status,Proportion,2.5
Males,2024-25,Health,Mental health issues,All with disability,Proportion,2.0
Males,2024-25,Health,Mental health issues,Without disability,Proportion,0.7
Males,2024-25,Health,Mental health issues,Total,Proportion,0.7
Males,2024-25,Health,Medical issues,With disability- severe or profound,Proportion,0.3
Males,2024-25,Health,Medical issues,With disability- other disability status,Proportion,0.6
Males,2024-25,Health,Medical issues,All with disability,Proportion,0.5
Males,2024-25,Health,Medical issues,Without disability,Proportion,0.1
Males,2024-25,Health,Medical issues,Total,Proportion,0.1
Males,2024-25,Health,"Problematic drug, substance or alcohol use",With disability- severe or profound,Proportion,0.3
Males,2024-25,Health,"Problematic drug, substance or alcohol use",With disability- other disability status,Proportion,0.7
Males,2024-25,Health,"Problematic drug, substance or alcohol use",All with disability,Proportion,0.5
Males,2024-25,Health,"Problematic drug, substance or alcohol use",Without disability,Proportion,0.4
Males,2024-25,Health,"Problematic drug, substance or alcohol use",Total,Proportion,0.4
Males,2024-25,Other,Other,With disability- severe or profound,Proportion,5.6
Males,2024-25,Other,Other,With disability- other disability status,Proportion,7.3
Males,2024-25,Other,Other,All with disability,Proportion,6.6
Males,2024-25,Other,Other,Without disability,Proportion,5.5
Males,2024-25,Other,Other,Total,Proportion,5.2
Males,2024-25,Not stated,Not stated,With disability- severe or profound,Proportion,0.5
Males,2024-25,Not stated,Not stated,With disability- other disability status,Proportion,0.5
Males,2024-25,Not stated,Not stated,All with disability,Proportion,0.5
Males,2024-25,Not stated,Not stated,Without disability,Proportion,0.3
Males,2024-25,Not stated,Not stated,Total,Proportion,0.4
Males,2024-25,Total,Total,With disability- severe or profound,Proportion,100.0
Males,2024-25,Total,Total,With disability- other disability status,Proportion,100.0
Males,2024-25,Total,Total,All with disability,Proportion,100.0
Males,2024-25,Total,Total,Without disability,Proportion,100.0
Males,2024-25,Total,Total,Total,Proportion,100.0
Persons,2024-25,Financial,Financial total,With disability- severe or profound,Proportion,8.3
Persons,2024-25,Financial,Financial total,With disability- other disability status,Proportion,10.0
Persons,2024-25,Financial,Financial total,All with disability,Proportion,9.4
Persons,2024-25,Financial,Financial total,Without disability,Proportion,7.7
Persons,2024-25,Financial,Financial total,Total,Proportion,7.4
Persons,2024-25,Financial,Financial difficulties,With disability- severe or profound,Proportion,3.1
Persons,2024-25,Financial,Financial difficulties,With disability- other disability status,Proportion,4.2
Persons,2024-25,Financial,Financial difficulties,All with disability,Proportion,3.8
Persons,2024-25,Financial,Financial difficulties,Without disability,Proportion,3.3
Persons,2024-25,Financial,Financial difficulties,Total,Proportion,3.2
Persons,2024-25,Financial,Other financial,With disability- severe or profound,Proportion,0.0
Persons,2024-25,Financial,Other financial,With disability- other disability status,Proportion,0.1
Persons,2024-25,Financial,Other financial,All with disability,Proportion,0.1
Persons,2024-25,Financial,Other financial,Without disability,Proportion,0.1
Persons,2024-25,Financial,Other financial,Total,Proportion,0.1
Persons,2024-25,Financial,Housing affordability stress,With disability- severe or profound,Proportion,5.2
Persons,2024-25,Financial,Housing affordability stress,With disability- other disability status,Proportion,5.6
Persons,2024-25,Financial,Housing affordability stress,All with disability,Proportion,5.5
Persons,2024-25,Financial,Housing affordability stress,Without disability,Proportion,4.3
Persons,2024-25,Financial,Housing affordability stress,Total,Proportion,4.2
Persons,2024-25,Accommodation,Accommodation total,With disability- severe or profound,Proportion,23.7
Persons,2024-25,Accommodation,Accommodation total,With disability- other disability status,Proportion,26.1
Persons,2024-25,Accommodation,Accommodation total,All with disability,Proportion,25.3
Persons,2024-25,Accommodation,Accommodation total,Without disability,Proportion,17.1
Persons,2024-25,Accommodation,Accommodation total,Total,Proportion,16.8
Persons,2024-25,Accommodation,Housing crisis,With disability- severe or profound,Proportion,12.6
Persons,2024-25,Accommodation,Housing crisis,With disability- other disability status,Proportion,13.9
Persons,2024-25,Accommodation,Housing crisis,All with disability,Proportion,13.4
Persons,2024-25,Accommodation,Housing crisis,Without disability,Proportion,9.1
Persons,2024-25,Accommodation,Housing crisis,Total,Proportion,8.9
Persons,2024-25,Accommodation,Previous accommodation ended,With disability- severe or profound,Proportion,2.2
Persons,2024-25,Accommodation,Previous accommodation ended,With disability- other disability status,Proportion,2.8
Persons,2024-25,Accommodation,Previous accommodation ended,All with disability,Proportion,2.6
Persons,2024-25,Accommodation,Previous accommodation ended,Without disability,Proportion,1.9
Persons,2024-25,Accommodation,Previous accommodation ended,Total,Proportion,1.8
Persons,2024-25,Accommodation,Inadequate or inappropriate dwelling conditions,With disability- severe or profound,Proportion,8.9
Persons,2024-25,Accommodation,Inadequate or inappropriate dwelling conditions,With disability- other disability status,Proportion,9.5
Persons,2024-25,Accommodation,Inadequate or inappropriate dwelling conditions,All with disability,Proportion,9.3
Persons,2024-25,Accommodation,Inadequate or inappropriate dwelling conditions,Without disability,Proportion,6.0
Persons,2024-25,Accommodation,Inadequate or inappropriate dwelling conditions,Total,Proportion,6.0
Persons,2024-25,Interpersonal relationships,Interpersonal relationships total,With disability- severe or profound,Proportion,60.5
Persons,2024-25,Interpersonal relationships,Interpersonal relationships total,With disability- other disability status,Proportion,54.5
Persons,2024-25,Interpersonal relationships,Interpersonal relationships total,All with disability,Proportion,56.5
Persons,2024-25,Interpersonal relationships,Interpersonal relationships total,Without disability,Proportion,70.2
Persons,2024-25,Interpersonal relationships,Interpersonal relationships total,Total,Proportion,70.8
Persons,2024-25,Interpersonal relationships,Time out from family/other situation,With disability- severe or profound,Proportion,0.8
Persons,2024-25,Interpersonal relationships,Time out from family/other situation,With disability- other disability status,Proportion,1.0
Persons,2024-25,Interpersonal relationships,Time out from family/other situation,All with disability,Proportion,1.0
Persons,2024-25,Interpersonal relationships,Time out from family/other situation,Without disability,Proportion,1.1
Persons,2024-25,Interpersonal relationships,Time out from family/other situation,Total,Proportion,1.0
Persons,2024-25,Interpersonal relationships,Sexual abuse,With disability- severe or profound,Proportion,0.4
Persons,2024-25,Interpersonal relationships,Sexual abuse,With disability- other disability status,Proportion,0.4
Persons,2024-25,Interpersonal relationships,Sexual abuse,All with disability,Proportion,0.4
Persons,2024-25,Interpersonal relationships,Sexual abuse,Without disability,Proportion,0.2
Persons,2024-25,Interpersonal relationships,Sexual abuse,Total,Proportion,0.2
Persons,2024-25,Interpersonal relationships,Domestic and family violence,With disability- severe or profound,Proportion,55.8
Persons,2024-25,Interpersonal relationships,Domestic and family violence,With disability- other disability status,Proportion,48.3
Persons,2024-25,Interpersonal relationships,Domestic and family violence,All with disability,Proportion,50.8
Persons,2024-25,Interpersonal relationships,Domestic and family violence,Without disability,Proportion,64.9
Persons,2024-25,Interpersonal relationships,Domestic and family violence,Total,Proportion,65.8
Persons,2024-25,Interpersonal relationships,Non-family violence,With disability- severe or profound,Proportion,0.5
Persons,2024-25,Interpersonal relationships,Non-family violence,With disability- other disability status,Proportion,0.7
Persons,2024-25,Interpersonal relationships,Non-family violence,All with disability,Proportion,0.7
Persons,2024-25,Interpersonal relationships,Non-family violence,Without disability,Proportion,0.3
Persons,2024-25,Interpersonal relationships,Non-family violence,Total,Proportion,0.4
Persons,2024-25,Interpersonal relationships,Relationship / family breakdown,With disability- severe or profound,Proportion,3.0
Persons,2024-25,Interpersonal relationships,Relationship / family breakdown,With disability- other disability status,Proportion,4.0
Persons,2024-25,Interpersonal relationships,Relationship / family breakdown,All with disability,Proportion,3.7
Persons,2024-25,Interpersonal relationships,Relationship / family breakdown,Without disability,Proportion,3.6
Persons,2024-25,Interpersonal relationships,Relationship / family breakdown,Total,Proportion,3.4
Persons,2024-25,Health,Health total,With disability- severe or profound,Proportion,2.5
Persons,2024-25,Health,Health total,With disability- other disability status,Proportion,3.6
Persons,2024-25,Health,Health total,All with disability,Proportion,3.3
Persons,2024-25,Health,Health total,Without disability,Proportion,1.2
Persons,2024-25,Health,Health total,Total,Proportion,1.3
Persons,2024-25,Health,Mental health issues,With disability- severe or profound,Proportion,1.5
Persons,2024-25,Health,Mental health issues,With disability- other disability status,Proportion,2.0
Persons,2024-25,Health,Mental health issues,All with disability,Proportion,1.8
Persons,2024-25,Health,Mental health issues,Without disability,Proportion,0.7
Persons,2024-25,Health,Mental health issues,Total,Proportion,0.7
Persons,2024-25,Health,Medical issues,With disability- severe or profound,Proportion,0.6
Persons,2024-25,Health,Medical issues,With disability- other disability status,Proportion,0.6
Persons,2024-25,Health,Medical issues,All with disability,Proportion,0.6
Persons,2024-25,Health,Medical issues,Without disability,Proportion,0.1
Persons,2024-25,Health,Medical issues,Total,Proportion,0.2
Persons,2024-25,Health,"Problematic drug, substance or alcohol use",With disability- severe or profound,Proportion,0.4
Persons,2024-25,Health,"Problematic drug, substance or alcohol use",With disability- other disability status,Proportion,1.1
Persons,2024-25,Health,"Problematic drug, substance or alcohol use",All with disability,Proportion,0.8
Persons,2024-25,Health,"Problematic drug, substance or alcohol use",Without disability,Proportion,0.4
Persons,2024-25,Health,"Problematic drug, substance or alcohol use",Total,Proportion,0.4
Persons,2024-25,Other,Other,With disability- severe or profound,Proportion,5.1
Persons,2024-25,Other,Other,With disability- other disability status,Proportion,5.8
Persons,2024-25,Other,Other,All with disability,Proportion,5.6
Persons,2024-25,Other,Other,Without disability,Proportion,3.8
Persons,2024-25,Other,Other,Total,Proportion,3.8
Persons,2024-25,Not stated,Not stated,With disability- severe or profound,Proportion,0.4
Persons,2024-25,Not stated,Not stated,With disability- other disability status,Proportion,0.3
Persons,2024-25,Not stated,Not stated,All with disability,Proportion,0.4
Persons,2024-25,Not stated,Not stated,Without disability,Proportion,0.2
Persons,2024-25,Not stated,Not stated,Total,Proportion,0.3
Persons,2024-25,Total,Total,With disability- severe or profound,Proportion,100.0
Persons,2024-25,Total,Total,With disability- other disability status,Proportion,100.0
Persons,2024-25,Total,Total,All with disability,Proportion,100.0
Persons,2024-25,Total,Total,Without disability,Proportion,100.0
Persons,2024-25,Total,Total,Total,Proportion,100.0
