sex,year,experience_of_violence,sex_of_perpetrator,relationship_with_perpetrator,police_contact,unit,value,rse,95_moe,lower_ci,upper_ci,data_flag
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted,Proportion,86.8,n.a.,3.4,83.4,90.2,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because felt they could deal with it themselves,Proportion,34.2,n.a.,4.0,30.2,38.2,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not regard the incident as a serious offence,Proportion,33.8,n.a.,6.1,27.7,39.9,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because felt ashamed or embarrassed,Proportion,25.8,n.a.,3.6,22.2,29.4,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not think there was anything the police could do,Proportion,22.0,n.a.,4.4,17.6,26.4,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not know or think the incident was a crime,Proportion,21.5,n.a.,4.5,17.0,26.0,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because fear of the person responsible,Proportion,18.4,n.a.,4.4,14.0,22.8,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not want person responsible arrested,Proportion,16.6,n.a.,4.0,12.6,20.6,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because felt would not be believed,Proportion,16.1,n.a.,3.2,12.9,19.3,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not think the police would be able to do anything,Proportion,14.5,n.a.,3.1,11.4,17.6,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because fear of legal processes,Proportion,9.8,n.a.,2.7,7.1,12.5,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not want to ask for help,Proportion,8.9,n.a.,2.4,6.5,11.3,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not trust the police,Proportion,5.8,n.a.,2.7,3.1,8.5,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because workplace/on the job incident,Proportion,1.9,n.a.,1.1,0.8,3.0,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because cultural/language reasons,Proportion,3.3,n.a.,1.8,1.5,5.1,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because other reason,Proportion,7.2,n.a.,3.4,3.8,10.6,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted reason not known,Proportion,2.9,n.a.,1.6,1.3,4.5,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because felt ashamed or embarrassed,Proportion,25.4,n.a.,4.8,20.6,30.2,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not want person responsible arrested,Proportion,18.4,n.a.,4.8,13.6,23.2,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not regard the incident as a serious offence,Proportion,35.0,n.a.,8.7,26.3,43.7,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not know or think the incident was a crime,Proportion,20.5,n.a.,4.1,16.4,24.6,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not think there was anything the police could do,Proportion,17.6,n.a.,4.7,12.9,22.3,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted reason not known,Proportion,2.2,n.a.,2.0,0.2,4.2,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because other reason,Proportion,6.0,n.a.,3.2,2.8,9.2,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because felt they could deal with it themselves,Proportion,33.4,n.a.,6.4,27.0,39.8,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not want to ask for help,Proportion,11.4,n.a.,3.9,7.5,15.3,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because workplace/on the job incident - internal reporting procedures followed,Proportion,0.9,n.a.,n.p.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because cultural/language reasons,Proportion,2.3,n.a.,1.9,0.4,4.2,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because fear of the person responsible,Proportion,21.7,n.a.,5.8,15.9,27.5,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because fear of legal processes,Proportion,8.5,n.a.,3.2,5.3,11.7,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because felt they would not be believed,Proportion,14.8,n.a.,4.6,10.2,19.4,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not think the police would be able to do anything,Proportion,13.8,n.a.,4.0,9.8,17.8,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not trust the police,Proportion,6.7,n.a.,3.1,3.6,9.8,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Intimate partner,Police not contacted,Proportion,87.0,n.a.,7.2,79.8,94.2,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Intimate partner,Police contacted,Proportion,12.1,n.a.,4.2,7.9,16.3,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Other family member,Police not contacted,Proportion,50.8,n.a.,25.8,25.0,76.6,#
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Other family member,Police contacted,Proportion,38.0,n.a.,25.3,12.7,63.3,#
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted,Proportion,86.0,n.a.,6.8,79.2,92.8,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police contacted,Proportion,14.2,n.a.,4.1,10.1,18.3,
Females,2016,Most recent incident of sexual assault in the last 12 months,By a male,Any person - all relationships,Police contacted,Proportion,15.2,n.a.,8.8,6.4,24.0,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police contacted,Proportion,8.3,15.6,2.5,5.8,10.8,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police contacted by respondent,Proportion,7.7,16.9,2.6,5.1,10.3,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police contacted by someone else,Proportion,0.8,46.4,0.7,0.1,1.5,*
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted,Proportion,92.3,2,3.6,88.7,95.9,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because felt ashamed or embarrassed,Proportion,31.2,8.8,5.4,25.8,36.6,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not want person responsible arrested,Proportion,16,13.2,4.1,11.9,20.1,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not regard the incident as a serious offence,Proportion,32.8,7.1,4.6,28.2,37.4,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not know or think the incident was a crime,Proportion,27.3,8.9,4.8,22.5,32.1,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not think there was anything the police could do,Proportion,28.6,9.7,5.4,23.2,34.0,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not trust the police,Proportion,14.2,12.5,3.5,10.7,17.7,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not think the police would be able to do anything,Proportion,28.5,9.8,5.5,23.0,34.0,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because felt they would not be believed,Proportion,25.7,8,4.0,21.7,29.7,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because fear of the person responsible,Proportion,21,11.7,4.8,16.2,25.8,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because fear of legal processes,Proportion,13.1,14.8,3.8,9.3,16.9,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because cultural/language reasons,Proportion,4.7,19.8,1.8,2.9,6.5,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because workplace/on the job incident,Proportion,2.1,33.4,1.4,0.7,3.5,*
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not want to ask for help,Proportion,10.8,16.4,3.5,7.3,14.3,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because felt they could deal with it themselves,Proportion,33.5,7.1,4.7,28.8,38.2,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because other reason,Proportion,7.5,21,3.1,4.4,10.6,
Males,2016,Any incident of violence by a partner,By a person,Current partner ,Police contacted,Proportion,4.4,n.a.,n.p.,n.a.,n.a.,
Males,2016,Any incident of violence by a partner,By a person,Previous partner,Police contacted,Proportion,24.9,n.a.,6.1,18.8,31.0,
Males,2016,Any incident of violence by a partner,By a person,Current partner ,Police contacted by respondent,Proportion,n.p.,n.a.,n.p.,n.a.,n.a.,
Males,2016,Any incident of violence by a partner,By a person,Previous partner,Police contacted by respondent,Proportion,21.4,n.a.,6.1,15.3,27.5,
Males,2016,Any incident of violence by a partner,By a person,Current partner ,Police contacted by someone else,Proportion,n.p.,n.a.,n.p.,n.a.,n.a.,
Males,2016,Any incident of violence by a partner,By a person,Previous partner,Police contacted by someone else,Proportion,2.2,n.a.,n.p.,n.a.,n.a.,
Males,2016,Any incident of violence by a partner,By a person,Current partner ,Police not contacted,Proportion,97.2,n.a.,5.9,91.3,103.1,
Males,2016,Any incident of violence by a partner,By a person,Previous partner,Police not contacted,Proportion,75.5,n.a.,7.5,68.0,83.0,
