sex,year,experience_of_violence,sex_of_perpetrator,relationship_with_perpetrator,police_contact,unit,value,rse,95_moe,lower_ci,upper_ci,data_flag
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Other family member,Police contacted,Number,18.1,29.8,n.a.,n.a.,n.a.,*
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Family and domestic total,Police not contacted,Number,91.6,16.8,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Family and domestic total,Police contacted,Number,18.1,29.8,n.a.,n.a.,n.a.,*
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because felt ashamed or embarrassed,Number,113.3,10.6,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not want person responsible arrested,Number,141.7,9.6,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not regard the incident as a serious offence,Number,194.9,7.8,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not know or think the incident was a crime,Number,82.6,12.5,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not think there was anything the police could do,Number,81.2,13.3,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted reason not known,Number,14.6,29.3,n.a.,n.a.,n.a.,*
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because other reason,Number,37.5,16.8,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because felt they could deal with it themselves,Number,234.1,7.0,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not want to ask for help,Number,63.6,14.6,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because workplace/on the job incident - internal reporting procedures followed,Number,4.9,n.p.,n.a.,n.a.,n.a.,**
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because cultural/language reasons,Number,4.3,n.p.,n.a.,n.a.,n.a.,**
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because fear of the person responsible,Number,124.1,10.7,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because fear of legal processes,Number,41.7,17.3,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because felt they would not be believed,Number,40.3,22.8,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not think the police would be able to do anything,Number,58.6,14.5,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not trust the police,Number,20.4,22.4,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Intimate partner,Police not contacted,Number,506.2,4.2,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Intimate partner,Police contacted,Number,251.9,7.9,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Other family member,Police not contacted,Number,79.4,15.1,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Other family member,Police contacted,Number,23.7,24.8,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted,Number,584.3,4.3,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police contacted,Number,277.9,7.4,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police contacted,Number,85.7,12.1,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted,Number,553.9,5.4,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because felt they could deal with it themselves,Number,189.4,8.1,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not regard the incident as a serious offence,Number,187.4,10.7,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because felt ashamed or embarrassed,Number,142.7,9.0,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not think there was anything the police could do,Number,122.0,11.6,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not know or think the incident was a crime,Number,118.9,12.0,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because fear of the person responsible,Number,102.1,13.4,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not want person responsible arrested,Number,92.1,n.a.,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because felt would not be believed,Number,89.3,11.4,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not think the police would be able to do anything,Number,80.3,12.1,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because fear of legal processes,Number,54.3,15.3,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not want to ask for help,Number,49.2,14.9,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not trust the police,Number,32.1,24.2,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because workplace/on the job incident,Number,10.3,29.8,n.a.,n.a.,n.a.,*
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because cultural/language reasons,Number,18.3,28.4,n.a.,n.a.,n.a.,*
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because other reason,Number,39.7,24.4,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted reason not known,Number,16.1,28.6,n.a.,n.a.,n.a.,*
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because felt ashamed or embarrassed,Number,77.2,12.5,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not want person responsible arrested,Number,55.9,15.4,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not regard the incident as a serious offence,Number,106.7,14.9,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not know or think the incident was a crime,Number,62.5,13.0,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not think there was anything the police could do,Number,53.7,15.8,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted reason not known,Number,6.6,48.4,n.a.,n.a.,n.a.,*
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because other reason,Number,18.3,28.5,n.a.,n.a.,n.a.,*
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because felt they could deal with it themselves,Number,101.7,12.6,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not want to ask for help,Number,34.6,19.2,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because workplace/on the job incident - internal reporting procedures followed,Number,2.7,n.p.,n.a.,n.a.,n.a.,**
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because cultural/language reasons,Number,6.9,42.4,n.a.,n.a.,n.a.,*
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because fear of the person responsible,Number,66.1,15.7,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because fear of legal processes,Number,25.9,20.8,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because felt they would not be believed,Number,45.2,17.8,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not think the police would be able to do anything,Number,41.9,16.8,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not trust the police,Number,20.3,25.3,n.a.,n.a.,n.a.,*
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Intimate partner,Police not contacted,Number,289.1,8.3,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Intimate partner,Police contacted,Number,40.3,19.1,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Other family member,Police not contacted,Number,12.3,32.0,n.a.,n.a.,n.a.,*
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Other family member,Police contacted,Number,9.2,38.8,n.a.,n.a.,n.a.,*
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police not contacted,Number,304.5,7.9,n.a.,n.a.,n.a.,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Family and domestic total,Police contacted,Number,50.1,16.2,n.a.,n.a.,n.a.,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police contacted,Number,61.1,16.3,n.a.,n.a.,n.a.,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police contacted by respondent,Number,56.5,17.6,n.a.,n.a.,n.a.,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police contacted by someone else,Number,6.2,46.6,n.a.,n.a.,n.a.,*
